english	localized	language
a	a	tvl
access	access	tvl
ack	ack	tvl
activate	activate	tvl
active	active	tvl
add	add	tvl
addend	addend	tvl
addr	addr	tvl
addralign	addralign	tvl
address	address	tvl
advanced	advanced	tvl
af	af	tvl
after	after	tvl
align	align	tvl
aligned	aligned	tvl
alignment	alignment	tvl
all	all	tvl
alloc	alloc	tvl
allocate	allocate	tvl
allocated	allocated	tvl
am	am	tvl
amd	amd	tvl
amount	amount	tvl
and	and	tvl
append	append	tvl
args	args	tvl
argument	argument	tvl
arguments	arguments	tvl
arp	arp	tvl
arp콘솔	arp콘솔	tvl
array	array	tvl
assembly	assembly	tvl
at	at	tvl
ata	ata	tvl
atime	atime	tvl
attachment	attachment	tvl
attempts	attempts	tvl
attr	attr	tvl
attribute	attribute	tvl
attributes	attributes	tvl
aux	aux	tvl
avail	avail	tvl
available	available	tvl
b	b	tvl
ba	ba	tvl
back	back	tvl
backend	backend	tvl
backup	backup	tvl
bar	bar	tvl
base	base	tvl
be	be	tvl
bh	bh	tvl
big	big	tvl
bind	bind	tvl
bios	bios	tvl
bit	bit	tvl
bitmap	bitmap	tvl
bitmasp	bitmasp	tvl
bits	bits	tvl
blksize	blksize	tvl
block	block	tvl
blocked	blocked	tvl
blocking	blocking	tvl
blocks	blocks	tvl
boot	boot	tvl
bootable	bootable	tvl
bootloader	bootloader	tvl
bound	bound	tvl
bpb	bpb	tvl
break	break	tvl
brk	brk	tvl
broadcast	broadcast	tvl
buf	buf	tvl
buffer	buffer	tvl
buffers	buffers	tvl
bufptr	bufptr	tvl
bus	bus	tvl
button	button	tvl
buttons	buttons	tvl
by	by	tvl
byte	byte	tvl
bytes	bytes	tvl
c	c	tvl
cache	cache	tvl
call	call	tvl
candidate	candidate	tvl
cap	cap	tvl
capable	capable	tvl
card	card	tvl
central	central	tvl
char	char	tvl
chdir	chdir	tvl
check	check	tvl
checked	checked	tvl
checksum	checksum	tvl
child	child	tvl
chunk	chunk	tvl
class	class	tvl
clear	clear	tvl
cloexec	cloexec	tvl
clone	clone	tvl
close	close	tvl
cluster	cluster	tvl
cmp	cmp	tvl
code	code	tvl
col	col	tvl
color	color	tvl
colordepth	colordepth	tvl
command	command	tvl
commandport	commandport	tvl
common	common	tvl
component	component	tvl
connect	connect	tvl
connected	connected	tvl
console	console	tvl
constant	constant	tvl
contains	contains	tvl
contents	contents	tvl
control	control	tvl
controller	controller	tvl
coordinate	coordinate	tvl
copies	copies	tvl
copy	copy	tvl
count	count	tvl
cow	cow	tvl
cpu	cpu	tvl
cpustate	cpustate	tvl
cpy	cpy	tvl
cr	cr	tvl
creat	creat	tvl
create	create	tvl
crtc	crtc	tvl
cs	cs	tvl
ctime	ctime	tvl
cur	cur	tvl
current	current	tvl
cursor	cursor	tvl
cylinder	cylinder	tvl
d	d	tvl
data	data	tvl
databuffer	databuffer	tvl
datagram	datagram	tvl
dataport	dataport	tvl
date	date	tvl
deactivate	deactivate	tvl
deactive	deactive	tvl
debug	debug	tvl
decrement	decrement	tvl
default	default	tvl
delete	delete	tvl
delta	delta	tvl
depth	depth	tvl
desc	desc	tvl
descr	descr	tvl
description	description	tvl
descriptor	descriptor	tvl
descriptors	descriptors	tvl
descsz	descsz	tvl
destination	destination	tvl
destroy	destroy	tvl
dev	dev	tvl
device	device	tvl
diff	diff	tvl
digits	digits	tvl
dir	dir	tvl
directory	directory	tvl
dirent	dirent	tvl
disable	disable	tvl
discard	discard	tvl
disconnect	disconnect	tvl
dispatch	dispatch	tvl
divide	divide	tvl
divisor	divisor	tvl
do	do	tvl
domain	domain	tvl
double	double	tvl
down	down	tvl
draw	draw	tvl
drive	drive	tvl
driver	driver	tvl
drivercount	drivercount	tvl
drivers	drivers	tvl
drv	drv	tvl
ds	ds	tvl
dst	dst	tvl
dstptr	dstptr	tvl
dup	dup	tvl
dword	dword	tvl
dyn	dyn	tvl
dynamic	dynamic	tvl
e	e	tvl
eacces	eacces	tvl
eaddrinuse	eaddrinuse	tvl
eafnosupport	eafnosupport	tvl
eagain	eagain	tvl
eax	eax	tvl
ebadf	ebadf	tvl
ebp	ebp	tvl
ebusy	ebusy	tvl
ebx	ebx	tvl
echild	echild	tvl
echo	echo	tvl
ecx	ecx	tvl
edi	edi	tvl
edx	edx	tvl
eexist	eexist	tvl
ef	ef	tvl
efault	efault	tvl
efbig	efbig	tvl
eflags	eflags	tvl
ehsize	ehsize	tvl
eintr	eintr	tvl
einval	einval	tvl
eio	eio	tvl
eip	eip	tvl
eisdir	eisdir	tvl
elf	elf	tvl
emfile	emfile	tvl
empty	empty	tvl
emsgsize	emsgsize	tvl
enable	enable	tvl
enabled	enabled	tvl
end	end	tvl
enetunreach	enetunreach	tvl
enfile	enfile	tvl
enodev	enodev	tvl
enoent	enoent	tvl
enoexec	enoexec	tvl
enomem	enomem	tvl
enospc	enospc	tvl
enosys	enosys	tvl
enotconn	enotconn	tvl
enotdir	enotdir	tvl
enotty	enotty	tvl
ensure	ensure	tvl
entries	entries	tvl
entry	entry	tvl
entrypoint	entrypoint	tvl
entsize	entsize	tvl
environment	environment	tvl
eopnotsupp	eopnotsupp	tvl
eperm	eperm	tvl
ephemeral	ephemeral	tvl
eprotonosupport	eprotonosupport	tvl
equal	equal	tvl
erange	erange	tvl
erofs	erofs	tvl
err	err	tvl
error	error	tvl
errorln	errorln	tvl
es	es	tvl
esi	esi	tvl
esp	esp	tvl
espipe	espipe	tvl
esrch	esrch	tvl
ether	ether	tvl
etherframe	etherframe	tvl
ethernet	ethernet	tvl
event	event	tvl
events	events	tvl
exceeded	exceeded	tvl
except	except	tvl
exception	exception	tvl
exec	exec	tvl
execve	execve	tvl
exists	exists	tvl
exit	exit	tvl
exited	exited	tvl
ext	ext	tvl
extended	extended	tvl
f	f	tvl
family	family	tvl
fat	fat	tvl
fatal	fatal	tvl
fatbuf	fatbuf	tvl
fatbuffer	fatbuffer	tvl
fault	fault	tvl
fb	fb	tvl
fcntl	fcntl	tvl
fd	fd	tvl
