standard_identifier	native_identifier	category	current_role	status
in_addr_t	互聯網路位址值型別	network-declaration	internetwork_address_value_type	project-proposal
in_port_t	通訊埠編號型別	network-declaration	transport_port_number_type	project-proposal
in_addr	互聯網路位址	network-declaration	internetwork_address	project-proposal
sockaddr_in	互聯網路端點位址	network-declaration	internetwork_endpoint_address	project-proposal
s_addr	位址值	network-declaration	address_value	project-proposal
sin_family	互聯位址族	network-declaration	internetwork_address_family	project-proposal
sin_port	通訊埠編號	network-declaration	transport_port_number	project-proposal
sin_addr	互聯位址內容	network-declaration	internetwork_address_field	project-proposal
sin_zero	位址填補區	network-declaration	address_padding	project-proposal
sa_family_t	位址族型別	network-declaration	address_family_type	project-proposal
sockaddr	通訊端點位址	network-declaration	endpoint_address	project-proposal
sa_family	端點位址族	network-declaration	endpoint_address_family	project-proposal
sa_data	位址資料	network-declaration	address_payload	project-proposal
socklen_t	位址長度型別	network-declaration	address_length_type	project-proposal
AF_UNSPEC	未指定位址族	network-declaration	unspecified_address_family	project-proposal
AF_INET	互聯網路位址族	network-declaration	internetwork_address_family_code	project-proposal
PF_INET	互聯網路協定族	network-declaration	internetwork_protocol_family	project-proposal
SOCK_STREAM	資料流端點	network-declaration	stream_endpoint	project-proposal
SOCK_DGRAM	資料報端點	network-declaration	datagram_endpoint	project-proposal
SHUT_RD	停止接收	network-declaration	stop_receiving	project-proposal
SHUT_WR	停止傳送	network-declaration	stop_sending	project-proposal
SHUT_RDWR	停止雙向通訊	network-declaration	stop_both_directions	project-proposal
IPPROTO_IP	互聯網路基本協定	network-declaration	default_internetwork_protocol	project-proposal
IPPROTO_UDP	使用者資料報協定	network-declaration	user_datagram_protocol	project-proposal
INADDR_ANY	任意本機位址	network-declaration	any_local_address	project-proposal
INADDR_LOOPBACK	本機迴送位址	network-declaration	loopback_address	project-proposal
hostlong	主機順序32位值	network-declaration	host_order_32_bit_value	project-proposal
hostshort	主機順序16位值	network-declaration	host_order_16_bit_value	project-proposal
netlong	網路順序32位值	network-declaration	network_order_32_bit_value	project-proposal
netshort	網路順序16位值	network-declaration	network_order_16_bit_value	project-proposal
size_t	大小型別	scalar-type	object_size_type	project-proposal
ssize_t	有號大小型別	scalar-type	signed_size_type	project-proposal
ptrdiff_t	指標差型別	scalar-type	pointer_difference_type	project-proposal
off_t	檔案位置型別	scalar-type	file_offset_type	project-proposal
pid_t	行程編號型別	scalar-type	process_identifier_type	project-proposal
uid_t	使用者編號型別	scalar-type	user_identifier_type	project-proposal
gid_t	群組編號型別	scalar-type	group_identifier_type	project-proposal
mode_t	檔案模式型別	scalar-type	file_mode_type	project-proposal
dev_t	裝置編號型別	scalar-type	device_identifier_type	project-proposal
ino_t	檔案唯一編號型別	scalar-type	file_serial_number_type	project-proposal
nlink_t	硬連結數量型別	scalar-type	hard_link_count_type	project-proposal
time_t	時間值型別	scalar-type	time_value_type	project-proposal
blksize_t	區塊大小型別	scalar-type	block_size_type	project-proposal
blkcnt_t	區塊數量型別	scalar-type	block_count_type	project-proposal
int8_t	有號8位整數	scalar-type	signed_8_bit_integer	project-proposal
uint8_t	無號8位整數	scalar-type	unsigned_8_bit_integer	project-proposal
int16_t	有號16位整數	scalar-type	signed_16_bit_integer	project-proposal
uint16_t	無號16位整數	scalar-type	unsigned_16_bit_integer	project-proposal
int32_t	有號32位整數	scalar-type	signed_32_bit_integer	project-proposal
uint32_t	無號32位整數	scalar-type	unsigned_32_bit_integer	project-proposal
int64_t	有號64位整數	scalar-type	signed_64_bit_integer	project-proposal
uint64_t	無號64位整數	scalar-type	unsigned_64_bit_integer	project-proposal
intptr_t	位址寬度有號整數	scalar-type	pointer_sized_signed_integer	project-proposal
uintptr_t	位址寬度無號整數	scalar-type	pointer_sized_unsigned_integer	project-proposal
st_dev	所屬裝置編號	structure-field	containing_device	project-proposal
st_ino	檔案唯一編號	structure-field	file_serial_number	project-proposal
st_mode	檔案類型與權限	structure-field	file_kind_and_permissions	project-proposal
st_nlink	硬連結數量	structure-field	hard_link_count	project-proposal
st_uid	擁有者使用者編號	structure-field	owner_user_identifier	project-proposal
st_gid	擁有者群組編號	structure-field	owner_group_identifier	project-proposal
st_rdev	代表裝置編號	structure-field	represented_device	project-proposal
st_size	檔案大小	structure-field	file_size	project-proposal
st_blksize	建議讀寫區塊大小	structure-field	preferred_io_block_size	project-proposal
st_blocks	已配置區塊數量	structure-field	allocated_block_count	project-proposal
st_atime	最後存取時間	structure-field	last_access_time	project-proposal
st_atimensec	最後存取奈秒	structure-field	last_access_nanoseconds	project-proposal
st_mtime	最後內容修改時間	structure-field	last_content_change_time	project-proposal
st_mtimensec	最後內容修改奈秒	structure-field	last_content_change_nanoseconds	project-proposal
st_ctime	最後狀態變更時間	structure-field	last_status_change_time	project-proposal
st_ctimensec	最後狀態變更奈秒	structure-field	last_status_change_nanoseconds	project-proposal
utsname	系統身分資訊	structure-field	system_identity	project-proposal
sysname	系統名稱	structure-field	system_name	project-proposal
nodename	節點名稱	structure-field	node_name	project-proposal
release	系統發行版	structure-field	system_release	project-proposal
version	系統修訂版	structure-field	system_version	project-proposal
machine	機器類型	structure-field	machine_kind	project-proposal
NULL	空位址	interface-constant	null_pointer	project-proposal
EXIT_SUCCESS	成功結束	interface-constant	successful_exit	project-proposal
EXIT_FAILURE	失敗結束	interface-constant	failed_exit	project-proposal
STDIN_FILENO	標準輸入編號	interface-constant	standard_input_descriptor	project-proposal
STDOUT_FILENO	標準輸出編號	interface-constant	standard_output_descriptor	project-proposal
STDERR_FILENO	標準錯誤輸出編號	interface-constant	standard_error_descriptor	project-proposal
F_OK	檢查存在	interface-constant	test_existence	project-proposal
R_OK	檢查讀取權限	interface-constant	test_read_permission	project-proposal
W_OK	檢查寫入權限	interface-constant	test_write_permission	project-proposal
X_OK	檢查執行權限	interface-constant	test_execute_permission	project-proposal
SEEK_SET	從起點定位	interface-constant	offset_from_start	project-proposal
SEEK_CUR	從目前位置定位	interface-constant	offset_from_current	project-proposal
SEEK_END	從末尾定位	interface-constant	offset_from_end	project-proposal
O_RDONLY	唯讀開啟	interface-constant	open_read_only	project-proposal
O_WRONLY	唯寫開啟	interface-constant	open_write_only	project-proposal
O_RDWR	讀寫開啟	interface-constant	open_read_write	project-proposal
O_ACCMODE	存取模式遮罩	interface-constant	access_mode_mask	project-proposal
O_CREAT	不存在則建立	interface-constant	create_if_missing	project-proposal
O_EXCL	僅允許新檔案	interface-constant	require_new_file	project-proposal
O_TRUNC	清空原有內容	interface-constant	truncate_existing_file	project-proposal
O_APPEND	在末尾附加	interface-constant	append_at_end	project-proposal
O_DIRECTORY	僅允許目錄	interface-constant	require_directory	project-proposal
F_DUPFD	複製描述編號	interface-constant	duplicate_descriptor	project-proposal
F_GETFD	取得描述編號旗標	interface-constant	read_descriptor_flags	project-proposal
F_SETFD	設定描述編號旗標	interface-constant	set_descriptor_flags	project-proposal
F_GETFL	取得檔案狀態旗標	interface-constant	read_file_status_flags	project-proposal
F_SETFL	設定檔案狀態旗標	interface-constant	set_file_status_flags	project-proposal
FD_CLOEXEC	替換程式時關閉	interface-constant	close_on_program_replacement	project-proposal
WNOHANG	未就緒則不等待	interface-constant	do_not_wait_if_unready	project-proposal
WIFEXITED	檢查正常結束	interface-constant	exited_normally	project-proposal
WEXITSTATUS	提取結束值	interface-constant	extract_exit_status	project-proposal
S_IFMT	檔案類型遮罩	interface-constant	file_kind_mask	project-proposal
S_IFDIR	目錄類型	interface-constant	directory_kind	project-proposal
S_IFCHR	字元裝置類型	interface-constant	character_device_kind	project-proposal
S_IFREG	一般檔案類型	interface-constant	regular_file_kind	project-proposal
S_IRUSR	擁有者讀取權限	interface-constant	owner_read_permission	project-proposal
S_IWUSR	擁有者寫入權限	interface-constant	owner_write_permission	project-proposal
S_IXUSR	擁有者執行權限	interface-constant	owner_execute_permission	project-proposal
S_IRGRP	所屬群組讀取權限	interface-constant	group_read_permission	project-proposal
S_IWGRP	所屬群組寫入權限	interface-constant	group_write_permission	project-proposal
S_IXGRP	所屬群組執行權限	interface-constant	group_execute_permission	project-proposal
S_IROTH	其他人讀取權限	interface-constant	others_read_permission	project-proposal
S_IWOTH	其他人寫入權限	interface-constant	others_write_permission	project-proposal
S_IXOTH	其他人執行權限	interface-constant	others_execute_permission	project-proposal
S_ISDIR	檢查目錄模式	interface-constant	is_directory_mode	project-proposal
S_ISCHR	檢查字元裝置模式	interface-constant	is_character_device_mode	project-proposal
S_ISREG	檢查一般檔案模式	interface-constant	is_regular_file_mode	project-proposal
EPERM	錯誤操作不允許	error-code	operation_not_permitted	project-proposal
ENOENT	錯誤檔案或目錄不存在	error-code	file_or_directory_missing	project-proposal
ESRCH	錯誤行程不存在	error-code	process_missing	project-proposal
EINTR	錯誤操作被中斷	error-code	operation_interrupted	project-proposal
EIO	錯誤輸入輸出失敗	error-code	input_output_error	project-proposal
