original	localized	language
Activate	Activate	sw
ActivateAll	Activateall	sw
Active	Active	sw
ActiveInterruptManager	Activeinterruptmanager	sw
ActiveMemoryManager	Activememorymanager	sw
Add	Add	sw
AddDriver	Adddriver	sw
AddRunnableThread	Addrunnablethread	sw
AddTask	Addtask	sw
AddThread	Addthread	sw
Address	Address	sw
AlignedMalloc	Alignedmalloc	sw
AlignmentCheck	Alignmentcheck	sw
AllocateBlock	Allocateblock	sw
AllocatePID	Allocatepid	sw
AmountOfMemory	Amountofmemory	sw
ArrayToUint16	Arraytounsignedinteger16	sw
ArrayToUint32	Arraytounsignedinteger32	sw
ArrayToUint48	Arraytounsignedinteger48	sw
ArrayToUint48_BE	Arraytounsignedinteger48be	sw
ArrayToUint64	Arraytounsignedinteger64	sw
Atime	Atime	sw
AtimeNsec	Atimensec	sw
BLOCKS_PER_BYTE	Blockperbyte	sw
BLOCK_SIZE	Blocksize	sw
Backend	Backend	sw
BaseAddr	Baseaddress	sw
Bind	Bind	sw
Blksize	Blksize	sw
Blocked	Blocked	sw
BlockedState	Blockedstate	sw
Blocks	Block	sw
BoundRangeExceeded	Boundrangeexceeded	sw
BroadcastMacAddress	Broadcastmacaddress	sw
BytesPerSector	Bytespersector	sw
BytesToString	Bytestostring	sw
Checksum	Checksum	sw
Clear	Clear	sw
Clone	Clone	sw
CloneAddressSpaceCOW	Cloneaddressspacecow	sw
Connect	Connect	sw
ContainsCoordinate	Containscoordinate	sw
CopyPageFrameBlock	Copypageframeblock	sw
CpuState	Cpustate	sw
Create	Create	sw
CreateFromData	Createfromdata	sw
CreateFromFunction	Createfromfunction	sw
CreatePtrFromFunction	Createpointerfromfunction	sw
Cs	Cs	sw
Ctime	Ctime	sw
CtimeNsec	Ctimensec	sw
CurrentPID	Currentpid	sw
CurrentParentPID	Currentparentpid	sw
Data	Data	sw
Deactivate	Deactivate	sw
Deactive	Deactive	sw
Decrement	Decrement	sw
Delete	Delete	sw
DescriptorPrivilegeLevel	Descriptorprivilegelevel	sw
DescriptorType	Descriptortype	sw
Destroy	Destroy	sw
Dev	Device	sw
DeviceHasFunctions	Devicehasfunctions	sw
DeviceNotAvailable	Devicenotavailable	sw
Device_id	Deviceid	sw
DisableInt	Disableint	sw
Disconnect	Disconnect	sw
DivideByZero	Dividebyzero	sw
DoHandleInterrupt	Dohandleinterrupt	sw
DoubleFault	Doublefault	sw
Draw	Draw	sw
DriverManager	Drivermanager	sw
Ds	Ds	sw
Dynamic	Dynamic	sw
E2BIG	E2big	sw
EACCES	Eacces	sw
EADDRINUSE	Eaddrinuse	sw
EAFNOSUPPORT	Eafnosupport	sw
EAGAIN	Eagain	sw
EBADF	Ebadf	sw
EBUSY	Ebusy	sw
ECHILD	Echild	sw
EEXIST	Eexist	sw
EFAULT	Efault	sw
EFBIG	Efbig	sw
EINTR	Eintr	sw
EINVAL	Einval	sw
EIO	Eio	sw
EISDIR	Eisdir	sw
EMFILE	Emfile	sw
EMSGSIZE	Emsgsize	sw
ENETUNREACH	Enetunreach	sw
ENFILE	Enfile	sw
ENODEV	Enodev	sw
ENOENT	Enoent	sw
ENOEXEC	Enoexec	sw
ENOMEM	Enomem	sw
ENOSPC	Enospc	sw
ENOSYS	Enosys	sw
ENOTCONN	Enotconn	sw
ENOTDIR	Enotdir	sw
ENOTTY	Enotty	sw
EOPNOTSUPP	Eopnotsupp	sw
EPERM	Eperm	sw
EPROTONOSUPPORT	Eprotonosupport	sw
ERANGE	Erange	sw
EROFS	Erofs	sw
ESPIPE	Espipe	sw
ESRCH	Esrch	sw
Eax	Eax	sw
Ebp	Ebp	sw
Ebx	Ebx	sw
Ecx	Ecx	sw
Edi	Edi	sw
Edx	Edx	sw
Eflags	Eflags	sw
Eip	Eip	sw
Elf	Elf	sw
Elf32Dyn	Elf32dyn	sw
Elf32Note	Elf32note	sw
Elf32Rel	Elf32rel	sw
Elf32Rela	Elf32rela	sw
Elf32Sym	Elf32sym	sw
ElfHeader	Elfheader	sw
ElfProgramHeader	Elfprogramheader	sw
ElfSectionHeader	Elfsectionheader	sw
EnablePaging	Enablepaging	sw
Enabled	Enabled	sw
EntryNumber	Entrynumber	sw
EqualBytes	Equalbytes	sw
Es	Es	sw
Esi	Esi	sw
Esp	Esp	sw
FPUBuffer	Fpubuffer	sw
FPUOffset	Fpuoffset	sw
Family	Family	sw
FileName	FileJina	sw
Fill	Fill	sw
FillRectangle	Fillrectangle	sw
First	First	sw
FirstFree	Firstfree	sw
FirstFreeSize	Firstfreesize	sw
Flags	Flags	sw
FloatingPointException	Floatingpointexception	sw
Flush	Flush	sw
FlushTlsTable	Flushtlstable	sw
Focussable	Focussable	sw
Free	Free	sw
Fs	Fs	sw
GB	Gb	sw
GDT_ENTRIES	Gdtentry	sw
GOT	Got	sw
GPFException	Gpfexception	sw
GatewayIP	Gatewayip	sw
GdtAddressHigh	Gdtaddresshigh	sw
GdtAddressLow	Gdtaddresslow	sw
GdtDescriptor	Gdtdescriptor	sw
GdtEntry	Gdtentry_2	sw
GdtSize	Gdtsize	sw
GetAt	Getat	sw
GetBackend	Getbackend	sw
GetBaseAddressRegister	Getbaseaddressregister	sw
GetBitmaspSize	Getbitmaspsize	sw
GetBytesFromPtr	Getbytesfrompointer	sw
GetCR0	Getcr0	sw
GetCR2	Getcr2	sw
GetCR3	Getcr3	sw
GetCR4	Getcr4	sw
GetColorIndex	Getcolorindex	sw
GetDeviceDescriptor	Getdevicedescriptor	sw
GetDriver	Getdriver	sw
GetESP0	Getesp0	sw
GetEntry	Getentry	sw
GetFileSize	Getfilesize	sw
GetFocus	Getfocus	sw
GetFrameBufferSegment	Getframebuffersegment	sw
GetFuncPtrFromPtr	Getfuncpointerfrompointer	sw
GetFunctionName	GetfunctionJina	sw
GetHandler	Gethandler	sw
GetIPAddress	Getipaddress	sw
GetMACAddress	Getmacaddress	sw
GetMACFromCache	Getmacfromcache	sw
GetNextReadyThread	Getnextreadythread	sw
GetNodeAt	Getnodeat	sw
GetProvider	Providerget	sw
GetSS0	Getss0	sw
GetStr	Getstr	sw
GetUint32ArrayFromPtr	Getunsignedinteger32arrayfrompointer	sw
GetUintptrArrayFromPtr	Getunsignedintegerpointerarrayfrompointer	sw
GetValue	Getvalue	sw
GetValueInPageDir	Getvalueinpagedirectory	sw
Gid	Gid	sw
Gs	Gs	sw
HandleException	Handleexception	sw
HandleFatalInterruptFrame	Handlefatalinterruptframe	sw
HandleInterrupt	Handleinterrupt	sw
HandleInterrupt1	Handleinterrupt1	sw
HandleUserDatagramProtocolMessage	Handleuserdatagramprotocolmessage	sw
IDT_DESC_PRESENT	Idtdescriptorpresent	sw
IDT_INTERRUPT_GATE	Idtinterruptgate	sw
IDriver	IDriver	sw
IEtherFrameHandler	IEthernetframehandler	sw
IInternetProtocolHandler	IInternetprotocolhandler	sw
IInterruptHandler	IInterrupthandler	sw
IKeyboardEventHandler	IKeyboardeventhandler	sw
IMouseEventHandler	IMouseeventhandler	sw
IPCIControllerHandler	Ipcicontrollerhandler	sw
IPCache	Ipcache	sw
IP_BE	Ipnetworkbyteorder	sw
IRawDataHandler	IRawdatahandler	sw
ITimerEventHandler	ITimereventhandler	sw
IUserDatagramProtocolHandler	IUserdatagramprotocolhandler	sw
IUserDatagramProtocolSocket	IUserdatagramprotocolsocket	sw
IWidget	IWidget	sw
Identify	Identify	sw
Increment	Increment	sw
IndexOf	Indexof	sw
Init	Init	sw
InitDriver	Initdriver	sw
InitialThreadUserJump	Initialthreaduserjump	sw
Ino	Ino	sw
Install	Install	sw
Interrupt	Interrupt	sw
InterruptActive	Interruptactive	sw
InterruptDeactive	Interruptdeactive	sw
InterruptManager	Interruptmanager	sw
InterruptNumber	Interruptnumber	sw
InvalidOpcode	Invalidopcode	sw
InvalidTSS	Invalidtss	sw
IsKernel	Iskernel	sw
IsPresent	Ispresent	sw
IsUserSpace	Isuserspace	sw
KB	Kb	sw
KCS_INDEX	Kcsindex	sw
