원래경로	변환경로
src/amd_am79c973/amd_am79c973.go	src/amdam79c973/amdam79c973.go
src/arp/arp.go	src/arp/arp.go
src/common/memoperations.go	src/звичайний/памятьoperation.go
src/common/type.go	src/звичайний/тип.go
src/console/console.go	src/консоль/консоль.go
src/console/console.s	src/консоль/консоль.s
src/drivers/ata/ata.go	src/driver/ата/ата.go
src/drivers/driver/driver.go	src/driver/driver/driver.go
src/drivers/keyboard/keyboard.go	src/driver/клавіатура/клавіатура.go
src/drivers/mouse/mouse.go	src/driver/вказівний_пристрій/вказівний_пристрій.go
src/drivers/timer/timer.go	src/driver/таймер/таймер.go
src/etherframe/etherframe.go	src/кадр_мережі_зі_спільним_середовищем/кадр_мережі_зі_спільним_середовищем.go
src/filesystem/elf/elf.go	src/файлСистема/виконуваний_і_компонований_формат/виконуваний_і_компонований_формат.go
src/filesystem/elf/elfheader.go	src/файлСистема/виконуваний_і_компонований_формат/elfheader.go
src/filesystem/elf/elfsection.go	src/файлСистема/виконуваний_і_компонований_формат/elfsection.go
src/filesystem/elf/linkmap.go	src/файлСистема/виконуваний_і_компонований_формат/посиланняmap.go
src/filesystem/fat/fat.go	src/файлСистема/fat/fat.go
src/filesystem/msdospart/msdospart.go	src/файлСистема/msdospartition/msdospartition.go
src/gate/gate.go	src/gate/gate.go
src/gate/gate.s	src/gate/gate.s
src/gate/gate_amd64.go	src/gate/gateamd64.go
src/gate/gate_amd64.s	src/gate/gateamd64.s
src/gdt/gdt.go	src/gdt/gdt.go
src/gdt/gdt.s	src/gdt/gdt.s
src/icmp/icmp.go	src/протокол_керувальних_повідомлень_обʼєднаної_мережі/протокол_керувальних_повідомлень_обʼєднаної_мережі.go
src/interrupt/interrupt.go	src/переривання/переривання.go
src/interrupt/interrupt.s	src/переривання/переривання.s
src/ipv4/ipv4.go	src/протокол_обʼєднаної_мережі_4/протокол_обʼєднаної_мережі_4.go
src/memorymanager/memorymanager.go	src/памятьmanager/памятьmanager.go
src/multitasking/multi.s	src/multitasking/multi.s
src/multitasking/multitasking.go	src/multitasking/multitasking.go
src/paging/paging.go	src/paging/paging.go
src/paging/paging.s	src/paging/paging.s
src/pci/pci.go	src/pci/pci.go
src/phymem/phymem.go	src/physicalПамять/physicalПамять.go
src/port/port.go	src/порт/порт.go
src/port/port.s	src/порт/порт.s
src/systemcall/systemcall.go	src/системаcall/системаcall.go
src/systemcall/systemcall.s	src/системаcall/системаcall.s
src/tasking/process/process.go	src/tasking/процеси/процеси.go
src/tasking/scheduler/scheduler.go	src/tasking/scheduler/scheduler.go
src/tasking/scheduler/scheduler.s	src/tasking/scheduler/scheduler.s
src/tasking/thread/thread.go	src/tasking/thread/thread.go
src/tasking/tss/tss.go	src/tasking/tss/tss.go
src/tasking/tss/tss.s	src/tasking/tss/tss.s
src/text_mode/text_mode.go	src/текстРЕЖИМ/текстРЕЖИМ.go
src/udp/udp.go	src/протокол_користувацьких_датаграм/протокол_користувацьких_датаграм.go
src/util/array/array.go	src/util/масив/масив.go
src/util/list/list.go	src/util/перелік/перелік.go
src/util/util.go	src/util/util.go
src/vga/vga.go	src/vga/vga.go
src/virtmem/virtmem.go	src/віртуальнийПамять/віртуальнийПамять.go
src/widget/widget.go	src/елемент_екрана/елемент_екрана.go
main.go	головний.go
main.s	головний.s
asm/constants.inc	запуск_машини/стала.inc
asm/gdt.inc	запуск_машини/gdt.inc
asm/go_asm_offsets.inc	запуск_машини/goasmoffset.inc
asm/multiboot_header.s	запуск_машини/multibootheader.s
asm/rt0.s	запуск_машини/rt0.s
go.sh	зібрати_ядро.sh
linker.ld	схема_компонування.ld
tools/decode-virtualbox-log.sh	інструменти/розібрати_послідовний_журнал.sh
tools/offsets.go	інструменти/зсуви_структури.go
userland/posix/Makefile	простір_користувача/posix/Makefile
