original	localized	language
Activate	Активувати	uk
ActivateAll	АктивуватиВсі	uk
Active	Активний	uk
ActiveInterruptManager	АктивнийПерериванняmanager	uk
ActiveMemoryManager	АктивнийПамятьmanager	uk
Add	Додати	uk
AddDriver	Додатиdriver	uk
AddRunnableThread	Додатиrunnablethread	uk
AddTask	ДодатиЗадача	uk
AddThread	Додатиthread	uk
Address	Адреса	uk
AlignedMalloc	Alignedmalloc	uk
AlignmentCheck	Alignmentcheck	uk
AllocateBlock	AllocateБлок	uk
AllocatePID	AllocateІдентифікаторPID	uk
AmountOfMemory	КількістьзПамять	uk
ArrayToUint16	Масивтоunsignedinteger16	uk
ArrayToUint32	Масивтоunsignedinteger32	uk
ArrayToUint48	Масивтоunsignedinteger48	uk
ArrayToUint48_BE	Масивтоunsignedinteger48be	uk
ArrayToUint64	Масивтоunsignedinteger64	uk
Atime	Atime	uk
AtimeNsec	Atimensec	uk
BLOCKS_PER_BYTE	Блокperbyte	uk
BLOCK_SIZE	БлокРозмір	uk
Backend	Backend	uk
BaseAddr	BaseАдреса	uk
Bind	Повязати	uk
Blksize	Blksize	uk
Blocked	Blocked	uk
BlockedState	BlockedСтан	uk
Blocks	Блок	uk
BoundRangeExceeded	BoundДіяпазонexceeded	uk
BroadcastMacAddress	BroadcastmacАдреса	uk
BytesPerSector	Байтpersector	uk
BytesToString	БайттоРядок	uk
Checksum	Checksum	uk
Clear	Очистити	uk
Clone	Clone	uk
CloneAddressSpaceCOW	CloneАдресаПробілcow	uk
Connect	Зєднати	uk
ContainsCoordinate	Containscoordinate	uk
CopyPageFrameBlock	КопіюватиСторінкаБлокБлок	uk
CpuState	ПроцесорСтан	uk
Create	Create	uk
CreateFromData	Createзdata	uk
CreateFromFunction	CreateзФункція	uk
CreatePtrFromFunction	CreateВказівникзФункція	uk
Cs	Cs	uk
Ctime	Ctime	uk
CtimeNsec	Ctimensec	uk
CurrentPID	ПоточнаІдентифікаторPID	uk
CurrentParentPID	ПоточнабатькоІдентифікаторPID	uk
Data	Data	uk
Deactivate	Деактивувати	uk
Deactive	Deactive	uk
Decrement	Decrement	uk
Delete	Вилучити	uk
DescriptorPrivilegeLevel	Descriptorprivilegelevel	uk
DescriptorType	DescriptorТип	uk
Destroy	Знищити	uk
Dev	Пристрій	uk
DeviceHasFunctions	ПристрійХасіФункції	uk
DeviceNotAvailable	ПристрійnotДоступно	uk
Device_id	ПристрійІДЕНТИФІКАТОР	uk
DisableInt	Вимкнутиint	uk
Disconnect	Відєднатися	uk
DivideByZero	ПоділитиbyНуль	uk
DoHandleInterrupt	DoЕлементкеруванняПереривання	uk
DoubleFault	Подвійнийfault	uk
Draw	Draw	uk
DriverManager	Drivermanager	uk
Ds	Ds	uk
Dynamic	Динамічно	uk
E2BIG	E2big	uk
EACCES	Eacces	uk
EADDRINUSE	Eaddrinuse	uk
EAFNOSUPPORT	Eafnosupport	uk
EAGAIN	Eagain	uk
EBADF	Ebadf	uk
EBUSY	Ebusy	uk
ECHILD	Echild	uk
EEXIST	Eexist	uk
EFAULT	Efault	uk
EFBIG	Efbig	uk
EINTR	Eintr	uk
EINVAL	Einval	uk
EIO	Eio	uk
EISDIR	Eisdir	uk
EMFILE	Emfile	uk
EMSGSIZE	Emsgsize	uk
ENETUNREACH	Enetunreach	uk
ENFILE	Enfile	uk
ENODEV	Enodev	uk
ENOENT	Enoent	uk
ENOEXEC	Enoexec	uk
ENOMEM	Enomem	uk
ENOSPC	Enospc	uk
ENOSYS	Enosys	uk
ENOTCONN	Enotconn	uk
ENOTDIR	Enotdir	uk
ENOTTY	Enotty	uk
EOPNOTSUPP	Eopnotsupp	uk
EPERM	Eperm	uk
EPROTONOSUPPORT	Eprotonosupport	uk
ERANGE	Erange	uk
EROFS	Erofs	uk
ESPIPE	Espipe	uk
ESRCH	Esrch	uk
Eax	Eax	uk
Ebp	Ebp	uk
Ebx	Ebx	uk
Ecx	Ecx	uk
Edi	Edi	uk
Edx	Edx	uk
Eflags	Eflags	uk
Eip	Eip	uk
Elf	Elf	uk
Elf32Dyn	Elf32dyn	uk
Elf32Note	Elf32Нотатка	uk
Elf32Rel	Elf32rel	uk
Elf32Rela	Elf32rela	uk
Elf32Sym	Elf32sym	uk
ElfHeader	Elfheader	uk
ElfProgramHeader	Elfпрограмаheader	uk
ElfSectionHeader	Elfsectionheader	uk
EnablePaging	Дозволитиpaging	uk
Enabled	Включено	uk
EntryNumber	ЗаписЧисло	uk
EqualBytes	РівноБайт	uk
Es	Es	uk
Esi	Esi	uk
Esp	Esp	uk
FPUBuffer	Fpubuffer	uk
FPUOffset	Fpuoffset	uk
Family	Family	uk
FileName	ФайлНазва	uk
Fill	Fill	uk
FillRectangle	FillПрямокутник	uk
First	First	uk
FirstFree	FirstВільно	uk
FirstFreeSize	FirstВільноРозмір	uk
Flags	Прапори	uk
FloatingPointException	Плаваючеpointexception	uk
Flush	Flush	uk
FlushTlsTable	FlushtlsТаблиця	uk
Focussable	Focussable	uk
Free	Вільно	uk
Fs	Fs	uk
GB	ГБ	uk
GDT_ENTRIES	Gdtзапис	uk
GOT	Got	uk
GPFException	Gpfexception	uk
GatewayIP	Gatewayip	uk
GdtAddressHigh	GdtАдресаВисокий	uk
GdtAddressLow	GdtАдресаНизька	uk
GdtDescriptor	Gdtdescriptor	uk
GdtEntry	Gdtзапис_2	uk
GdtSize	GdtРозмір	uk
GetAt	Getat	uk
GetBackend	Getbackend	uk
GetBaseAddressRegister	GetbaseАдресаregister	uk
GetBitmaspSize	GetbitmaspРозмір	uk
GetBytesFromPtr	GetБайтзВказівник	uk
GetCR0	Getcr0	uk
GetCR2	Getcr2	uk
GetCR3	Getcr3	uk
GetCR4	Getcr4	uk
GetColorIndex	GetКолірІндекс	uk
GetDeviceDescriptor	GetПристрійdescriptor	uk
GetDriver	Getdriver	uk
GetESP0	Getesp0	uk
GetEntry	Getзапис	uk
