english	localized	source	evidence_count
a	а	gettext	2
access	доступ	gettext	5
ack	ack	fallback-English	0
activate	Активувати	gettext	2
active	Активний	gettext	5
add	Додати	gettext	31
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	Адреса	gettext	5
advanced	Додатково	gettext	25
af	af	fallback-English	0
after	Після	gettext	5
align	Вирівнювання	gettext	5
aligned	aligned	fallback-English	0
alignment	alignment	fallback-English	0
all	Всі	gettext	4
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	Кількість	gettext	1
and	and	fallback-English	0
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	Аргументи	gettext	1
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	Масив	gettext	10
assembly	assembly	fallback-English	0
at	at	fallback-English	0
ata	ата	gettext	2
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	ознака	gettext	5
attributes	Атрибути	gettext	1
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	Доступно	gettext	6
b	Б	gettext	2
ba	ba	fallback-English	0
back	Назад	gettext	19
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	Бар	gettext	2
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	big	fallback-English	0
bind	Повязати	gettext	5
bios	bios	fallback-English	0
bit	біт	gettext	2
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	біт	gettext	1
blksize	blksize	fallback-English	0
block	Блок	gettext	15
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	Блоки	gettext	1
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	Буфери	gettext	2
bufptr	bufptr	fallback-English	0
bus	bus	fallback-English	0
button	Кнопка	gettext	7
buttons	Кнопки	gettext	6
by	by	fallback-English	0
byte	byte	fallback-English	0
bytes	Байт	gettext	5
c	Ц	gettext	1
cache	cache	fallback-English	0
call	call	fallback-English	0
candidate	candidate	fallback-English	0
cap	cap	fallback-English	0
capable	capable	fallback-English	0
card	Карткові	gettext	1
central	Центральнийокруг	gettext	2
char	char	fallback-English	0
chdir	chdir	fallback-English	0
check	check	fallback-English	0
checked	checked	fallback-English	0
checksum	checksum	fallback-English	0
child	дочірнійобєкт	gettext	5
chunk	chunk	fallback-English	0
class	Клас	gettext	6
clear	Очистити	gettext	10
cloexec	cloexec	fallback-English	0
clone	clone	fallback-English	0
close	Закрити	gettext	50
cluster	cluster	fallback-English	0
cmp	cmp	fallback-English	0
code	code	fallback-English	0
col	кол	gettext	2
color	Колір	gettext	3
colordepth	colordepth	fallback-English	0
command	Команда	gettext	24
commandport	commandport	fallback-English	0
common	звичайний	gettext	5
component	component	fallback-English	0
connect	Зєднати	gettext	5
connected	connected	fallback-English	0
console	Консоль	gettext	10
constant	Стала	gettext	1
contains	contains	fallback-English	0
contents	Зміст	gettext	45
control	Контроль	gettext	1
controller	Контролер	gettext	5
coordinate	coordinate	fallback-English	0
copies	copies	fallback-English	0
copy	Копіювати	gettext	42
count	Відлік	gettext	5
cow	cow	fallback-English	0
cpu	Процесор	gettext	5
cpustate	cpustate	fallback-English	0
cpy	cpy	fallback-English	0
cr	cr	fallback-English	0
creat	creat	fallback-English	0
create	create	fallback-English	0
crtc	crtc	fallback-English	0
