compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	місткість_рядка_введення	project-proposal
MAX_ARGUMENT_COUNT	максимальна_кількість_аргументів	project-proposal
MAX_SCRIPT_DEPTH	максимальна_вкладеність_командних_файлів	project-proposal
argument_count	кількість_аргументів	project-proposal
arguments	аргументи	project-proposal
buffer	буфер_передавання_2	project-proposal
bytes_read	прочитані_байти	project-proposal
bytes_written	кількість_записаних_байтів	project-proposal
capacity	місткість	project-proposal
character	символ	project-proposal
child_pid	номер_дочірнього_процесу	project-proposal
cleanup	закрити_кінцеві_точки	project-proposal
command	команда	project-proposal
command_aliases	місцеві_назви_команд	project-proposal
command_cat	показати_вміст_файла	project-proposal
command_echo	вивести_аргументи	project-proposal
command_matches	команда_збігається	project-proposal
command_names	основні_команди	project-proposal
command_pid	показати_номери_процесів	project-proposal
command_pwd	показати_поточний_каталог	project-proposal
command_run	запустити_програму	project-proposal
command_source	виконати_командний_файл	project-proposal
command_stat	показати_відомості_про_файл	project-proposal
command_udp	перевірити_повернення_датаграми	project-proposal
command_uname	показати_відомості_про_систему	project-proposal
current	поточна_позиція	project-proposal
digit_text	символи_цифр	project-proposal
file_descriptor	дескриптор_файла_2	project-proposal
file_name	ім_я_файла	project-proposal
input	введення	project-proposal
input_descriptor	дескриптор_введення	project-proposal
input_line	рядок_введення	project-proposal
input_stream	потік_введення	project-proposal
left	ліворуч	project-proposal
length	довжина	project-proposal
message	повідомлення	project-proposal
message_length	довжина_повідомлення_в_байтах	project-proposal
name	відомості_про_систему	project-proposal
number	модуль_без_знака	project-proposal
operation	операція	project-proposal
output	позиція_виведення	project-proposal
overflow	неприпустимий_рядок_введення	project-proposal
path	шлях	project-proposal
position	позиція	project-proposal
print_help	показати_довідку	project-proposal
quote	лапки	project-proposal
read_line	прочитати_рядок_введення	project-proposal
receive_address	адреса_отримувача	project-proposal
receive_socket	приймальна_кінцева_точка	project-proposal
received_data	отримані_дані	project-proposal
received_length	кількість_отриманих_байтів	project-proposal
right	праворуч	project-proposal
run_input	розібрати_введення	project-proposal
script_depth	глибина_вкладеності_командних_файлів	project-proposal
send_socket	передавальна_кінцева_точка	project-proposal
size	кількість_цифр	project-proposal
source_address	адреса_відправника	project-proposal
source_address_length	довжина_адреси_відправника	project-proposal
split_arguments	розділити_аргументи	project-proposal
status	стан	project-proposal
text	текст	project-proposal
text_equal	тексти_однакові	project-proposal
text_length	довжина_тексту_в_байтах	project-proposal
value	значення	project-proposal
wait_status	стан_завершення_дочірнього_процесу	project-proposal
write_error	повідомити_про_помилку	project-proposal
write_integer	вивести_ціле_число	project-proposal
write_text	вивести_текст	project-proposal
