english	localized	source	evidence_count
a	a	fallback-English	0
access	acceso	gettext	5
ack	ack	fallback-English	0
activate	Activar	gettext	3
active	Activo	gettext	11
add	Añadir	gettext	30
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	Dirección	gettext	5
advanced	Avanzado	gettext	35
af	af	fallback-English	0
after	Después	gettext	5
align	Alinear	gettext	6
aligned	aligned	fallback-English	0
alignment	alignment	fallback-English	0
all	Todo	gettext	5
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	Cantidad	gettext	1
and	y	gettext	2
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	Argumentos	gettext	1
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	matriz	curated-seed	5
assembly	ensamblador	curated-seed	0
at	at	fallback-English	0
ata	ata	fallback-English	0
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	atributo	curated-seed	5
attributes	Atributos	gettext	1
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	Disponible	gettext	6
b	b	fallback-English	0
ba	ba	fallback-English	0
back	Atrás	gettext	16
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	Barra	gettext	2
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	big	fallback-English	0
bind	Víncula	gettext	5
bios	bios	fallback-English	0
bit	bit	fallback-English	0
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	bits	fallback-English	0
blksize	blksize	fallback-English	0
block	Bloque	gettext	15
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	Bloques	gettext	1
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	Búferes	gettext	2
bufptr	bufptr	fallback-English	0
bus	bus	fallback-English	0
button	Botón	gettext	7
buttons	Botones	gettext	11
by	by	fallback-English	0
byte	octeto	curated-seed	0
bytes	bytes	fallback-English	0
c	N	gettext	1
cache	cache	fallback-English	0
call	llamada	curated-seed	0
candidate	candidate	fallback-English	0
cap	cap	fallback-English	0
capable	capable	fallback-English	0
card	Cartas	gettext	1
central	central	fallback-English	0
char	char	fallback-English	0
chdir	chdir	fallback-English	0
check	check	fallback-English	0
checked	checked	fallback-English	0
checksum	Sumadeverificación	gettext	1
child	hijo	gettext	5
chunk	chunk	fallback-English	0
class	Clase	gettext	6
clear	Limpiar	gettext	12
cloexec	cloexec	fallback-English	0
clone	clone	fallback-English	0
close	cerrar	curated-seed	48
cluster	cluster	fallback-English	0
cmp	cmp	fallback-English	0
code	code	fallback-English	0
col	col	fallback-English	0
color	color	fallback-English	0
colordepth	colordepth	fallback-English	0
command	Orden	gettext	16
commandport	commandport	fallback-English	0
common	común	curated-seed	5
component	component	fallback-English	0
connect	Conectar	gettext	5
connected	connected	fallback-English	0
console	consola	curated-seed	10
constant	constante	curated-seed	2
contains	contains	fallback-English	0
contents	Índice	gettext	21
control	control	fallback-English	0
controller	controlador	curated-seed	5
coordinate	coordinate	fallback-English	0
copies	copies	fallback-English	0
copy	copiar	curated-seed	42
count	Recuento	gettext	5
cow	cow	fallback-English	0
cpu	cpu	fallback-English	0
cpustate	cpustate	fallback-English	0
cpy	cpy	fallback-English	0
cr	cr	fallback-English	0
creat	creat	fallback-English	0
create	crear	curated-seed	0
crtc	crtc	fallback-English	0
cs	cs	fallback-English	0
ctime	ctime	fallback-English	0
cur	cur	fallback-English	0
