english	localized	language
a	a	uz_Latn
access	ruxsat	uz_Latn
ack	ack	uz_Latn
activate	Faollashtirish	uz_Latn
active	faol	uz_Latn
add	Qoʻshish	uz_Latn
addend	addend	uz_Latn
addr	addr	uz_Latn
addralign	addralign	uz_Latn
address	address	uz_Latn
advanced	Murakkab	uz_Latn
af	af	uz_Latn
after	after	uz_Latn
align	Tekislash	uz_Latn
aligned	aligned	uz_Latn
alignment	alignment	uz_Latn
all	Hammasi	uz_Latn
alloc	alloc	uz_Latn
allocate	allocate	uz_Latn
allocated	allocated	uz_Latn
am	am	uz_Latn
amd	amd	uz_Latn
amount	amount	uz_Latn
and	and	uz_Latn
append	append	uz_Latn
args	args	uz_Latn
argument	argument	uz_Latn
arguments	arguments	uz_Latn
arp	arp	uz_Latn
arp콘솔	arp콘솔	uz_Latn
array	array	uz_Latn
assembly	assembly	uz_Latn
at	at	uz_Latn
ata	ata	uz_Latn
atime	atime	uz_Latn
attachment	attachment	uz_Latn
attempts	attempts	uz_Latn
attr	attr	uz_Latn
attribute	attribute	uz_Latn
attributes	attributes	uz_Latn
aux	aux	uz_Latn
avail	avail	uz_Latn
available	Mavjud	uz_Latn
b	b	uz_Latn
ba	ba	uz_Latn
back	Orqaga	uz_Latn
backend	backend	uz_Latn
backup	backup	uz_Latn
bar	bar	uz_Latn
base	base	uz_Latn
be	be	uz_Latn
bh	bh	uz_Latn
big	big	uz_Latn
bind	bind	uz_Latn
bios	bios	uz_Latn
bit	bit	uz_Latn
bitmap	bitmap	uz_Latn
bitmasp	bitmasp	uz_Latn
bits	bitlar	uz_Latn
blksize	blksize	uz_Latn
block	Blok	uz_Latn
blocked	blocked	uz_Latn
blocking	blocking	uz_Latn
blocks	blocks	uz_Latn
boot	boot	uz_Latn
bootable	bootable	uz_Latn
bootloader	bootloader	uz_Latn
bound	bound	uz_Latn
bpb	bpb	uz_Latn
break	break	uz_Latn
brk	brk	uz_Latn
broadcast	broadcast	uz_Latn
buf	buf	uz_Latn
buffer	buffer	uz_Latn
buffers	buffers	uz_Latn
bufptr	bufptr	uz_Latn
bus	bus	uz_Latn
button	Tugma	uz_Latn
buttons	buttons	uz_Latn
by	by	uz_Latn
byte	byte	uz_Latn
bytes	Baytlar	uz_Latn
c	c	uz_Latn
cache	cache	uz_Latn
call	call	uz_Latn
candidate	candidate	uz_Latn
