original	localized	language
Activate	Attiva	it
ActivateAll	AttivaTutto	it
Active	Attivo	it
ActiveInterruptManager	Attivointerruptmanager	it
ActiveMemoryManager	AttivoMemoriamanager	it
Add	Aggiungi	it
AddDriver	Aggiungidriver	it
AddRunnableThread	Aggiungirunnablethread	it
AddTask	AggiungiProcesso	it
AddThread	Aggiungithread	it
Address	Address	it
AlignedMalloc	Alignedmalloc	it
AlignmentCheck	Alignmentcheck	it
AllocateBlock	AllocateBlocco	it
AllocatePID	Allocatepid	it
AmountOfMemory	QuantitàdiMemoria	it
ArrayToUint16	Serietounsignedinteger16	it
ArrayToUint32	Serietounsignedinteger32	it
ArrayToUint48	Serietounsignedinteger48	it
ArrayToUint48_BE	Serietounsignedinteger48be	it
ArrayToUint64	Serietounsignedinteger64	it
Atime	Atime	it
AtimeNsec	Atimensec	it
BLOCKS_PER_BYTE	Bloccoperbyte	it
BLOCK_SIZE	BloccoDimensione	it
Backend	Backend	it
BaseAddr	Baseaddress	it
Bind	Bind	it
Blksize	Blksize	it
Blocked	Blocked	it
BlockedState	BlockedStato	it
Blocks	Blocco	it
BoundRangeExceeded	BoundIntervalloexceeded	it
BroadcastMacAddress	Broadcastmacaddress	it
BytesPerSector	Bytepersector	it
BytesToString	BytetoStringa	it
Checksum	Checksum	it
Clear	Pulisci	it
Clone	Clone	it
CloneAddressSpaceCOW	CloneaddressSpaziocow	it
Connect	Connetti	it
ContainsCoordinate	Containscoordinate	it
CopyPageFrameBlock	CopiaPAGINARiquadroBlocco	it
CpuState	CpuStato	it
Create	Create	it
CreateFromData	Createfromdata	it
CreateFromFunction	CreatefromFunzione	it
CreatePtrFromFunction	CreatePuntatorefromFunzione	it
Cs	Cs	it
Ctime	Ctime	it
CtimeNsec	Ctimensec	it
CurrentPID	Correntepid	it
CurrentParentPID	Correntegenitorepid	it
Data	Data	it
Deactivate	Disattiva	it
Deactive	Deactive	it
Decrement	Decrement	it
Delete	Elimina	it
DescriptorPrivilegeLevel	Descriptorprivilegelevel	it
DescriptorType	DescriptorTipo	it
Destroy	Distruggi	it
Dev	Dispositivo	it
DeviceHasFunctions	DispositivohasFunzioni	it
DeviceNotAvailable	DispositivonotDisponibile	it
Device_id	Dispositivoid	it
DisableInt	DisabilitaIntero	it
Disconnect	Disconnetti	it
DivideByZero	Dividibyzero	it
DoHandleInterrupt	DoManigliainterrupt	it
DoubleFault	Doppiafault	it
Draw	Draw	it
DriverManager	Drivermanager	it
Ds	Ds	it
Dynamic	Dinamico	it
E2BIG	E2big	it
EACCES	Eacces	it
EADDRINUSE	Eaddrinuse	it
EAFNOSUPPORT	Eafnosupport	it
EAGAIN	Eagain	it
EBADF	Ebadf	it
EBUSY	Ebusy	it
ECHILD	Echild	it
EEXIST	Eexist	it
EFAULT	Efault	it
EFBIG	Efbig	it
EINTR	Eintr	it
EINVAL	Einval	it
EIO	Eio	it
EISDIR	Eisdir	it
EMFILE	Emfile	it
EMSGSIZE	Emsgsize	it
ENETUNREACH	Enetunreach	it
ENFILE	Enfile	it
ENODEV	Enodev	it
ENOENT	Enoent	it
ENOEXEC	Enoexec	it
ENOMEM	Enomem	it
ENOSPC	Enospc	it
ENOSYS	Enosys	it
ENOTCONN	Enotconn	it
ENOTDIR	Enotdir	it
ENOTTY	Enotty	it
EOPNOTSUPP	Eopnotsupp	it
EPERM	Eperm	it
EPROTONOSUPPORT	Eprotonosupport	it
ERANGE	Erange	it
EROFS	Erofs	it
ESPIPE	Espipe	it
ESRCH	Esrch	it
Eax	Eax	it
Ebp	Ebp	it
Ebx	Ebx	it
Ecx	Ecx	it
Edi	Edi	it
Edx	Edx	it
Eflags	Eflags	it
Eip	Eip	it
Elf	Elf	it
Elf32Dyn	Elf32dyn	it
Elf32Note	Elf32Nota	it
Elf32Rel	Elf32rel	it
Elf32Rela	Elf32rela	it
Elf32Sym	Elf32sym	it
ElfHeader	Elfheader	it
ElfProgramHeader	Elfprogrammaheader	it
ElfSectionHeader	Elfsectionheader	it
EnablePaging	Abilitapaging	it
Enabled	Abilitato	it
EntryNumber	VoceNumero	it
EqualBytes	UgualeByte	it
Es	Es	it
Esi	Esi	it
Esp	Esp	it
FPUBuffer	Fpubuffer	it
FPUOffset	Fpuoffset	it
Family	Family	it
FileName	FileNome	it
Fill	Fill	it
FillRectangle	FillRettangolo	it
First	First	it
FirstFree	FirstLibero	it
FirstFreeSize	FirstLiberoDimensione	it
Flags	Flag	it
FloatingPointException	Fluttuantepointexception	it
Flush	Flush	it
FlushTlsTable	FlushtlsTabella	it
Focussable	Focussable	it
Free	Libero	it
Fs	Fs	it
GB	Gb	it
GDT_ENTRIES	Gdtvoce	it
GOT	Got	it
GPFException	Gpfexception	it
GatewayIP	Gatewayip	it
GdtAddressHigh	GdtaddressAlto	it
GdtAddressLow	GdtaddressBasso	it
GdtDescriptor	Gdtdescriptor	it
GdtEntry	Gdtvoce_2	it
GdtSize	GdtDimensione	it
GetAt	Getat	it
GetBackend	Getbackend	it
GetBaseAddressRegister	Getbaseaddressregister	it
GetBitmaspSize	GetbitmaspDimensione	it
GetBytesFromPtr	GetBytefromPuntatore	it
GetCR0	Getcr0	it
GetCR2	Getcr2	it
GetCR3	Getcr3	it
GetCR4	Getcr4	it
GetColorIndex	GetColoreIndice	it
GetDeviceDescriptor	GetDispositivodescriptor	it
GetDriver	Getdriver	it
GetESP0	Getesp0	it
GetEntry	Getvoce	it
GetFileSize	GetfileDimensione	it
GetFocus	GetFuoco	it
GetFrameBufferSegment	GetRiquadrobuffersegment	it
GetFuncPtrFromPtr	GetfuncPuntatorefromPuntatore	it
