compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	sức_chứa_dòng_nhập	project-proposal
MAX_ARGUMENT_COUNT	số_đối_số_tối_đa	project-proposal
MAX_SCRIPT_DEPTH	độ_lồng_tệp_lệnh_tối_đa	project-proposal
argument_count	số_đối_số	project-proposal
arguments	đối_số	project-proposal
buffer	bộ_đệm_truyền_2	project-proposal
bytes_read	số_byte_đã_đọc	project-proposal
bytes_written	số_byte_đã_ghi	project-proposal
capacity	sức_chứa	project-proposal
character	ký_tự	project-proposal
child_pid	mã_tiến_trình_con	project-proposal
cleanup	đóng_các_đầu_giao_tiếp	project-proposal
command	lệnh	project-proposal
command_aliases	tên_lệnh_bản_địa	project-proposal
command_cat	hiện_nội_dung_tệp	project-proposal
command_echo	hiện_đối_số	project-proposal
command_matches	lệnh_trùng_khớp	project-proposal
command_names	lệnh_chuẩn	project-proposal
command_pid	hiện_mã_tiến_trình	project-proposal
command_pwd	hiện_thư_mục_hiện_tại	project-proposal
command_run	chạy_chương_trình	project-proposal
command_source	thông_dịch_tệp_lệnh	project-proposal
command_stat	hiện_thông_tin_tệp	project-proposal
command_udp	thử_gói_dữ_liệu_vòng_về	project-proposal
command_uname	hiện_thông_tin_hệ_thống	project-proposal
current	vị_trí_hiện_tại	project-proposal
digit_text	ký_tự_chữ_số	project-proposal
file_descriptor	bộ_mô_tả_tệp_2	project-proposal
file_name	tên_tệp	project-proposal
input	đầu_vào	project-proposal
input_descriptor	bộ_mô_tả_đầu_vào	project-proposal
input_line	dòng_nhập	project-proposal
input_stream	luồng_đầu_vào	project-proposal
left	trái	project-proposal
length	độ_dài	project-proposal
message	thông_điệp	project-proposal
message_length	độ_dài_thông_điệp_theo_byte	project-proposal
name	thông_tin_hệ_thống	project-proposal
number	độ_lớn_không_dấu	project-proposal
operation	thao_tác	project-proposal
output	vị_trí_xuất	project-proposal
overflow	dòng_nhập_không_hợp_lệ	project-proposal
path	đường_dẫn	project-proposal
position	vị_trí	project-proposal
print_help	hiện_trợ_giúp	project-proposal
quote	dấu_ngoặc_kép	project-proposal
read_line	đọc_dòng_nhập	project-proposal
receive_address	địa_chỉ_nhận	project-proposal
receive_socket	đầu_giao_tiếp_nhận	project-proposal
received_data	dữ_liệu_đã_nhận	project-proposal
received_length	số_byte_đã_nhận	project-proposal
right	phải	project-proposal
run_input	thông_dịch_đầu_vào	project-proposal
script_depth	độ_sâu_lồng_tệp_lệnh	project-proposal
send_socket	đầu_giao_tiếp_gửi	project-proposal
size	số_chữ_số	project-proposal
source_address	địa_chỉ_bên_gửi	project-proposal
source_address_length	độ_dài_địa_chỉ_bên_gửi	project-proposal
split_arguments	tách_đối_số	project-proposal
status	trạng_thái	project-proposal
text	văn_bản	project-proposal
text_equal	văn_bản_bằng_nhau	project-proposal
text_length	độ_dài_văn_bản_theo_byte	project-proposal
value	giá_trị	project-proposal
wait_status	trạng_thái_kết_thúc_tiến_trình_con	project-proposal
write_error	báo_lỗi	project-proposal
write_integer	ghi_số_nguyên	project-proposal
write_text	ghi_văn_bản	project-proposal
