before	after
asm/gdt.inc	khởi_động_máy/gdt.inc
asm/goasmoffset.inc	khởi_động_máy/goasmoffset.inc
asm/hằng.inc	khởi_động_máy/hằng.inc
asm/multibootheader.s	khởi_động_máy/multibootheader.s
asm/rt0.s	khởi_động_máy/rt0.s
go.sh	biên_dịch_nhân.sh
linker.ld	bố_trí_liên_kết.ld
src/driver/chuột/chuột.go	src/driver/thiết_bị_trỏ/thiết_bị_trỏ.go
src/ethernetframe/ethernetframe.go	src/khung_mạng_dùng_chung_môi_trường_truyền/khung_mạng_dùng_chung_môi_trường_truyền.go
src/icmp/icmp.go	src/giao_thức_thông_điệp_điều_khiển_mạng_liên_kết/giao_thức_thông_điệp_điều_khiển_mạng_liên_kết.go
src/ipv4/ipv4.go	src/giao_thức_mạng_liên_kết_4/giao_thức_mạng_liên_kết_4.go
src/tậptinHệthống/elf/elf.go	src/tậptinHệthống/định_dạng_thực_thi_và_liên_kết/định_dạng_thực_thi_và_liên_kết.go
src/tậptinHệthống/elf/elfheader.go	src/tậptinHệthống/định_dạng_thực_thi_và_liên_kết/elfheader.go
src/tậptinHệthống/elf/elfsection.go	src/tậptinHệthống/định_dạng_thực_thi_và_liên_kết/elfsection.go
src/tậptinHệthống/elf/liênkếtmap.go	src/tậptinHệthống/định_dạng_thực_thi_và_liên_kết/liênkếtmap.go
src/udp/udp.go	src/giao_thức_gói_tin_người_dùng/giao_thức_gói_tin_người_dùng.go
src/widget/widget.go	src/thành_phần_màn_hình/thành_phần_màn_hình.go
tools/decode-virtualbox-log.sh	công_cụ/giải_mã_nhật_ký_nối_tiếp.sh
tools/offsets.go	công_cụ/độ_lệch_cấu_trúc.go
userland/posix/Makefile	không_gian_người_dùng/posix/Makefile
userland/posix/TEST_RESULTS.md	không_gian_người_dùng/posix/TEST_RESULTS.md
userland/posix/include/arpa/inet.h	không_gian_người_dùng/posix/khai_báo/arpa/inet.h
userland/posix/include/engos/syscall.h	không_gian_người_dùng/posix/khai_báo/engos/syscall.h
userland/posix/include/errno.h	không_gian_người_dùng/posix/khai_báo/errno.h
userland/posix/include/fcntl.h	không_gian_người_dùng/posix/khai_báo/fcntl.h
userland/posix/include/netinet/in.h	không_gian_người_dùng/posix/khai_báo/netinet/in.h
userland/posix/include/stddef.h	không_gian_người_dùng/posix/khai_báo/stddef.h
userland/posix/include/stdint.h	không_gian_người_dùng/posix/khai_báo/stdint.h
userland/posix/include/sys/socket.h	không_gian_người_dùng/posix/khai_báo/sys/socket.h
userland/posix/include/sys/stat.h	không_gian_người_dùng/posix/khai_báo/sys/stat.h
userland/posix/include/sys/types.h	không_gian_người_dùng/posix/khai_báo/sys/types.h
userland/posix/include/sys/utsname.h	không_gian_người_dùng/posix/khai_báo/sys/utsname.h
userland/posix/include/sys/wait.h	không_gian_người_dùng/posix/khai_báo/sys/wait.h
userland/posix/include/unistd.h	không_gian_người_dùng/posix/khai_báo/unistd.h
userland/posix/linker.ld	không_gian_người_dùng/posix/bố_trí_liên_kết.ld
userland/posix/src/crt0.S	không_gian_người_dùng/posix/triển_khai/khởi_động.S
userland/posix/src/errno.c	không_gian_người_dùng/posix/triển_khai/mã_lỗi.c
userland/posix/src/fcntl.c	không_gian_người_dùng/posix/triển_khai/điều_khiển_tệp.c
userland/posix/src/socket.c	không_gian_người_dùng/posix/triển_khai/socket.c
userland/posix/src/stat.c	không_gian_người_dùng/posix/triển_khai/trạng_thái_tệp.c
userland/posix/src/syscall.S	không_gian_người_dùng/posix/triển_khai/lời_gọi_hệ_thống.S
userland/posix/src/unistd.c	không_gian_người_dùng/posix/triển_khai/unistd.c
userland/posix/tests/compile.c	không_gian_người_dùng/posix/kiểm_thử/compile.c
userland/posix/tests/exec_runtime.c	không_gian_người_dùng/posix/kiểm_thử/exec_runtime.c
userland/posix/tests/exec_target.c	không_gian_người_dùng/posix/kiểm_thử/exec_target.c
userland/posix/tests/fork_runtime.c	không_gian_người_dùng/posix/kiểm_thử/fork_runtime.c
userland/posix/tests/heap_runtime.c	không_gian_người_dùng/posix/kiểm_thử/heap_runtime.c
userland/posix/tests/runtime.c	không_gian_người_dùng/posix/kiểm_thử/runtime.c
userland/posix/tests/socket_runtime.c	không_gian_người_dùng/posix/kiểm_thử/socket_runtime.c
userland/posix/tests/stdin_runtime.c	không_gian_người_dùng/posix/kiểm_thử/stdin_runtime.c
