original	localized	language
Activate	Activate	bi
ActivateAll	Activateall	bi
Active	Active	bi
ActiveInterruptManager	Activeinterruptmanager	bi
ActiveMemoryManager	Activememorymanager	bi
Add	Add	bi
AddDriver	Adddriver	bi
AddRunnableThread	Addrunnablethread	bi
AddTask	Addtask	bi
AddThread	Addthread	bi
Address	Address	bi
AlignedMalloc	Alignedmalloc	bi
AlignmentCheck	Alignmentcheck	bi
AllocateBlock	Allocateblock	bi
AllocatePID	Allocatepid	bi
AmountOfMemory	Amountofmemory	bi
ArrayToUint16	Arraytounsignedinteger16	bi
ArrayToUint32	Arraytounsignedinteger32	bi
ArrayToUint48	Arraytounsignedinteger48	bi
ArrayToUint48_BE	Arraytounsignedinteger48be	bi
ArrayToUint64	Arraytounsignedinteger64	bi
Atime	Atime	bi
AtimeNsec	Atimensec	bi
BLOCKS_PER_BYTE	Blockperbyte	bi
BLOCK_SIZE	Blocksize	bi
Backend	Backend	bi
BaseAddr	Baseaddress	bi
Bind	Bind	bi
Blksize	Blksize	bi
Blocked	Blocked	bi
BlockedState	Blockedstate	bi
Blocks	Block	bi
BoundRangeExceeded	Boundrangeexceeded	bi
BroadcastMacAddress	Broadcastmacaddress	bi
BytesPerSector	Bytespersector	bi
BytesToString	Bytestostring	bi
Checksum	Checksum	bi
Clear	Clear	bi
Clone	Clone	bi
CloneAddressSpaceCOW	Cloneaddressspacecow	bi
Connect	Connect	bi
ContainsCoordinate	Containscoordinate	bi
CopyPageFrameBlock	Copypageframeblock	bi
CpuState	Cpustate	bi
Create	Create	bi
CreateFromData	Createfromdata	bi
CreateFromFunction	Createfromfunction	bi
CreatePtrFromFunction	Createpointerfromfunction	bi
Cs	Cs	bi
Ctime	Ctime	bi
CtimeNsec	Ctimensec	bi
CurrentPID	Currentpid	bi
CurrentParentPID	Currentparentpid	bi
Data	Data	bi
Deactivate	Deactivate	bi
Deactive	Deactive	bi
Decrement	Decrement	bi
Delete	Delete	bi
DescriptorPrivilegeLevel	Descriptorprivilegelevel	bi
DescriptorType	Descriptortype	bi
Destroy	Destroy	bi
Dev	Device	bi
DeviceHasFunctions	Devicehasfunctions	bi
DeviceNotAvailable	Devicenotavailable	bi
Device_id	Deviceid	bi
DisableInt	Disableint	bi
Disconnect	Disconnect	bi
DivideByZero	Dividebyzero	bi
DoHandleInterrupt	Dohandleinterrupt	bi
DoubleFault	Doublefault	bi
Draw	Draw	bi
DriverManager	Drivermanager	bi
Ds	Ds	bi
Dynamic	Dynamic	bi
E2BIG	E2big	bi
EACCES	Eacces	bi
EADDRINUSE	Eaddrinuse	bi
EAFNOSUPPORT	Eafnosupport	bi
EAGAIN	Eagain	bi
EBADF	Ebadf	bi
EBUSY	Ebusy	bi
ECHILD	Echild	bi
EEXIST	Eexist	bi
EFAULT	Efault	bi
EFBIG	Efbig	bi
EINTR	Eintr	bi
EINVAL	Einval	bi
EIO	Eio	bi
EISDIR	Eisdir	bi
EMFILE	Emfile	bi
EMSGSIZE	Emsgsize	bi
ENETUNREACH	Enetunreach	bi
ENFILE	Enfile	bi
ENODEV	Enodev	bi
ENOENT	Enoent	bi
ENOEXEC	Enoexec	bi
ENOMEM	Enomem	bi
ENOSPC	Enospc	bi
ENOSYS	Enosys	bi
ENOTCONN	Enotconn	bi
ENOTDIR	Enotdir	bi
ENOTTY	Enotty	bi
EOPNOTSUPP	Eopnotsupp	bi
EPERM	Eperm	bi
EPROTONOSUPPORT	Eprotonosupport	bi
ERANGE	Erange	bi
EROFS	Erofs	bi
ESPIPE	Espipe	bi
ESRCH	Esrch	bi
Eax	Eax	bi
Ebp	Ebp	bi
Ebx	Ebx	bi
Ecx	Ecx	bi
Edi	Edi	bi
Edx	Edx	bi
Eflags	Eflags	bi
Eip	Eip	bi
