original	localized	language
Activate	Activate	sm
ActivateAll	Activateall	sm
Active	Active	sm
ActiveInterruptManager	Activeinterruptmanager	sm
ActiveMemoryManager	Activememorymanager	sm
Add	Add	sm
AddDriver	Adddriver	sm
AddRunnableThread	Addrunnablethread	sm
AddTask	Addtask	sm
AddThread	Addthread	sm
Address	Address	sm
AlignedMalloc	Alignedmalloc	sm
AlignmentCheck	Alignmentcheck	sm
AllocateBlock	Allocateblock	sm
AllocatePID	Allocatepid	sm
AmountOfMemory	Amountofmemory	sm
ArrayToUint16	Arraytounsignedinteger16	sm
ArrayToUint32	Arraytounsignedinteger32	sm
ArrayToUint48	Arraytounsignedinteger48	sm
ArrayToUint48_BE	Arraytounsignedinteger48be	sm
ArrayToUint64	Arraytounsignedinteger64	sm
Atime	Atime	sm
AtimeNsec	Atimensec	sm
BLOCKS_PER_BYTE	Blockperbyte	sm
BLOCK_SIZE	Blocksize	sm
Backend	Backend	sm
BaseAddr	Baseaddress	sm
Bind	Bind	sm
Blksize	Blksize	sm
Blocked	Blocked	sm
BlockedState	Blockedstate	sm
Blocks	Block	sm
BoundRangeExceeded	Boundrangeexceeded	sm
BroadcastMacAddress	Broadcastmacaddress	sm
BytesPerSector	Bytespersector	sm
BytesToString	Bytestostring	sm
Checksum	Checksum	sm
Clear	Clear	sm
Clone	Clone	sm
CloneAddressSpaceCOW	Cloneaddressspacecow	sm
Connect	Connect	sm
ContainsCoordinate	Containscoordinate	sm
CopyPageFrameBlock	Copypageframeblock	sm
CpuState	Cpustate	sm
Create	Create	sm
CreateFromData	Createfromdata	sm
CreateFromFunction	Createfromfunction	sm
CreatePtrFromFunction	Createpointerfromfunction	sm
Cs	Cs	sm
Ctime	Ctime	sm
CtimeNsec	Ctimensec	sm
CurrentPID	Currentpid	sm
CurrentParentPID	Currentparentpid	sm
Data	Data	sm
Deactivate	Deactivate	sm
Deactive	Deactive	sm
Decrement	Decrement	sm
Delete	Delete	sm
DescriptorPrivilegeLevel	Descriptorprivilegelevel	sm
DescriptorType	Descriptortype	sm
Destroy	Destroy	sm
Dev	Device	sm
DeviceHasFunctions	Devicehasfunctions	sm
DeviceNotAvailable	Devicenotavailable	sm
Device_id	Deviceid	sm
DisableInt	Disableint	sm
Disconnect	Disconnect	sm
DivideByZero	Dividebyzero	sm
DoHandleInterrupt	Dohandleinterrupt	sm
DoubleFault	Doublefault	sm
Draw	Draw	sm
DriverManager	Drivermanager	sm
Ds	Ds	sm
Dynamic	Dynamic	sm
E2BIG	E2big	sm
EACCES	Eacces	sm
EADDRINUSE	Eaddrinuse	sm
EAFNOSUPPORT	Eafnosupport	sm
EAGAIN	Eagain	sm
EBADF	Ebadf	sm
EBUSY	Ebusy	sm
ECHILD	Echild	sm
EEXIST	Eexist	sm
EFAULT	Efault	sm
EFBIG	Efbig	sm
EINTR	Eintr	sm
EINVAL	Einval	sm
EIO	Eio	sm
EISDIR	Eisdir	sm
EMFILE	Emfile	sm
EMSGSIZE	Emsgsize	sm
ENETUNREACH	Enetunreach	sm
ENFILE	Enfile	sm
ENODEV	Enodev	sm
ENOENT	Enoent	sm
ENOEXEC	Enoexec	sm
