english	localized	language
a	a	sn
access	access	sn
ack	ack	sn
activate	activate	sn
active	active	sn
add	add	sn
addend	addend	sn
addr	addr	sn
addralign	addralign	sn
address	address	sn
advanced	advanced	sn
af	af	sn
after	after	sn
align	align	sn
aligned	aligned	sn
alignment	alignment	sn
all	all	sn
alloc	alloc	sn
allocate	allocate	sn
allocated	allocated	sn
am	am	sn
amd	amd	sn
amount	amount	sn
and	and	sn
append	append	sn
args	args	sn
argument	argument	sn
arguments	arguments	sn
arp	arp	sn
arp콘솔	arp콘솔	sn
array	array	sn
assembly	assembly	sn
at	at	sn
ata	ata	sn
atime	atime	sn
attachment	attachment	sn
attempts	attempts	sn
attr	attr	sn
attribute	attribute	sn
attributes	attributes	sn
aux	aux	sn
avail	avail	sn
available	available	sn
b	b	sn
ba	ba	sn
back	back	sn
backend	backend	sn
backup	backup	sn
bar	bar	sn
base	base	sn
be	be	sn
bh	bh	sn
big	big	sn
bind	bind	sn
bios	bios	sn
bit	bit	sn
bitmap	bitmap	sn
bitmasp	bitmasp	sn
bits	bits	sn
blksize	blksize	sn
block	block	sn
blocked	blocked	sn
blocking	blocking	sn
blocks	blocks	sn
boot	boot	sn
bootable	bootable	sn
bootloader	bootloader	sn
bound	bound	sn
bpb	bpb	sn
break	break	sn
brk	brk	sn
broadcast	broadcast	sn
buf	buf	sn
buffer	buffer	sn
buffers	buffers	sn
bufptr	bufptr	sn
bus	bus	sn
button	button	sn
buttons	buttons	sn
by	by	sn
byte	byte	sn
bytes	bytes	sn
c	c	sn
cache	cache	sn
call	call	sn
candidate	candidate	sn
cap	cap	sn
capable	capable	sn
card	card	sn
central	central	sn
char	char	sn
chdir	chdir	sn
check	check	sn
checked	checked	sn
checksum	checksum	sn
child	child	sn
chunk	chunk	sn
class	class	sn
clear	clear	sn
cloexec	cloexec	sn
clone	clone	sn
close	close	sn
cluster	cluster	sn
cmp	cmp	sn
code	code	sn
col	col	sn
color	color	sn
colordepth	colordepth	sn
command	command	sn
commandport	commandport	sn
common	common	sn
component	component	sn
connect	connect	sn
connected	connected	sn
console	console	sn
constant	constant	sn
contains	contains	sn
contents	contents	sn
control	control	sn
controller	controller	sn
coordinate	coordinate	sn
copies	copies	sn
copy	copy	sn
count	count	sn
cow	cow	sn
cpu	cpu	sn
cpustate	cpustate	sn
cpy	cpy	sn
cr	cr	sn
creat	creat	sn
create	create	sn
crtc	crtc	sn
cs	cs	sn
ctime	ctime	sn
cur	cur	sn
current	current	sn
cursor	cursor	sn
cylinder	cylinder	sn
d	d	sn
data	data	sn
databuffer	databuffer	sn
datagram	datagram	sn
dataport	dataport	sn
date	date	sn
deactivate	deactivate	sn
deactive	deactive	sn
debug	debug	sn
decrement	decrement	sn
default	default	sn
delete	delete	sn
delta	delta	sn
depth	depth	sn
desc	desc	sn
descr	descr	sn
description	description	sn
descriptor	descriptor	sn
descriptors	descriptors	sn
descsz	descsz	sn
destination	destination	sn
destroy	destroy	sn
dev	dev	sn
device	device	sn
diff	diff	sn
digits	digits	sn
dir	dir	sn
directory	directory	sn
dirent	dirent	sn
disable	disable	sn
discard	discard	sn
disconnect	disconnect	sn
dispatch	dispatch	sn
divide	divide	sn
divisor	divisor	sn
do	do	sn
domain	domain	sn
double	double	sn
down	down	sn
draw	draw	sn
drive	drive	sn
driver	driver	sn
drivercount	drivercount	sn
drivers	drivers	sn
drv	drv	sn
ds	ds	sn
dst	dst	sn
dstptr	dstptr	sn
dup	dup	sn
dword	dword	sn
dyn	dyn	sn
dynamic	dynamic	sn
e	e	sn
eacces	eacces	sn
eaddrinuse	eaddrinuse	sn
eafnosupport	eafnosupport	sn
eagain	eagain	sn
eax	eax	sn
ebadf	ebadf	sn
ebp	ebp	sn
ebusy	ebusy	sn
ebx	ebx	sn
echild	echild	sn
echo	echo	sn
ecx	ecx	sn
edi	edi	sn
edx	edx	sn
eexist	eexist	sn
ef	ef	sn
efault	efault	sn
efbig	efbig	sn
eflags	eflags	sn
ehsize	ehsize	sn
eintr	eintr	sn
einval	einval	sn
eio	eio	sn
eip	eip	sn
eisdir	eisdir	sn
elf	elf	sn
emfile	emfile	sn
empty	empty	sn
emsgsize	emsgsize	sn
enable	enable	sn
enabled	enabled	sn
end	end	sn
enetunreach	enetunreach	sn
enfile	enfile	sn
enodev	enodev	sn
enoent	enoent	sn
enoexec	enoexec	sn
enomem	enomem	sn
enospc	enospc	sn
enosys	enosys	sn
enotconn	enotconn	sn
enotdir	enotdir	sn
enotty	enotty	sn
ensure	ensure	sn
entries	entries	sn
entry	entry	sn
entrypoint	entrypoint	sn
entsize	entsize	sn
environment	environment	sn
eopnotsupp	eopnotsupp	sn
eperm	eperm	sn
ephemeral	ephemeral	sn
eprotonosupport	eprotonosupport	sn
equal	equal	sn
erange	erange	sn
erofs	erofs	sn
err	err	sn
error	error	sn
errorln	errorln	sn
es	es	sn
esi	esi	sn
esp	esp	sn
espipe	espipe	sn
esrch	esrch	sn
ether	ether	sn
etherframe	etherframe	sn
ethernet	ethernet	sn
event	event	sn
events	events	sn
exceeded	exceeded	sn
except	except	sn
exception	exception	sn
exec	exec	sn
execve	execve	sn
exists	exists	sn
exit	exit	sn
exited	exited	sn
ext	ext	sn
extended	extended	sn
f	f	sn
family	family	sn
fat	fat	sn
fatal	fatal	sn
fatbuf	fatbuf	sn
fatbuffer	fatbuffer	sn
fault	fault	sn
fb	fb	sn
fcntl	fcntl	sn
fd	fd	sn
fds	fds	sn
field	field	sn
file	file	sn
filename	filename	sn
files	files	sn
filesz	filesz	sn
fill	fill	sn
find	find	sn
first	first	sn
fl	fl	sn
flag	flag	sn
flags	flags	sn
floating	floating	sn
flush	flush	sn
fn	fn	sn
focus	focus	sn
focussable	focussable	sn
foo	foo	sn
for	for	sn
forced	forced	sn
fork	fork	sn
found	found	sn
fp	fp	sn
fpu	fpu	sn
frame	frame	sn
free	free	sn
frequency	frequency	sn
from	from	sn
front	front	sn
fs	fs	sn
fstat	fstat	sn
fsync	fsync	sn
fuction	fuction	sn
full	full	sn
func	func	sn
function	function	sn
functions	functions	sn
fxrstor	fxrstor	sn
fxsave	fxsave	sn
g	g	sn
gate	gate	sn
gateway	gateway	sn
gb	gb	sn
gdt	gdt	sn
get	get	sn
getcwd	getcwd	sn
getegid	getegid	sn
geteuid	geteuid	sn
getgid	getgid	sn
getpid	getpid	sn
getppid	getppid	sn
getuid	getuid	sn
gid	gid	sn
global	global	sn
got	got	sn
gpf	gpf	sn
gran	gran	sn
graphics	graphics	sn
grub	grub	sn
gs	gs	sn
h	h	sn
halt	halt	sn
handle	handle	sn
handler	handler	sn
handlers	handlers	sn
hardware	hardware	sn
has	has	sn
hd	hd	sn
head	head	sn
header	header	sn
headertype	headertype	sn
heap	heap	sn
height	height	sn
helper	helper	sn
hex	hex	sn
hex출력	hex출력	sn
hi	hi	sn
hidden	hidden	sn
high	high	sn
hop	hop	sn
i	i	sn
icmp	icmp	sn
icmp콘솔	icmp콘솔	sn
id	id	sn
ident	ident	sn
identify	identify	sn
idt	idt	sn
idx	idx	sn
ifchr	ifchr	sn
ifdir	ifdir	sn
ifmt	ifmt	sn
ifreg	ifreg	sn
ifsock	ifsock	sn
in	in	sn
increment	increment	sn
index	index	sn
inet	inet	sn
info	info	sn
init	init	sn
initial	initial	sn
initialization	initialization	sn
initialize	initialize	sn
ino	ino	sn
inode	inode	sn
input	input	sn
install	install	sn
int	int	sn
interconnect	interconnect	sn
interface	interface	sn
internet	internet	sn
internetprotocol	internetprotocol	sn
interrupt	interrupt	sn
interrupts	interrupts	sn
invalid	invalid	sn
io	io	sn
iomap	iomap	sn
ip	ip	sn
ipci	ipci	sn
ipmessage	ipmessage	sn
ipv	ipv	sn
ip콘솔	ip콘솔	sn
iret	iret	sn
is	is	sn
ist	ist	sn
j	j	sn
jmp	jmp	sn
jump	jump	sn
k	k	sn
kb	kb	sn
kcs	kcs	sn
kds	kds	sn
kernel	kernel	sn
key	key	sn
keyboard	keyboard	sn
kgs	kgs	sn
kind	kind	sn
k핵심	k핵심	sn
l	l	sn
label	label	sn
last	last	sn
lba	lba	sn
ldt	ldt	sn
left	left	sn
len	len	sn
length	length	sn
lengths	lengths	sn
level	level	sn
lib	lib	sn
lidt	lidt	sn
lidtaddr	lidtaddr	sn
limit	limit	sn
line	line	sn
link	link	sn
linked	linked	sn
linker	linker	sn
list	list	sn
listen	listen	sn
listening	listening	sn
live	live	sn
load	load	sn
loader	loader	sn
local	local	sn
log	log	sn
logical	logical	sn
loop	loop	sn
low	low	sn
lseek	lseek	sn
lstat	lstat	sn
m	m	sn
mac	mac	sn
machine	machine	sn
magicnumber	magicnumber	sn
main	chikuru	sn
make	make	sn
malloc	malloc	sn
manager	manager	sn
map	map	sn
mask	mask	sn
master	master	sn
matches	matches	sn
max	max	sn
maximum	maximum	sn
mb	mb	sn
mbr	mbr	sn
media	media	sn
mem	mem	sn
memory	memory	sn
memorymananger	memorymananger	sn
memorytest	memorytest	sn
memsz	memsz	sn
mesg	mesg	sn
message	message	sn
mics	mics	sn
mid	mid	sn
minimum	minimum	sn
mode	mode	sn
model	model	sn
mouse	mouse	sn
mousemove	mousemove	sn
move	move	sn
msdospart	msdospart	sn
msg	msg	sn
mtime	mtime	sn
multi	multi	sn
multiboot	multiboot	sn
multitasking	multitasking	sn
my	my	sn
myfunction	myfunction	sn
m긴급로그	m긴급로그	sn
m긴급로그문자열	m긴급로그문자열	sn
m직렬로그초기화	m직렬로그초기화	sn
m출력	m출력	sn
m테스트	m테스트	sn
n	n	sn
name	name	sn
namesz	namesz	sn
net	net	sn
network	network	sn
new	new	sn
next	next	sn
nibble	nibble	sn
nlink	nlink	sn
nmi	nmi	sn
node	node	sn
nodename	nodename	sn
noexec	noexec	sn
none	none	sn
normal	normal	sn
norw	norw	sn
not	not	sn
note	note	sn
nsec	nsec	sn
num	num	sn
number	number	sn
o	o	sn
of	of	sn
offset	offset	sn
ok	ok	sn
old	old	sn
on	on	sn
only	only	sn
opcode	opcode	sn
open	open	sn
oper	oper	sn
operation	operation	sn
options	options	sn
order	order	sn
org	org	sn
other	other	sn
out	out	sn
output	output	sn
overflow	overflow	sn
p	p	sn
packet	packet	sn
packets	packets	sn
paddr	paddr	sn
page	page	sn
pages	pages	sn
paging	paging	sn
param	param	sn
parameter	parameter	sn
params	params	sn
parent	parent	sn
parse	parse	sn
part	part	sn
partition	partition	sn
partitions	partitions	sn
path	path	sn
pause	pause	sn
payload	payload	sn
pci	pci	sn
pde	pde	sn
pdelen	pdelen	sn
peer	peer	sn
pending	pending	sn
per	per	sn
peripheral	peripheral	sn
phentsize	phentsize	sn
phnum	phnum	sn
phoff	phoff	sn
phy	phy	sn
phyaddr	phyaddr	sn
phymem	phymem	sn
phys	phys	sn
physical	physical	sn
pic	pic	sn
pid	pid	sn
pit	pit	sn
pixel	pixel	sn
point	point	sn
pointer	pointer	sn
pointers	pointers	sn
poll	poll	sn
port	port	sn
portnumber	portnumber	sn
pos	pos	sn
position	position	sn
posix	posix	sn
prefetch	prefetch	sn
prefetchable	prefetchable	sn
present	present	sn
prev	prev	sn
primary	primary	sn
print	print	sn
printf	printf	sn
println	println	sn
printreg	printreg	sn
priv	priv	sn
private	private	sn
privilege	privilege	sn
proc	proc	sn
process	process	sn
processes	processes	sn
processing	processing	sn
program	program	sn
programmable	programmable	sn
protocol	protocol	sn
provided	provided	sn
provider	provider	sn
ps	ps	sn
pt	pt	sn
pte	pte	sn
ptr	ptr	sn
push	push	sn
put	put	sn
pv	pv	sn
queue	queue	sn
r	r	sn
range	range	sn
raw	raw	sn
rdev	rdev	sn
read	verenga	sn
ready	ready	sn
receive	receive	sn
received	received	sn
receiver	receiver	sn
receviced	receviced	sn
record	record	sn
rectangle	rectangle	sn
recv	recv	sn
ref	ref	sn
refs	refs	sn
reg	reg	sn
region	region	sn
register	register	sn
registeroffset	registeroffset	sn
registers	registers	sn
regs	regs	sn
regtype	regtype	sn
rel	rel	sn
rela	rela	sn
release	release	sn
released	released	sn
reload	reload	sn
relocation	relocation	sn
remaining	remaining	sn
remote	remote	sn
remove	remove	sn
reply	reply	sn
request	request	sn
requested	requested	sn
reserved	reserved	sn
reset	reset	sn
resolve	resolve	sn
restore	restore	sn
