original	localized	language
Activate	Activate	sn
ActivateAll	Activateall	sn
Active	Active	sn
ActiveInterruptManager	Activeinterruptmanager	sn
ActiveMemoryManager	Activememorymanager	sn
Add	Add	sn
AddDriver	Adddriver	sn
AddRunnableThread	Addrunnablethread	sn
AddTask	Addtask	sn
AddThread	Addthread	sn
Address	Address	sn
AlignedMalloc	Alignedmalloc	sn
AlignmentCheck	Alignmentcheck	sn
AllocateBlock	Allocateblock	sn
AllocatePID	Allocatepid	sn
AmountOfMemory	Amountofmemory	sn
ArrayToUint16	Arraytounsignedinteger16	sn
ArrayToUint32	Arraytounsignedinteger32	sn
ArrayToUint48	Arraytounsignedinteger48	sn
ArrayToUint48_BE	Arraytounsignedinteger48be	sn
ArrayToUint64	Arraytounsignedinteger64	sn
Atime	Atime	sn
AtimeNsec	Atimensec	sn
BLOCKS_PER_BYTE	Blockperbyte	sn
BLOCK_SIZE	Blocksize	sn
Backend	Backend	sn
BaseAddr	Baseaddress	sn
Bind	Bind	sn
Blksize	Blksize	sn
Blocked	Blocked	sn
BlockedState	Blockedstate	sn
Blocks	Block	sn
BoundRangeExceeded	Boundrangeexceeded	sn
BroadcastMacAddress	Broadcastmacaddress	sn
BytesPerSector	Bytespersector	sn
BytesToString	Bytestostring	sn
Checksum	Checksum	sn
Clear	Clear	sn
Clone	Clone	sn
CloneAddressSpaceCOW	Cloneaddressspacecow	sn
Connect	Connect	sn
ContainsCoordinate	Containscoordinate	sn
CopyPageFrameBlock	Copypageframeblock	sn
CpuState	Cpustate	sn
Create	Create	sn
CreateFromData	Createfromdata	sn
CreateFromFunction	Createfromfunction	sn
CreatePtrFromFunction	Createpointerfromfunction	sn
Cs	Cs	sn
Ctime	Ctime	sn
CtimeNsec	Ctimensec	sn
CurrentPID	Currentpid	sn
CurrentParentPID	Currentparentpid	sn
Data	Data	sn
Deactivate	Deactivate	sn
Deactive	Deactive	sn
Decrement	Decrement	sn
Delete	Delete	sn
DescriptorPrivilegeLevel	Descriptorprivilegelevel	sn
DescriptorType	Descriptortype	sn
Destroy	Destroy	sn
Dev	Device	sn
DeviceHasFunctions	Devicehasfunctions	sn
DeviceNotAvailable	Devicenotavailable	sn
Device_id	Deviceid	sn
DisableInt	Disableint	sn
Disconnect	Disconnect	sn
DivideByZero	Dividebyzero	sn
DoHandleInterrupt	Dohandleinterrupt	sn
DoubleFault	Doublefault	sn
Draw	Draw	sn
DriverManager	Drivermanager	sn
Ds	Ds	sn
Dynamic	Dynamic	sn
E2BIG	E2big	sn
EACCES	Eacces	sn
EADDRINUSE	Eaddrinuse	sn
EAFNOSUPPORT	Eafnosupport	sn
EAGAIN	Eagain	sn
EBADF	Ebadf	sn
EBUSY	Ebusy	sn
ECHILD	Echild	sn
EEXIST	Eexist	sn
EFAULT	Efault	sn
EFBIG	Efbig	sn
EINTR	Eintr	sn
EINVAL	Einval	sn
EIO	Eio	sn
EISDIR	Eisdir	sn
EMFILE	Emfile	sn
EMSGSIZE	Emsgsize	sn
ENETUNREACH	Enetunreach	sn
ENFILE	Enfile	sn
ENODEV	Enodev	sn
ENOENT	Enoent	sn
ENOEXEC	Enoexec	sn
ENOMEM	Enomem	sn
ENOSPC	Enospc	sn
ENOSYS	Enosys	sn
ENOTCONN	Enotconn	sn
ENOTDIR	Enotdir	sn
ENOTTY	Enotty	sn
EOPNOTSUPP	Eopnotsupp	sn
EPERM	Eperm	sn
EPROTONOSUPPORT	Eprotonosupport	sn
ERANGE	Erange	sn
EROFS	Erofs	sn
ESPIPE	Espipe	sn
ESRCH	Esrch	sn
Eax	Eax	sn
Ebp	Ebp	sn
Ebx	Ebx	sn
Ecx	Ecx	sn
Edi	Edi	sn
Edx	Edx	sn
Eflags	Eflags	sn
Eip	Eip	sn
Elf	Elf	sn
Elf32Dyn	Elf32dyn	sn
Elf32Note	Elf32note	sn
Elf32Rel	Elf32rel	sn
Elf32Rela	Elf32rela	sn
Elf32Sym	Elf32sym	sn
ElfHeader	Elfheader	sn
ElfProgramHeader	Elfprogramheader	sn
ElfSectionHeader	Elfsectionheader	sn
EnablePaging	Enablepaging	sn
Enabled	Enabled	sn
EntryNumber	Entrynumber	sn
EqualBytes	Equalbytes	sn
Es	Es	sn
Esi	Esi	sn
Esp	Esp	sn
FPUBuffer	Fpubuffer	sn
FPUOffset	Fpuoffset	sn
Family	Family	sn
FileName	Filename	sn
Fill	Fill	sn
FillRectangle	Fillrectangle	sn
First	First	sn
FirstFree	Firstfree	sn
FirstFreeSize	Firstfreesize	sn
Flags	Flags	sn
FloatingPointException	Floatingpointexception	sn
Flush	Flush	sn
FlushTlsTable	Flushtlstable	sn
Focussable	Focussable	sn
Free	Free	sn
Fs	Fs	sn
GB	Gb	sn
GDT_ENTRIES	Gdtentry	sn
GOT	Got	sn
GPFException	Gpfexception	sn
GatewayIP	Gatewayip	sn
GdtAddressHigh	Gdtaddresshigh	sn
GdtAddressLow	Gdtaddresslow	sn
GdtDescriptor	Gdtdescriptor	sn
GdtEntry	Gdtentry_2	sn
GdtSize	Gdtsize	sn
GetAt	Getat	sn
GetBackend	Getbackend	sn
GetBaseAddressRegister	Getbaseaddressregister	sn
GetBitmaspSize	Getbitmaspsize	sn
GetBytesFromPtr	Getbytesfrompointer	sn
GetCR0	Getcr0	sn
GetCR2	Getcr2	sn
GetCR3	Getcr3	sn
GetCR4	Getcr4	sn
GetColorIndex	Getcolorindex	sn
GetDeviceDescriptor	Getdevicedescriptor	sn
GetDriver	Getdriver	sn
GetESP0	Getesp0	sn
GetEntry	Getentry	sn
GetFileSize	Getfilesize	sn
GetFocus	Getfocus	sn
GetFrameBufferSegment	Getframebuffersegment	sn
GetFuncPtrFromPtr	Getfuncpointerfrompointer	sn
GetFunctionName	Getfunctionname	sn
GetHandler	Gethandler	sn
GetIPAddress	Getipaddress	sn
GetMACAddress	Getmacaddress	sn
GetMACFromCache	Getmacfromcache	sn
GetNextReadyThread	Getnextreadythread	sn
GetNodeAt	Getnodeat	sn
GetProvider	Providerget	sn
GetSS0	Getss0	sn
GetStr	Getstr	sn
GetUint32ArrayFromPtr	Getunsignedinteger32arrayfrompointer	sn
GetUintptrArrayFromPtr	Getunsignedintegerpointerarrayfrompointer	sn
GetValue	Getvalue	sn
GetValueInPageDir	Getvalueinpagedirectory	sn
Gid	Gid	sn
Gs	Gs	sn
HandleException	Handleexception	sn
HandleFatalInterruptFrame	Handlefatalinterruptframe	sn
HandleInterrupt	Handleinterrupt	sn
HandleInterrupt1	Handleinterrupt1	sn
HandleUserDatagramProtocolMessage	Handleuserdatagramprotocolmessage	sn
IDT_DESC_PRESENT	Idtdescriptorpresent	sn
IDT_INTERRUPT_GATE	Idtinterruptgate	sn
IDriver	IDriver	sn
IEtherFrameHandler	IEthernetframehandler	sn
IInternetProtocolHandler	IInternetprotocolhandler	sn
IInterruptHandler	IInterrupthandler	sn
IKeyboardEventHandler	IKeyboardeventhandler	sn
IMouseEventHandler	IMouseeventhandler	sn
IPCIControllerHandler	Ipcicontrollerhandler	sn
IPCache	Ipcache	sn
IP_BE	Ipnetworkbyteorder	sn
IRawDataHandler	IRawdatahandler	sn
ITimerEventHandler	ITimereventhandler	sn
IUserDatagramProtocolHandler	IUserdatagramprotocolhandler	sn
IUserDatagramProtocolSocket	IUserdatagramprotocolsocket	sn
IWidget	IWidget	sn
Identify	Identify	sn
Increment	Increment	sn
IndexOf	Indexof	sn
Init	Init	sn
InitDriver	Initdriver	sn
InitialThreadUserJump	Initialthreaduserjump	sn
Ino	Ino	sn
Install	Install	sn
Interrupt	Interrupt	sn
InterruptActive	Interruptactive	sn
InterruptDeactive	Interruptdeactive	sn
InterruptManager	Interruptmanager	sn
InterruptNumber	Interruptnumber	sn
InvalidOpcode	Invalidopcode	sn
InvalidTSS	Invalidtss	sn
IsKernel	Iskernel	sn
IsPresent	Ispresent	sn
IsUserSpace	Isuserspace	sn
KB	Kb	sn
KCS_INDEX	Kcsindex	sn
KCS_SELECTOR	Kcsselector	sn
KDS_INDEX	Kdsindex	sn
KDS_SELECTOR	Kdsselector	sn
KERNEL_HEAP_START	Kernelheapstart	sn
KERNEL_VIRT_ADDR	Kernelvirtaddress	sn
KGS_INDEX	Kgsindex	sn
KGS_SELECTOR	Kgsselector	sn
K핵심	KKernelEntry	sn
LIDT	Lidt	sn
Last	Last	sn
Len	Len	sn
Limit	Limit	sn
Link	Link	sn
LinkMap	Linkmap	sn
LinkedList	Linkedlist	sn
Listen	Listen	sn
LoadElf	Loadelf	sn
MAC	Mac	sn
MAC0	Mac0	sn
MAC1	Mac1	sn
MAC2	Mac2	sn
MAC3	Mac3	sn
MAC4	Mac4	sn
MAC5	Mac5	sn
MACAddress0Port	Macaddress0port	sn
MACAddress2Port	Macaddress2port	sn
MACAddress4Port	Macaddress4port	sn
MACCache	Maccache	sn
MAX_QUEUE_SIZE	Maxqueuesize	sn
MB	Mb	sn
MBR	Mbr	sn
MHex출력	MHexadecimalprint	sn
MHex출력XY	MHexadecimalprintxy	sn
MUint16출력	MUnsignedinteger16print	sn
MUint16출력XY	MUnsignedinteger16printxy	sn
MUint32출력	MUnsignedinteger32print	sn
MUint32출력XY	MUnsignedinteger32printxy	sn
MUint64출력	MUnsignedinteger64print	sn
MUint64출력XY	MUnsignedinteger64printxy	sn
Machine	Machine	sn
MachineCheck	Machinecheck	sn
MakeRangePrivateWritable	Makerangeprivatewritable	sn
Malloc	Malloc	sn
MemCmp	Memcmp	sn
MemCpy	Memcopy	sn
MemMove	Memmove	sn
MemSet	Memset	sn
MemoryOper	Memoryoper	sn
Mode	Mode	sn
ModelToScreen	Set_local_coordinates	sn
Mtime	Mtime	sn
MtimeNsec	Mtimensec	sn
MyHandleInterrupt	Myhandleinterrupt	sn
MyTest	Mytest	sn
M긴급로그Hex8	MEmergencyloghexadecimal8	sn
M긴급로그Uint32	MEmergencylogunsignedinteger32	sn
M긴급로그문자열	MEmergencylogstring	sn
M직렬로그초기화	MSerialloginit	sn
M출력	MPrint	sn
M출력BytesXY	MPrintbytesxy	sn
M출력Hex	MPrinthexadecimal	sn
M출력Uint16	MPrintunsignedinteger16	sn
M출력Uint32	MPrintunsignedinteger32	sn
M출력XY	MPrintxy	sn
M테스트	M테스트	sn
NMI	Nmi	sn
New	New	sn
NewInterruptHandler	Newinterrupthandler	sn
Next	Next	sn
Nlink	Nlink	sn
Node	Node	sn
Nodename	Nodename	sn
OnEtherFrameReceived	Ethernetframereceivewhen	sn
OnGetDriver	Ongetdriver	sn
OnInternetProtocolReceived	Internetprotocolreceivewhen	sn
OnKeyDown	Onkeydown	sn
OnKeyUp	Onkeyup	sn
OnMouseDown	Onmousedown	sn
