country	language	identifiers_changed	identifier_tokens_changed	paths_changed	native_concept_proposals	pending_concepts	unreviewed_identifiers	kernel_go_files_token_checked
ABW	nl	35	358	50	50	0	1679	43
AFG	fa	5	24	40	0	50	1714	43
AGO	pt	35	358	50	50	0	1679	43
AIA	en	35	358	50	50	0	1679	43
ALA	sv	35	358	50	50	0	1679	43
ALB	sq	5	24	40	0	50	1714	43
AND	ca	5	24	40	0	50	1714	43
ARE	ar	35	358	50	50	0	1679	43
ARG	es	35	358	50	50	0	1679	43
ARM	hy	5	24	40	0	50	1714	43
ASM	sm	5	24	40	0	50	1714	43
ATA	und	35	358	50	0	0	1679	43
ATF	fr	35	358	50	50	0	1679	43
ATG	en	35	358	50	50	0	1679	43
AUS	en	35	358	50	50	0	1679	43
AUT	de	35	358	50	50	0	1679	43
AZE	az_Latn	5	24	40	0	50	1714	43
BDI	rn	5	24	40	0	50	1714	43
BEL	nl	35	358	50	50	0	1679	43
BEN	fr	35	358	50	50	0	1679	43
BES	nl	35	358	50	50	0	1679	43
BFA	fr	35	358	50	50	0	1679	43
BGD	bn	5	24	40	0	50	1714	43
BGR	bg	5	24	40	0	50	1714	43
BHR	ar	35	358	50	50	0	1679	43
BHS	en	35	358	50	50	0	1679	43
BIH	bs_Cyrl	5	24	40	0	50	1714	43
BLM	fr	35	358	50	50	0	1679	43
BLR	be	5	24	40	0	50	1714	43
BLZ	en	35	358	50	50	0	1679	43
BMU	en	35	358	50	50	0	1679	43
BOL	es	35	358	50	50	0	1679	43
BRA	pt	35	358	50	50	0	1679	43
BRB	en	35	358	50	50	0	1679	43
BRN	ms_Latn	35	358	50	50	0	1679	43
BTN	dz	5	24	40	0	50	1714	43
BVT	und	35	358	50	0	0	1679	43
BWA	en	35	358	50	50	0	1679	43
CAF	fr	35	358	50	50	0	1679	43
CAN	en	35	358	50	50	0	1679	43
CCK	en	35	358	50	50	0	1679	43
CHE	de	35	358	50	50	0	1679	43
CHL	es	35	358	50	50	0	1679	43
CHN	zh_Hans	34	331	50	50	0	1679	43
CIV	fr	35	358	50	50	0	1679	43
CMR	fr	35	358	50	50	0	1679	43
COD	fr	35	358	50	50	0	1679	43
