country	profile	cldr_classification	script_name	implementation_status	note
AIA	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
AIA	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
ALB	sq_Elba	secondary	Elbasan	not-implemented	CLDR secondary may include historical usage; review before implementation
ARE	ar_Syrc	secondary	Syriac	not-implemented	CLDR secondary may include historical usage; review before implementation
ATF	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
ATG	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
ATG	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
AUS	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
AUS	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
AUT	de_Runr	secondary	Runic	not-implemented	CLDR secondary may include historical usage; review before implementation
AZE	az_Arab	secondary	Arabic	not-implemented	CLDR secondary may include historical usage; review before implementation
AZE	az_Cyrl	secondary	Cyrillic	not-implemented	CLDR secondary may include historical usage; review before implementation
BEN	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
BFA	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
BHR	ar_Syrc	secondary	Syriac	not-implemented	CLDR secondary may include historical usage; review before implementation
BHS	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
BHS	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
BLM	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
BLZ	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
BLZ	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
BMU	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
BMU	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
BRB	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
BRB	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
BRN	ms_Arab	primary	Arabic	not-implemented	CLDR secondary may include historical usage; review before implementation
BWA	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
BWA	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
CAF	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
CAN	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
CAN	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
CCK	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
CCK	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
CHE	de_Runr	secondary	Runic	not-implemented	CLDR secondary may include historical usage; review before implementation
CHN	zh_Bopo	secondary	Bopomofo	not-implemented	CLDR secondary may include historical usage; review before implementation
CHN	zh_Latn	secondary	Latin	not-implemented	CLDR secondary may include historical usage; review before implementation
CHN	zh_Phag	secondary	Phags-pa	not-implemented	CLDR secondary may include historical usage; review before implementation
CIV	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
CMR	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
COD	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
COG	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
COK	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
COK	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
COM	ar_Syrc	secondary	Syriac	not-implemented	CLDR secondary may include historical usage; review before implementation
CXR	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
CXR	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
CYM	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
CYM	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
DEU	de_Runr	secondary	Runic	not-implemented	CLDR secondary may include historical usage; review before implementation
DJI	ar_Syrc	secondary	Syriac	not-implemented	CLDR secondary may include historical usage; review before implementation
DMA	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
DMA	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
DZA	ar_Syrc	secondary	Syriac	not-implemented	CLDR secondary may include historical usage; review before implementation
