english	localized	language
a	a	bs_Cyrl
access	access	bs_Cyrl
ack	ack	bs_Cyrl
activate	Aktiviraj	bs_Cyrl
active	active	bs_Cyrl
add	Dodaj	bs_Cyrl
addend	addend	bs_Cyrl
addr	addr	bs_Cyrl
addralign	addralign	bs_Cyrl
address	address	bs_Cyrl
advanced	Napredno	bs_Cyrl
af	af	bs_Cyrl
after	after	bs_Cyrl
align	Poravnaj	bs_Cyrl
aligned	aligned	bs_Cyrl
alignment	alignment	bs_Cyrl
all	Sve	bs_Cyrl
alloc	alloc	bs_Cyrl
allocate	allocate	bs_Cyrl
allocated	allocated	bs_Cyrl
am	am	bs_Cyrl
amd	amd	bs_Cyrl
amount	Iznos	bs_Cyrl
and	and	bs_Cyrl
append	append	bs_Cyrl
args	args	bs_Cyrl
argument	argument	bs_Cyrl
arguments	Argumenti	bs_Cyrl
arp	arp	bs_Cyrl
arp콘솔	arp콘솔	bs_Cyrl
array	array	bs_Cyrl
assembly	assembly	bs_Cyrl
at	at	bs_Cyrl
ata	ata	bs_Cyrl
atime	atime	bs_Cyrl
attachment	attachment	bs_Cyrl
attempts	attempts	bs_Cyrl
attr	attr	bs_Cyrl
attribute	attribute	bs_Cyrl
attributes	attributes	bs_Cyrl
aux	aux	bs_Cyrl
avail	avail	bs_Cyrl
available	Dostupan	bs_Cyrl
b	b	bs_Cyrl
ba	ba	bs_Cyrl
back	Nazad	bs_Cyrl
backend	backend	bs_Cyrl
backup	backup	bs_Cyrl
bar	Traka	bs_Cyrl
base	base	bs_Cyrl
be	be	bs_Cyrl
bh	bh	bs_Cyrl
big	big	bs_Cyrl
bind	bind	bs_Cyrl
bios	bios	bs_Cyrl
bit	bit	bs_Cyrl
bitmap	bitmap	bs_Cyrl
bitmasp	bitmasp	bs_Cyrl
bits	bits	bs_Cyrl
blksize	blksize	bs_Cyrl
block	blok	bs_Cyrl
blocked	blocked	bs_Cyrl
blocking	blocking	bs_Cyrl
blocks	blocks	bs_Cyrl
boot	boot	bs_Cyrl
bootable	bootable	bs_Cyrl
bootloader	bootloader	bs_Cyrl
bound	bound	bs_Cyrl
bpb	bpb	bs_Cyrl
break	break	bs_Cyrl
brk	brk	bs_Cyrl
broadcast	broadcast	bs_Cyrl
buf	buf	bs_Cyrl
buffer	buffer	bs_Cyrl
buffers	Bufferi	bs_Cyrl
bufptr	bufptr	bs_Cyrl
bus	bus	bs_Cyrl
button	button	bs_Cyrl
buttons	buttons	bs_Cyrl
by	by	bs_Cyrl
byte	byte	bs_Cyrl
bytes	Bajtova	bs_Cyrl
c	c	bs_Cyrl
cache	cache	bs_Cyrl
call	call	bs_Cyrl
candidate	candidate	bs_Cyrl
cap	cap	bs_Cyrl
capable	capable	bs_Cyrl
card	Kartaške	bs_Cyrl
central	central	bs_Cyrl
char	char	bs_Cyrl
chdir	chdir	bs_Cyrl
check	check	bs_Cyrl
checked	checked	bs_Cyrl
checksum	checksum	bs_Cyrl
child	child	bs_Cyrl
chunk	chunk	bs_Cyrl
class	klasa	bs_Cyrl
clear	Obriši	bs_Cyrl
cloexec	cloexec	bs_Cyrl
clone	clone	bs_Cyrl
close	Zatvori	bs_Cyrl
cluster	cluster	bs_Cyrl
cmp	cmp	bs_Cyrl
code	code	bs_Cyrl
col	col	bs_Cyrl
color	Boja	bs_Cyrl
colordepth	colordepth	bs_Cyrl
command	Naredba	bs_Cyrl
commandport	commandport	bs_Cyrl
common	zajednički	bs_Cyrl
component	component	bs_Cyrl
connect	Spojise	bs_Cyrl
connected	connected	bs_Cyrl
console	console	bs_Cyrl
constant	Konstantno	bs_Cyrl
contains	contains	bs_Cyrl
contents	Sadržaj	bs_Cyrl
control	control	bs_Cyrl
controller	controller	bs_Cyrl
coordinate	coordinate	bs_Cyrl
copies	copies	bs_Cyrl
copy	Kopiraj	bs_Cyrl
count	count	bs_Cyrl
cow	cow	bs_Cyrl
cpu	cpu	bs_Cyrl
cpustate	cpustate	bs_Cyrl
cpy	cpy	bs_Cyrl
cr	cr	bs_Cyrl
creat	creat	bs_Cyrl
create	create	bs_Cyrl
crtc	crtc	bs_Cyrl
cs	cs	bs_Cyrl
ctime	ctime	bs_Cyrl
cur	cur	bs_Cyrl
current	current	bs_Cyrl
cursor	cursor	bs_Cyrl
cylinder	cylinder	bs_Cyrl
d	d	bs_Cyrl
data	data	bs_Cyrl
databuffer	databuffer	bs_Cyrl
datagram	datagram	bs_Cyrl
dataport	dataport	bs_Cyrl
date	datum	bs_Cyrl
deactivate	Deaktiviraj	bs_Cyrl
deactive	deactive	bs_Cyrl
debug	Ispravljanje	bs_Cyrl
decrement	decrement	bs_Cyrl
default	Uobičajeno	bs_Cyrl
delete	Obriši	bs_Cyrl
delta	delta	bs_Cyrl
depth	depth	bs_Cyrl
desc	desc	bs_Cyrl
descr	descr	bs_Cyrl
description	Opis	bs_Cyrl
descriptor	descriptor	bs_Cyrl
descriptors	descriptors	bs_Cyrl
descsz	descsz	bs_Cyrl
destination	Odredište	bs_Cyrl
destroy	destroy	bs_Cyrl
dev	dev	bs_Cyrl
device	Uređaj	bs_Cyrl
diff	diff	bs_Cyrl
digits	digits	bs_Cyrl
dir	dir	bs_Cyrl
directory	Direktorij	bs_Cyrl
dirent	dirent	bs_Cyrl
disable	disable	bs_Cyrl
discard	Odbaci	bs_Cyrl
disconnect	Prekinivezu	bs_Cyrl
dispatch	dispatch	bs_Cyrl
divide	divide	bs_Cyrl
divisor	divisor	bs_Cyrl
do	do	bs_Cyrl
domain	Domena	bs_Cyrl
double	double	bs_Cyrl
down	down	bs_Cyrl
draw	draw	bs_Cyrl
drive	drive	bs_Cyrl
driver	driver	bs_Cyrl
drivercount	drivercount	bs_Cyrl
drivers	drivers	bs_Cyrl
drv	drv	bs_Cyrl
ds	ds	bs_Cyrl
dst	dst	bs_Cyrl
dstptr	dstptr	bs_Cyrl
dup	dup	bs_Cyrl
dword	dword	bs_Cyrl
dyn	dyn	bs_Cyrl
dynamic	dynamic	bs_Cyrl
e	e	bs_Cyrl
eacces	eacces	bs_Cyrl
eaddrinuse	eaddrinuse	bs_Cyrl
eafnosupport	eafnosupport	bs_Cyrl
eagain	eagain	bs_Cyrl
eax	eax	bs_Cyrl
ebadf	ebadf	bs_Cyrl
ebp	ebp	bs_Cyrl
ebusy	ebusy	bs_Cyrl
ebx	ebx	bs_Cyrl
echild	echild	bs_Cyrl
echo	echo	bs_Cyrl
ecx	ecx	bs_Cyrl
edi	edi	bs_Cyrl
edx	edx	bs_Cyrl
eexist	eexist	bs_Cyrl
ef	ef	bs_Cyrl
efault	efault	bs_Cyrl
efbig	efbig	bs_Cyrl
eflags	eflags	bs_Cyrl
ehsize	ehsize	bs_Cyrl
eintr	eintr	bs_Cyrl
einval	einval	bs_Cyrl
eio	eio	bs_Cyrl
eip	eip	bs_Cyrl
eisdir	eisdir	bs_Cyrl
elf	elf	bs_Cyrl
emfile	emfile	bs_Cyrl
empty	empty	bs_Cyrl
emsgsize	emsgsize	bs_Cyrl
enable	enable	bs_Cyrl
enabled	enabled	bs_Cyrl
end	end	bs_Cyrl
enetunreach	enetunreach	bs_Cyrl
enfile	enfile	bs_Cyrl
enodev	enodev	bs_Cyrl
enoent	enoent	bs_Cyrl
enoexec	enoexec	bs_Cyrl
enomem	enomem	bs_Cyrl
enospc	enospc	bs_Cyrl
enosys	enosys	bs_Cyrl
enotconn	enotconn	bs_Cyrl
enotdir	enotdir	bs_Cyrl
enotty	enotty	bs_Cyrl
ensure	ensure	bs_Cyrl
entries	entries	bs_Cyrl
entry	unos	bs_Cyrl
entrypoint	entrypoint	bs_Cyrl
entsize	entsize	bs_Cyrl
environment	environment	bs_Cyrl
eopnotsupp	eopnotsupp	bs_Cyrl
eperm	eperm	bs_Cyrl
ephemeral	ephemeral	bs_Cyrl
eprotonosupport	eprotonosupport	bs_Cyrl
equal	equal	bs_Cyrl
erange	erange	bs_Cyrl
erofs	erofs	bs_Cyrl
err	err	bs_Cyrl
error	Greška	bs_Cyrl
errorln	errorln	bs_Cyrl
es	es	bs_Cyrl
esi	esi	bs_Cyrl
esp	esp	bs_Cyrl
espipe	espipe	bs_Cyrl
esrch	esrch	bs_Cyrl
ether	ether	bs_Cyrl
etherframe	etherframe	bs_Cyrl
ethernet	ethernet	bs_Cyrl
event	event	bs_Cyrl
events	events	bs_Cyrl
exceeded	exceeded	bs_Cyrl
except	except	bs_Cyrl
exception	exception	bs_Cyrl
exec	izvršna	bs_Cyrl
execve	execve	bs_Cyrl
exists	exists	bs_Cyrl
exit	Izlaz	bs_Cyrl
exited	exited	bs_Cyrl
ext	ext	bs_Cyrl
extended	extended	bs_Cyrl
f	f	bs_Cyrl
family	family	bs_Cyrl
fat	fat	bs_Cyrl
fatal	fatal	bs_Cyrl
fatbuf	fatbuf	bs_Cyrl
fatbuffer	fatbuffer	bs_Cyrl
fault	fault	bs_Cyrl
fb	fb	bs_Cyrl
fcntl	fcntl	bs_Cyrl
fd	fd	bs_Cyrl
fds	fds	bs_Cyrl
field	polje	bs_Cyrl
file	Datoteka	bs_Cyrl
filename	Imedatoteke	bs_Cyrl
files	DATOTEKE	bs_Cyrl
filesz	filesz	bs_Cyrl
fill	fill	bs_Cyrl
find	Nađi	bs_Cyrl
first	first	bs_Cyrl
fl	fl	bs_Cyrl
flag	flag	bs_Cyrl
flags	Zastave	bs_Cyrl
floating	floating	bs_Cyrl
flush	flush	bs_Cyrl
fn	fn	bs_Cyrl
focus	focus	bs_Cyrl
focussable	focussable	bs_Cyrl
foo	foo	bs_Cyrl
for	for	bs_Cyrl
forced	forced	bs_Cyrl
fork	fork	bs_Cyrl
found	found	bs_Cyrl
fp	fp	bs_Cyrl
fpu	fpu	bs_Cyrl
frame	Okvir	bs_Cyrl
free	Slobodno	bs_Cyrl
frequency	frequency	bs_Cyrl
from	from	bs_Cyrl
front	front	bs_Cyrl
fs	fs	bs_Cyrl
fstat	fstat	bs_Cyrl
fsync	fsync	bs_Cyrl
fuction	fuction	bs_Cyrl
full	Potpuno	bs_Cyrl
func	func	bs_Cyrl
function	Funkcija	bs_Cyrl
functions	Funkcije	bs_Cyrl
fxrstor	fxrstor	bs_Cyrl
fxsave	fxsave	bs_Cyrl
g	g	bs_Cyrl
gate	gate	bs_Cyrl
gateway	gateway	bs_Cyrl
gb	gb	bs_Cyrl
gdt	gdt	bs_Cyrl
get	get	bs_Cyrl
getcwd	getcwd	bs_Cyrl
getegid	getegid	bs_Cyrl
geteuid	geteuid	bs_Cyrl
getgid	getgid	bs_Cyrl
getpid	getpid	bs_Cyrl
getppid	getppid	bs_Cyrl
getuid	getuid	bs_Cyrl
gid	gid	bs_Cyrl
global	globalna	bs_Cyrl
got	got	bs_Cyrl
gpf	gpf	bs_Cyrl
gran	gran	bs_Cyrl
graphics	Grafika	bs_Cyrl
grub	grub	bs_Cyrl
gs	gs	bs_Cyrl
h	h	bs_Cyrl
halt	halt	bs_Cyrl
handle	handle	bs_Cyrl
handler	handler	bs_Cyrl
handlers	handlers	bs_Cyrl
hardware	Hardver	bs_Cyrl
has	has	bs_Cyrl
hd	hd	bs_Cyrl
head	head	bs_Cyrl
header	header	bs_Cyrl
headertype	headertype	bs_Cyrl
heap	heap	bs_Cyrl
height	Visina	bs_Cyrl
helper	helper	bs_Cyrl
hex	hex	bs_Cyrl
hex출력	hex출력	bs_Cyrl
