original	compiler	native	status
Activate	A激活	A使用	existing-unreviewed
ActivateAll	A激活全部	A使用全部	existing-unreviewed
Active	A活跃	A啟用	existing-unreviewed
ActiveInterruptManager	A活跃中断管理器	A啟用中斷管理器	existing-unreviewed
ActiveMemoryManager	A活跃内存管理器	A啟用記憶體管理器	existing-unreviewed
Add	A添加	A加入	existing-unreviewed
AddDriver	A添加驱动程序	A加入驅動程式	existing-unreviewed
AddRunnableThread	A添加runnable线程	A加入runnable執行緒	existing-unreviewed
AddTask	A添加任务	A加入工作	existing-unreviewed
AddThread	A添加线程	A加入執行緒	existing-unreviewed
Address	Address	Address	existing-unreviewed
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed
AllocateBlock	Allocate块	Allocate區塊	existing-unreviewed
AllocatePID	Allocate进程号	Allocate行程代碼	existing-unreviewed
AmountOfMemory	A总量of内存	A數量of記憶體	existing-unreviewed
ArrayToUint16	A数组tounsignedinteger16	A陣列tounsignedinteger16	existing-unreviewed
ArrayToUint32	A数组tounsignedinteger32	A陣列tounsignedinteger32	existing-unreviewed
ArrayToUint48	A数组tounsignedinteger48	A陣列tounsignedinteger48	existing-unreviewed
ArrayToUint48_BE	A数组tounsignedinteger48be	A陣列tounsignedinteger48be	existing-unreviewed
ArrayToUint64	A数组tounsignedinteger64	A陣列tounsignedinteger64	existing-unreviewed
Atime	Atime	Atime	existing-unreviewed
AtimeNsec	Atimensec	Atimensec	existing-unreviewed
BLOCKS_PER_BYTE	B块per字节	B區塊per位元組	existing-unreviewed
BLOCK_SIZE	B块大小	B區塊大小	existing-unreviewed
Backend	Backend	Backend	existing-unreviewed
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed
Bind	B绑定	Bind	existing-unreviewed
Blksize	Blksize	Blksize	existing-unreviewed
Blocked	Blocked	Blocked	existing-unreviewed
BlockedState	Blocked状态	Blocked狀態	existing-unreviewed
Blocks	B块	B區塊	existing-unreviewed
BoundRangeExceeded	Bound范围exceeded	Boundrangeexceeded	existing-unreviewed
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed
BytesPerSector	B字节persector	B位元組persector	existing-unreviewed
BytesToString	B字节to字符串	B位元組to字串	existing-unreviewed
Checksum	Checksum	Checksum	existing-unreviewed
Clear	C清除	C清除	existing-unreviewed
Clone	Clone	Clone	existing-unreviewed
CloneAddressSpaceCOW	Cloneaddress空格cow	Cloneaddress空白cow	existing-unreviewed
Connect	C连接	C連接	existing-unreviewed
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed
CopyPageFrameBlock	C复制页帧块	C複製頁框架區塊	existing-unreviewed
CpuState	Cpu状态	Cpu狀態	existing-unreviewed
Create	C创建	C建立	existing-unreviewed
CreateFromData	C创建from数据	C建立from資料	existing-unreviewed
CreateFromFunction	C创建from函数	C建立from函式	existing-unreviewed
CreatePtrFromFunction	C创建指针from函数	C建立指標from函式	existing-unreviewed
Cs	Cs	Cs	existing-unreviewed
Ctime	Ctime	Ctime	existing-unreviewed
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed
CurrentPID	C当前进程号	C目前行程代碼	existing-unreviewed
CurrentParentPID	C当前parent进程号	C目前parent行程代碼	existing-unreviewed
Data	Data	Data	compatibility
Deactivate	D禁用	D停用	existing-unreviewed
Deactive	Deactive	Deactive	existing-unreviewed
Decrement	Decrement	Decrement	existing-unreviewed
Delete	D删除	D刪除	existing-unreviewed
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed
DescriptorType	Descriptor类型	Descriptor類型	existing-unreviewed
Destroy	D摧毁	D銷毀	existing-unreviewed
Dev	D设备	D裝置	existing-unreviewed
DeviceHasFunctions	D设备哈斯区函数	D裝置has函式	existing-unreviewed
DeviceNotAvailable	D设备not可用	D裝置not可用空間	existing-unreviewed
Device_id	D设备id	D裝置識別號	existing-unreviewed
DisableInt	D禁用整型	D停用整數	existing-unreviewed
Disconnect	D断开	D斷線	existing-unreviewed
DivideByZero	D除法by零	D除by零	existing-unreviewed
DoHandleInterrupt	Do控制器中断	Do控制把中斷	existing-unreviewed
DoubleFault	D双精度故障	D倍精度故障	existing-unreviewed
Draw	Draw	Draw	existing-unreviewed
DriverManager	D驱动程序管理器	D驅動程式管理器	existing-unreviewed
Ds	Ds	Ds	existing-unreviewed
Dynamic	D动态	D動態	existing-unreviewed
E2BIG	E2big	E2big	existing-unreviewed
EACCES	Eacces	Eacces	existing-unreviewed
EADDRINUSE	Eaddrinuse	Eaddrinuse	existing-unreviewed
EAFNOSUPPORT	Eafnosupport	Eafnosupport	existing-unreviewed
EAGAIN	Eagain	Eagain	existing-unreviewed
EBADF	Ebadf	Ebadf	existing-unreviewed
EBUSY	Ebusy	Ebusy	existing-unreviewed
ECHILD	Echild	Echild	existing-unreviewed
EEXIST	Eexist	Eexist	existing-unreviewed
EFAULT	Efault	Efault	existing-unreviewed
EFBIG	Efbig	Efbig	existing-unreviewed
EINTR	Eintr	Eintr	existing-unreviewed
EINVAL	Einval	Einval	existing-unreviewed
EIO	Eio	Eio	existing-unreviewed
EISDIR	Eisdir	Eisdir	existing-unreviewed
EMFILE	Emfile	Emfile	existing-unreviewed
EMSGSIZE	Emsgsize	Emsgsize	existing-unreviewed
ENETUNREACH	Enetunreach	Enetunreach	existing-unreviewed
ENFILE	Enfile	Enfile	existing-unreviewed
ENODEV	Enodev	Enodev	existing-unreviewed
ENOENT	Enoent	Enoent	existing-unreviewed
ENOEXEC	Enoexec	Enoexec	existing-unreviewed
ENOMEM	Enomem	Enomem	existing-unreviewed
ENOSPC	Enospc	Enospc	existing-unreviewed
ENOSYS	Enosys	Enosys	existing-unreviewed
ENOTCONN	Enotconn	Enotconn	existing-unreviewed
ENOTDIR	Enotdir	Enotdir	existing-unreviewed
ENOTTY	Enotty	Enotty	existing-unreviewed
EOPNOTSUPP	Eopnotsupp	Eopnotsupp	existing-unreviewed
EPERM	Eperm	Eperm	existing-unreviewed
EPROTONOSUPPORT	Eprotonosupport	Eprotonosupport	existing-unreviewed
ERANGE	Erange	Erange	existing-unreviewed
EROFS	Erofs	Erofs	existing-unreviewed
ESPIPE	Espipe	Espipe	existing-unreviewed
ESRCH	Esrch	Esrch	existing-unreviewed
Eax	Eax	Eax	existing-unreviewed
Ebp	Ebp	Ebp	existing-unreviewed
Ebx	Ebx	Ebx	existing-unreviewed
Ecx	Ecx	Ecx	existing-unreviewed
Edi	Edi	Edi	existing-unreviewed
Edx	Edx	Edx	existing-unreviewed
Eflags	Eflags	Eflags	existing-unreviewed
Eip	Eip	Eip	existing-unreviewed
Elf	Elf	Elf	existing-unreviewed
Elf32Dyn	Elf32dyn	Elf32dyn	existing-unreviewed
Elf32Note	Elf32备忘	Elf32備註	existing-unreviewed
Elf32Rel	Elf32rel	Elf32rel	existing-unreviewed
Elf32Rela	Elf32rela	Elf32rela	existing-unreviewed
Elf32Sym	Elf32sym	Elf32sym	existing-unreviewed
ElfHeader	Elf头部	Elf標頭	existing-unreviewed
ElfProgramHeader	Elf程序头部	Elf程式標頭	existing-unreviewed
ElfSectionHeader	Elf区段头部	Elf區段標頭	existing-unreviewed
EnablePaging	E启用分页管理	E啟用分頁管理	existing-unreviewed
Enabled	E启用	E已啟用	existing-unreviewed
EntryNumber	E条目数字	E項目數字	existing-unreviewed
EqualBytes	E相同字节	E相等位元組	existing-unreviewed
Es	Es	Es	existing-unreviewed
Esi	Esi	Esi	existing-unreviewed
Esp	Esp	Esp	existing-unreviewed
FPUBuffer	Fpubuffer	Fpubuffer	existing-unreviewed
FPUOffset	Fpu位移	Fpu位移	existing-unreviewed
Family	Family	Family	existing-unreviewed
FileName	F文件名称	F檔案名稱	existing-unreviewed
Fill	Fill	Fill	existing-unreviewed
FillRectangle	Fill矩形	Fill矩形	existing-unreviewed
First	First	First	existing-unreviewed
FirstFree	First空闲	First剩餘	existing-unreviewed
FirstFreeSize	First空闲大小	First剩餘大小	existing-unreviewed
Flags	F标志	F旗標	existing-unreviewed
FloatingPointException	F浮动pointexception	F浮動pointexception	existing-unreviewed
Flush	Flush	Flush	existing-unreviewed
FlushTlsTable	Flushtls表格	Flushtlstable	existing-unreviewed
Focussable	Focussable	Focussable	existing-unreviewed
Free	F空闲	F剩餘	existing-unreviewed
Fs	Fs	Fs	existing-unreviewed
GB	Gb	Gb	existing-unreviewed
GDT_ENTRIES	Gdt条目	Gdt項目	existing-unreviewed
GOT	Got	Got	existing-unreviewed
GPFException	Gpfexception	Gpfexception	existing-unreviewed
GatewayIP	Gatewayip	Gatewayip	existing-unreviewed
GdtAddressHigh	Gdtaddress高	Gdtaddress高	existing-unreviewed
GdtAddressLow	Gdtaddress低	Gdtaddress低	existing-unreviewed
