compiler_identifier	native_identifier
AF_INET	互聯網路位址族
AF_UNSPEC	未指定位址族
CHAR_BIT	每位元組位元數
CHAR_MAX	字元整數最大值
CHAR_MIN	字元整數最小值
CHECK	檢查條件
E2BIG	錯誤引數列表過大
EACCES	錯誤沒有存取權限
EADDRINUSE	錯誤位址已占用
EAFNOSUPPORT	錯誤不支援位址族
EAGAIN	錯誤暫時無法使用
EBADF	錯誤描述編號無效
EBUSY	錯誤資源使用中
ECHILD	錯誤沒有子行程
EEXIST	錯誤檔案已存在
EFAULT	錯誤記憶體位址無效
EFBIG	錯誤檔案過大
EINTR	錯誤操作被中斷
EINVAL	錯誤引數無效
EIO	錯誤輸入輸出失敗
EISDIR	錯誤是目錄
EMFILE	錯誤行程檔案數量上限
EMSGSIZE	錯誤訊息過大
ENETUNREACH	錯誤網路無法到達
ENFILE	錯誤系統檔案數量上限
ENODEV	錯誤裝置不存在
ENOENT	錯誤檔案或目錄不存在
ENOEXEC	錯誤執行格式無效
ENOMEM	錯誤記憶體不足
ENOSPC	錯誤儲存空間不足
ENOSYS	錯誤功能未實作
ENOTCONN	錯誤端點未連接
ENOTDIR	錯誤不是目錄
ENOTTY	錯誤裝置不適用操作
EOPNOTSUPP	錯誤不支援操作
EPERM	錯誤操作不允許
EPROTONOSUPPORT	錯誤不支援協定
ERANGE	錯誤數值超出範圍
EROFS	錯誤唯讀檔案系統
ESPIPE	錯誤資料流無法定位
ESRCH	錯誤行程不存在
EXIT_FAILURE	失敗結束
EXIT_SUCCESS	成功結束
FD_CLOEXEC	替換程式時關閉
F_DUPFD	複製描述編號
F_GETFD	取得描述編號旗標
F_GETFL	取得檔案狀態旗標
F_OK	檢查存在
F_SETFD	設定描述編號旗標
F_SETFL	設定檔案狀態旗標
INADDR_ANY	任意本機位址
INADDR_LOOPBACK	本機迴送位址
INT_MAX	整數最大值
INT_MIN	整數最小值
IPPROTO_IP	互聯網路基本協定
IPPROTO_UDP	使用者資料報協定
LLONG_MAX	長長整數最大值
LLONG_MIN	長長整數最小值
LONG_MAX	長整數最大值
LONG_MIN	長整數最小值
NULL	空位址
O_ACCMODE	存取模式遮罩
O_APPEND	在末尾附加
O_CREAT	不存在則建立
O_DIRECTORY	僅允許目錄
O_EXCL	僅允許新檔案
O_RDONLY	唯讀開啟
O_RDWR	讀寫開啟
O_TRUNC	清空原有內容
O_WRONLY	唯寫開啟
PF_INET	互聯網路協定族
R_OK	檢查讀取權限
SC0	無引數系統呼叫
SC1	單引數系統呼叫
SC2	雙引數系統呼叫
SC3	三引數系統呼叫
SCHAR_MAX	有號字元整數最大值
SCHAR_MIN	有號字元整數最小值
SC_accept	通訊端點_接受連線
SC_bind	通訊端點_繫結本地位址
SC_connect	通訊端點_連接對端
SC_getpeername	通訊端點_取得對端位址
SC_getsockname	通訊端點_取得本地端點位址
SC_listen	通訊端點_準備接收連線
SC_recv	通訊端點_接收
SC_recvfrom	通訊端點_接收並取得來源位址
SC_send	通訊端點_傳送
SC_sendto	通訊端點_向目的位址傳送
SC_setsockopt	通訊端點_設定通訊端點選項
SC_shutdown	通訊端點_關閉通訊方向
SC_socket	通訊端點_建立通訊端點
SEEK_CUR	從目前位置定位
SEEK_END	從末尾定位
SEEK_SET	從起點定位
SHRT_MAX	短整數最大值
SHRT_MIN	短整數最小值
SHUT_RD	停止接收
SHUT_RDWR	停止雙向通訊
SHUT_WR	停止傳送
SOCK_DGRAM	資料報端點
SOCK_STREAM	資料流端點
STDERR_FILENO	標準錯誤輸出編號
STDIN_FILENO	標準輸入編號
STDOUT_FILENO	標準輸出編號
SYS_access	系統呼叫_檢查存取權限
SYS_brk	系統呼叫_設定動態記憶末端
SYS_chdir	系統呼叫_切換工作目錄
SYS_close	系統呼叫_關閉
SYS_creat	系統呼叫_建立檔案
SYS_dup	系統呼叫_複製開啟檔案參照
SYS_dup2	系統呼叫_按指定編號複製檔案參照
SYS_execve	系統呼叫_替換執行內容
SYS_exit	系統呼叫_立即結束
SYS_fcntl	系統呼叫_控制檔案
SYS_fork	系統呼叫_分出子行程
SYS_fstat	系統呼叫_取得開啟檔案狀態
SYS_fsync	系統呼叫_同步檔案記錄
SYS_getcwd	系統呼叫_取得工作目錄路徑
SYS_getegid	系統呼叫_取得有效群組編號
SYS_geteuid	系統呼叫_取得有效使用者編號
SYS_getgid	系統呼叫_取得群組編號
SYS_getpid	系統呼叫_取得行程編號
SYS_getppid	系統呼叫_取得父行程編號
SYS_getuid	系統呼叫_取得使用者編號
SYS_lseek	系統呼叫_移動讀寫位置
SYS_lstat	系統呼叫_取得連結自身狀態
SYS_open	系統呼叫_開啟
SYS_read	系統呼叫_讀取
SYS_socketcall	通訊端點系統呼叫編號
SYS_stat	系統呼叫_檔案狀態
SYS_sync	系統呼叫_同步全部記錄
SYS_uname	系統呼叫_取得系統資訊
SYS_write	系統呼叫_寫入
S_IFCHR	字元裝置類型
S_IFDIR	目錄類型
S_IFMT	檔案類型遮罩
S_IFREG	一般檔案類型
S_IRGRP	所屬群組讀取權限
S_IROTH	其他人讀取權限
S_IRUSR	擁有者讀取權限
S_ISCHR	檢查字元裝置模式
S_ISDIR	檢查目錄模式
S_ISREG	檢查一般檔案模式
S_IWGRP	所屬群組寫入權限
S_IWOTH	其他人寫入權限
S_IWUSR	擁有者寫入權限
S_IXGRP	所屬群組執行權限
S_IXOTH	其他人執行權限
S_IXUSR	擁有者執行權限
UCHAR_MAX	無號字元整數最大值
UINT_MAX	無號整數最大值
ULLONG_MAX	無號長長整數最大值
