function	native_identifier	implementation	limits
_exit	立即结束	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
read	读取	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
write	写入	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
close	关闭	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lseek	移动读写位置	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fork	分出子进程	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
execve	替换执行内容	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpid	取得进程编号	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getppid	取得父进程编号	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getuid	取得用户编号	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
geteuid	取得有效用户编号	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getgid	取得组编号	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getegid	取得有效组编号	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
access	检查访问权限	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
chdir	切换工作目录	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getcwd	取得工作目录路径	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup	复制打开文件引用	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup2	按指定编号复制文件引用	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fsync	同步文件记录	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sync	同步全部记录	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
isatty	检查是否终端	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
brk	设定动态存储末端	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sbrk	移动动态存储末端	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
waitpid	等待指定子进程	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
wait	等待子进程	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
open	打开	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
creat	创建文件	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fcntl	控制文件	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
stat	文件状态	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lstat	取得链接自身状态	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fstat	取得打开文件状态	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
uname	取得系统信息	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htons	转为网络次序16位	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohs	转为主机次序16位	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htonl	转为网络次序32位	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohl	转为主机次序32位	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
socket	创建通信端点	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
bind	绑定本地地址	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
connect	连接对端	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
listen	准备接收连接	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
accept	接受连接	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getsockname	取得本地端点地址	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpeername	取得对端地址	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
send	发送	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
recv	接收	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sendto	向目的地址发送	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
recvfrom	接收并取得来源地址	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
shutdown	关闭通信方向	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
setsockopt	设置通信端点选项	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
memcpy	复制内存内容	userspace-library	single-thread;C-locale;byte-strings;i386
memmove	允许重叠移动内存内容	userspace-library	single-thread;C-locale;byte-strings;i386
memset	用值填充内存区域	userspace-library	single-thread;C-locale;byte-strings;i386
