compiler_file	native_file
Makefile	compiler.mk.in
include/arpa/inet.h	声明/通信地址/字节顺序.h
include/sys/syscall.h	声明/系统/系统调用.h
include/errno.h	声明/错误编号.h
include/fcntl.h	声明/文件控制.h
include/netinet/in.h	声明/互联网络/地址.h
include/stddef.h	声明/基本定义.h
include/stdint.h	声明/整数类型.h
include/sys/socket.h	声明/系统/通信端点.h
include/sys/stat.h	声明/系统/文件状态.h
include/sys/types.h	声明/系统/数据类型.h
include/sys/utsname.h	声明/系统/系统身份.h
include/sys/wait.h	声明/系统/子进程等待.h
include/unistd.h	声明/输入输出与执行.h
linker.ld	链接布局.ld
src/crt0.S	实现/启动.S
src/errno.c	实现/错误编号.c
src/fcntl.c	实现/文件控制.c
src/socket.c	实现/通信端点.c
src/stat.c	实现/文件状态.c
src/syscall.S	实现/系统调用.S
src/unistd.c	实现/输入输出与执行.c
tests/compile.c	测试/编译检查.c
tests/exec_runtime.c	测试/程序替换试验.c
tests/exec_target.c	测试/替换执行目标.c
tests/fork_runtime.c	测试/进程分支试验.c
tests/heap_runtime.c	测试/动态内存试验.c
tests/runtime.c	测试/运行试验.c
tests/socket_runtime.c	测试/通信端点试验.c
tests/stdin_runtime.c	测试/标准输入试验.c
include/ctype.h	声明/字符分类.h
include/limits.h	声明/整数极限.h
include/stdlib.h	声明/通用函数.h
include/string.h	声明/字符串与内存内容.h
include/strings.h	声明/字符串大小写比较.h
src/allocation.c	实现/内存空间管理.c
src/ctype.c	实现/字符分类.c
src/stdlib.c	实现/通用函数.c
src/string.c	实现/字符串与内存内容.c
tests/library.c	测试/函数集测试.c
tests/library_main.c	测试/函数集测试入口.c
tests/probe.c	测试/本语言调用测试.c
