original	native
src/amd_am79c973/amd_am79c973.go	src/amdam79c973/amdam79c973.go
src/arp/arp.go	src/arp/arp.go
src/common/memoperations.go	src/通用/内存操作.go
src/common/type.go	src/通用/类型.go
src/console/console.go	src/控制台/控制台.go
src/console/console.s	src/控制台/控制台.s
src/drivers/ata/ata.go	src/驱动程序/ata/ata.go
src/drivers/driver/driver.go	src/驱动程序/驱动程序/驱动程序.go
src/drivers/keyboard/keyboard.go	src/驱动程序/键盘/键盘.go
src/drivers/mouse/mouse.go	src/驱动程序/指向设备/指向设备.go
src/drivers/timer/timer.go	src/驱动程序/定时器/定时器.go
src/etherframe/etherframe.go	src/共享介质网络帧/共享介质网络帧.go
src/filesystem/elf/elf.go	src/文件系统/可执行与可链接格式/可执行与可链接格式.go
src/filesystem/elf/elfheader.go	src/文件系统/可执行与可链接格式/elf头部.go
src/filesystem/elf/elfsection.go	src/文件系统/可执行与可链接格式/elf区段.go
src/filesystem/elf/linkmap.go	src/文件系统/可执行与可链接格式/链接映射.go
src/filesystem/fat/fat.go	src/文件系统/fat/fat.go
src/filesystem/msdospart/msdospart.go	src/文件系统/msdos分区/msdos分区.go
src/gate/gate.go	src/入口/入口.go
src/gate/gate.s	src/入口/入口.s
src/gate/gate_amd64.go	src/入口/入口amd64.go
src/gate/gate_amd64.s	src/入口/入口amd64.s
src/gdt/gdt.go	src/gdt/gdt.go
src/gdt/gdt.s	src/gdt/gdt.s
src/icmp/icmp.go	src/互联网络控制报文协议/互联网络控制报文协议.go
src/interrupt/interrupt.go	src/中断/中断.go
src/interrupt/interrupt.s	src/中断/中断.s
src/ipv4/ipv4.go	src/互联网络协议4/互联网络协议4.go
src/memorymanager/memorymanager.go	src/内存管理器/内存管理器.go
src/multitasking/multi.s	src/多重任务管理/多重.s
src/multitasking/multitasking.go	src/多重任务管理/多重任务管理.go
src/paging/paging.go	src/分页管理/分页管理.go
src/paging/paging.s	src/分页管理/分页管理.s
src/pci/pci.go	src/pci/pci.go
src/phymem/phymem.go	src/物理内存/物理内存.go
src/port/port.go	src/端口/端口.go
src/port/port.s	src/端口/端口.s
src/systemcall/systemcall.go	src/系统调用/系统调用.go
src/systemcall/systemcall.s	src/系统调用/系统调用.s
src/tasking/process/process.go	src/任务管理/进程/进程.go
src/tasking/scheduler/scheduler.go	src/任务管理/调度器/调度器.go
src/tasking/scheduler/scheduler.s	src/任务管理/调度器/调度器.s
src/tasking/thread/thread.go	src/任务管理/线程/线程.go
src/tasking/tss/tss.go	src/任务管理/tss/tss.go
src/tasking/tss/tss.s	src/任务管理/tss/tss.s
src/text_mode/text_mode.go	src/文本模式/文本模式.go
src/udp/udp.go	src/用户数据报协议/用户数据报协议.go
src/util/array/array.go	src/工具/数组/数组.go
src/util/list/list.go	src/工具/列表/列表.go
src/util/util.go	src/工具/工具.go
src/vga/vga.go	src/vga/vga.go
src/virtmem/virtmem.go	src/虚拟内存/虚拟内存.go
src/widget/widget.go	src/界面元素/界面元素.go
main.go	主要.go
main.s	主要.s
asm/constants.inc	机器启动/常量.inc
asm/gdt.inc	机器启动/gdt.inc
asm/go_asm_offsets.inc	机器启动/goasm位移.inc
asm/multiboot_header.s	机器启动/multiboot头部.s
asm/rt0.s	机器启动/rt0.s
go.sh	编译内核.sh
linker.ld	链接布局.ld
tools/decode-virtualbox-log.sh	工具/解析串行日志.sh
tools/offsets.go	工具/结构偏移.go
userland/posix/Makefile	用户空间/posix/Makefile
userland/posix/TEST_RESULTS.md	用户空间/posix/TEST_RESULTS.md
userland/posix/include/arpa/inet.h	用户空间/posix/头文件/arpa/inet.h
userland/posix/include/engos/syscall.h	用户空间/posix/头文件/sys/syscall.h
userland/posix/include/errno.h	用户空间/posix/头文件/errno.h
userland/posix/include/fcntl.h	用户空间/posix/头文件/fcntl.h
userland/posix/include/netinet/in.h	用户空间/posix/头文件/netinet/in.h
userland/posix/include/stddef.h	用户空间/posix/头文件/stddef.h
userland/posix/include/stdint.h	用户空间/posix/头文件/stdint.h
userland/posix/include/sys/socket.h	用户空间/posix/头文件/sys/socket.h
userland/posix/include/sys/stat.h	用户空间/posix/头文件/sys/stat.h
userland/posix/include/sys/types.h	用户空间/posix/头文件/sys/types.h
userland/posix/include/sys/utsname.h	用户空间/posix/头文件/sys/utsname.h
userland/posix/include/sys/wait.h	用户空间/posix/头文件/sys/wait.h
userland/posix/include/unistd.h	用户空间/posix/头文件/unistd.h
userland/posix/linker.ld	用户空间/posix/链接布局.ld
userland/posix/src/crt0.S	用户空间/posix/实现/启动.S
userland/posix/src/errno.c	用户空间/posix/实现/错误编号.c
userland/posix/src/fcntl.c	用户空间/posix/实现/文件控制.c
userland/posix/src/socket.c	用户空间/posix/实现/socket.c
userland/posix/src/stat.c	用户空间/posix/实现/文件状态.c
userland/posix/src/syscall.S	用户空间/posix/实现/系统调用.S
userland/posix/src/unistd.c	用户空间/posix/实现/unistd.c
userland/posix/tests/compile.c	用户空间/posix/测试/compile.c
userland/posix/tests/exec_runtime.c	用户空间/posix/测试/exec_runtime.c
userland/posix/tests/exec_target.c	用户空间/posix/测试/exec_target.c
userland/posix/tests/fork_runtime.c	用户空间/posix/测试/fork_runtime.c
userland/posix/tests/heap_runtime.c	用户空间/posix/测试/heap_runtime.c
userland/posix/tests/runtime.c	用户空间/posix/测试/runtime.c
userland/posix/tests/socket_runtime.c	用户空间/posix/测试/socket_runtime.c
userland/posix/tests/stdin_runtime.c	用户空间/posix/测试/stdin_runtime.c
