original	compiler	native	status
Activate	Activate	Activate	pending-translation
ActivateAll	Activateall	ActivateAll	pending-translation
Active	Active	Active	pending-translation
ActiveInterruptManager	Activeinterruptmanager	ActiveInterruptManager	pending-translation
ActiveMemoryManager	Activememorymanager	ActiveMemoryManager	pending-translation
Add	Add	Add	pending-translation
AddDriver	Adddriver	AddDriver	pending-translation
AddRunnableThread	Addrunnablethread	AddRunnableThread	pending-translation
AddTask	Addtask	AddTask	pending-translation
AddThread	Addthread	AddThread	pending-translation
Address	Address	Address	pending-translation
AlignedMalloc	Alignedmalloc	AlignedMalloc	pending-translation
AlignmentCheck	Alignmentcheck	AlignmentCheck	pending-translation
AllocateBlock	Allocateblock	AllocateBlock	pending-translation
AllocatePID	Allocatepid	AllocatePID	pending-translation
AmountOfMemory	Amountofmemory	AmountOfMemory	pending-translation
ArrayToUint16	Arraytounsignedinteger16	ArrayToUint16	pending-translation
ArrayToUint32	Arraytounsignedinteger32	ArrayToUint32	pending-translation
ArrayToUint48	Arraytounsignedinteger48	ArrayToUint48	pending-translation
ArrayToUint48_BE	Arraytounsignedinteger48be	ArrayToUint48_BE	pending-translation
ArrayToUint64	Arraytounsignedinteger64	ArrayToUint64	pending-translation
Atime	Atime	Atime	pending-translation
AtimeNsec	Atimensec	AtimeNsec	pending-translation
BLOCKS_PER_BYTE	Blockperbyte	BLOCKS_PER_BYTE	pending-translation
BLOCK_SIZE	Blocksize	BLOCK_SIZE	pending-translation
Backend	Backend	Backend	pending-translation
BaseAddr	Baseaddress	BaseAddr	pending-translation
Bind	Bind	Bind	pending-translation
Blksize	Blksize	Blksize	pending-translation
Blocked	Blocked	Blocked	pending-translation
BlockedState	Blockedstate	BlockedState	pending-translation
Blocks	Block	Blocks	pending-translation
BoundRangeExceeded	Boundrangeexceeded	BoundRangeExceeded	pending-translation
BroadcastMacAddress	Broadcastmacaddress	BroadcastMacAddress	pending-translation
BytesPerSector	Bytespersector	BytesPerSector	pending-translation
BytesToString	Bytestostring	BytesToString	pending-translation
Checksum	Checksum	Checksum	pending-translation
Clear	Clear	Clear	pending-translation
Clone	Clone	Clone	pending-translation
CloneAddressSpaceCOW	Cloneaddressspacecow	CloneAddressSpaceCOW	pending-translation
Connect	Connect	Connect	pending-translation
ContainsCoordinate	Containscoordinate	ContainsCoordinate	pending-translation
CopyPageFrameBlock	Copypageframeblock	CopyPageFrameBlock	pending-translation
CpuState	Cpustate	CpuState	pending-translation
Create	Create	Create	pending-translation
CreateFromData	Createfromdata	CreateFromData	pending-translation
CreateFromFunction	Createfromfunction	CreateFromFunction	pending-translation
CreatePtrFromFunction	Createpointerfromfunction	CreatePtrFromFunction	pending-translation
Cs	Cs	Cs	pending-translation
Ctime	Ctime	Ctime	pending-translation
CtimeNsec	Ctimensec	CtimeNsec	pending-translation
CurrentPID	Currentpid	CurrentPID	pending-translation
CurrentParentPID	Currentजनकpid	CurrentParentPID	pending-translation
Data	Data	Data	compatibility
Deactivate	Deactivate	Deactivate	pending-translation
Deactive	Deactive	Deactive	pending-translation
Decrement	Decrement	Decrement	pending-translation
Delete	Delete	Delete	pending-translation
DescriptorPrivilegeLevel	Descriptorprivilegelevel	DescriptorPrivilegeLevel	pending-translation
DescriptorType	Descriptortype	DescriptorType	pending-translation
Destroy	Destroy	Destroy	pending-translation
Dev	Dउपकरण	Dev	pending-translation
DeviceHasFunctions	Dउपकरणhasfunctions	DeviceHasFunctions	pending-translation
DeviceNotAvailable	Dउपकरणnotavailable	DeviceNotAvailable	pending-translation
Device_id	Dउपकरणid	Device_id	pending-translation
DisableInt	Disableint	DisableInt	pending-translation
Disconnect	Disconnect	Disconnect	pending-translation
DivideByZero	Dividebyzero	DivideByZero	pending-translation
DoHandleInterrupt	Dohandleinterrupt	DoHandleInterrupt	pending-translation
DoubleFault	Doublefault	DoubleFault	pending-translation
Draw	Draw	Draw	pending-translation
DriverManager	Drivermanager	DriverManager	pending-translation
Ds	Ds	Ds	pending-translation
Dynamic	Dynamic	Dynamic	pending-translation
E2BIG	E2big	E2BIG	pending-translation
EACCES	Eacces	EACCES	pending-translation
EADDRINUSE	Eaddrinuse	EADDRINUSE	pending-translation
EAFNOSUPPORT	Eafnosupport	EAFNOSUPPORT	pending-translation
EAGAIN	Eagain	EAGAIN	pending-translation
EBADF	Ebadf	EBADF	pending-translation
EBUSY	Ebusy	EBUSY	pending-translation
ECHILD	Echild	ECHILD	pending-translation
EEXIST	Eexist	EEXIST	pending-translation
EFAULT	Efault	EFAULT	pending-translation
EFBIG	Efbig	EFBIG	pending-translation
EINTR	Eintr	EINTR	pending-translation
EINVAL	Einval	EINVAL	pending-translation
EIO	Eio	EIO	pending-translation
EISDIR	Eisdir	EISDIR	pending-translation
EMFILE	Emfile	EMFILE	pending-translation
EMSGSIZE	Emsgsize	EMSGSIZE	pending-translation
ENETUNREACH	Enetunreach	ENETUNREACH	pending-translation
ENFILE	Enfile	ENFILE	pending-translation
ENODEV	Enodev	ENODEV	pending-translation
ENOENT	Enoent	ENOENT	pending-translation
ENOEXEC	Enoexec	ENOEXEC	pending-translation
ENOMEM	Enomem	ENOMEM	pending-translation
ENOSPC	Enospc	ENOSPC	pending-translation
ENOSYS	Enosys	ENOSYS	pending-translation
ENOTCONN	Enotconn	ENOTCONN	pending-translation
ENOTDIR	Enotdir	ENOTDIR	pending-translation
ENOTTY	Enotty	ENOTTY	pending-translation
EOPNOTSUPP	Eopnotsupp	EOPNOTSUPP	pending-translation
EPERM	Eperm	EPERM	pending-translation
EPROTONOSUPPORT	Eprotonosupport	EPROTONOSUPPORT	pending-translation
ERANGE	Erange	ERANGE	pending-translation
EROFS	Erofs	EROFS	pending-translation
ESPIPE	Espipe	ESPIPE	pending-translation
ESRCH	Esrch	ESRCH	pending-translation
Eax	Eax	Eax	pending-translation
Ebp	Ebp	Ebp	pending-translation
Ebx	Ebx	Ebx	pending-translation
Ecx	Ecx	Ecx	pending-translation
Edi	Edi	Edi	pending-translation
Edx	Edx	Edx	pending-translation
Eflags	Eflags	Eflags	pending-translation
Eip	Eip	Eip	pending-translation
Elf	Elf	Elf	pending-translation
Elf32Dyn	Elf32dyn	Elf32Dyn	pending-translation
Elf32Note	Elf32note	Elf32Note	pending-translation
Elf32Rel	Elf32rel	Elf32Rel	pending-translation
Elf32Rela	Elf32rela	Elf32Rela	pending-translation
Elf32Sym	Elf32sym	Elf32Sym	pending-translation
ElfHeader	Elfheader	ElfHeader	pending-translation
ElfProgramHeader	Elfprogramheader	ElfProgramHeader	pending-translation
ElfSectionHeader	Elfsectionheader	ElfSectionHeader	pending-translation
EnablePaging	Enablepaging	EnablePaging	pending-translation
Enabled	Enabled	Enabled	pending-translation
EntryNumber	Entrynumber	EntryNumber	pending-translation
EqualBytes	Equalbytes	EqualBytes	pending-translation
Es	Es	Es	pending-translation
Esi	Esi	Esi	pending-translation
Esp	Esp	Esp	pending-translation
FPUBuffer	Fpubuffer	FPUBuffer	pending-translation
FPUOffset	Fpuoffset	FPUOffset	pending-translation
Family	Family	Family	pending-translation
FileName	Filename	FileName	pending-translation
Fill	Fill	Fill	pending-translation
FillRectangle	Fillआयत	FillRectangle	pending-translation
First	First	First	pending-translation
FirstFree	Firstfree	FirstFree	pending-translation
FirstFreeSize	Firstfreesize	FirstFreeSize	pending-translation
Flags	Flags	Flags	pending-translation
