compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	INPUT_LINE_CAPACITY	pending-language-review
MAX_ARGUMENT_COUNT	MAX_ARGUMENT_COUNT	pending-language-review
MAX_SCRIPT_DEPTH	MAX_SCRIPT_DEPTH	pending-language-review
argument_count	argument_count	pending-language-review
arguments	arguments	pending-language-review
buffer	buffer	pending-language-review
bytes_read	bytes_read	pending-language-review
bytes_written	bytes_written	pending-language-review
capacity	capacity	pending-language-review
character	character	pending-language-review
child_pid	child_pid	pending-language-review
cleanup	cleanup	pending-language-review
command	command	pending-language-review
command_aliases	command_aliases	pending-language-review
command_cat	command_cat	pending-language-review
command_echo	command_echo	pending-language-review
command_matches	command_matches	pending-language-review
command_names	command_names	pending-language-review
command_pid	command_pid	pending-language-review
command_pwd	command_pwd	pending-language-review
command_run	command_run	pending-language-review
command_source	command_source	pending-language-review
command_stat	command_stat	pending-language-review
command_udp	command_udp	pending-language-review
command_uname	command_uname	pending-language-review
current	current	pending-language-review
digit_text	digit_text	pending-language-review
file_descriptor	file_descriptor	pending-language-review
file_name	file_name	pending-language-review
input	input	pending-language-review
input_descriptor	input_descriptor	pending-language-review
input_line	input_line	pending-language-review
input_stream	input_stream	pending-language-review
left	left	pending-language-review
length	length	pending-language-review
message	message	pending-language-review
message_length	message_length	pending-language-review
name	name	pending-language-review
number	number	pending-language-review
operation	operation	pending-language-review
output	output	pending-language-review
overflow	overflow	pending-language-review
path	path	pending-language-review
position	position	pending-language-review
print_help	print_help	pending-language-review
quote	quote	pending-language-review
read_line	read_line	pending-language-review
receive_address	receive_address	pending-language-review
receive_socket	receive_socket	pending-language-review
received_data	received_data	pending-language-review
received_length	received_length	pending-language-review
right	right	pending-language-review
run_input	run_input	pending-language-review
script_depth	script_depth	pending-language-review
send_socket	send_socket	pending-language-review
size	ଆକାର	pending-language-review
source_address	source_address	pending-language-review
source_address_length	source_address_length	pending-language-review
split_arguments	split_arguments	pending-language-review
status	status	pending-language-review
text	text	pending-language-review
text_equal	text_equal	pending-language-review
text_length	text_length	pending-language-review
value	value	pending-language-review
wait_status	wait_status	pending-language-review
write_error	write_error	pending-language-review
write_integer	write_integer	pending-language-review
write_text	write_text	pending-language-review
