english	localized	language
a	ए	hi
access	access	hi
ack	ack	hi
activate	activate	hi
active	active	hi
add	add	hi
addend	addend	hi
addr	addr	hi
addralign	addralign	hi
address	address	hi
advanced	advanced	hi
af	af	hi
after	after	hi
align	align	hi
aligned	aligned	hi
alignment	alignment	hi
all	all	hi
alloc	alloc	hi
allocate	allocate	hi
allocated	allocated	hi
am	am	hi
amd	amd	hi
amount	amount	hi
and	and	hi
append	append	hi
args	args	hi
argument	argument	hi
arguments	arguments	hi
arp	arp	hi
arp콘솔	arp콘솔	hi
array	array	hi
assembly	assembly	hi
at	at	hi
ata	ata	hi
atime	atime	hi
attachment	attachment	hi
attempts	attempts	hi
attr	attr	hi
attribute	attribute	hi
attributes	attributes	hi
aux	aux	hi
avail	avail	hi
available	available	hi
b	b	hi
ba	ba	hi
back	back	hi
backend	backend	hi
backup	backup	hi
bar	bar	hi
base	base	hi
be	be	hi
bh	bh	hi
big	big	hi
bind	bind	hi
bios	bios	hi
bit	bit	hi
bitmap	bitmap	hi
bitmasp	bitmasp	hi
bits	bits	hi
blksize	blksize	hi
block	block	hi
blocked	blocked	hi
blocking	blocking	hi
blocks	blocks	hi
boot	boot	hi
bootable	bootable	hi
bootloader	bootloader	hi
bound	bound	hi
bpb	bpb	hi
break	break	hi
brk	brk	hi
broadcast	broadcast	hi
buf	buf	hi
buffer	buffer	hi
buffers	buffers	hi
bufptr	bufptr	hi
bus	bus	hi
button	button	hi
buttons	buttons	hi
by	by	hi
byte	byte	hi
bytes	bytes	hi
c	c	hi
cache	cache	hi
call	call	hi
candidate	candidate	hi
cap	cap	hi
capable	capable	hi
card	card	hi
central	central	hi
char	char	hi
chdir	chdir	hi
check	check	hi
checked	checked	hi
checksum	checksum	hi
child	child	hi
chunk	chunk	hi
class	class	hi
clear	clear	hi
cloexec	cloexec	hi
clone	clone	hi
close	close	hi
cluster	cluster	hi
cmp	cmp	hi
code	code	hi
col	col	hi
color	color	hi
colordepth	colordepth	hi
command	command	hi
commandport	commandport	hi
common	common	hi
component	component	hi
connect	connect	hi
connected	connected	hi
console	console	hi
constant	constant	hi
contains	contains	hi
contents	contents	hi
control	control	hi
controller	controller	hi
coordinate	coordinate	hi
copies	copies	hi
copy	copy	hi
count	count	hi
cow	cow	hi
cpu	cpu	hi
cpustate	cpustate	hi
cpy	cpy	hi
cr	cr	hi
creat	creat	hi
create	create	hi
crtc	crtc	hi
cs	cs	hi
ctime	ctime	hi
cur	cur	hi
current	current	hi
cursor	cursor	hi
cylinder	cylinder	hi
d	d	hi
data	data	hi
databuffer	databuffer	hi
datagram	datagram	hi
dataport	dataport	hi
date	date	hi
deactivate	deactivate	hi
deactive	deactive	hi
debug	debug	hi
decrement	decrement	hi
default	default	hi
delete	delete	hi
delta	delta	hi
depth	depth	hi
desc	desc	hi
descr	descr	hi
description	description	hi
descriptor	descriptor	hi
descriptors	descriptors	hi
descsz	descsz	hi
destination	destination	hi
destroy	destroy	hi
dev	dev	hi
device	उपकरण	hi
diff	diff	hi
digits	digits	hi
dir	dir	hi
directory	directory	hi
dirent	dirent	hi
disable	disable	hi
discard	discard	hi
disconnect	disconnect	hi
dispatch	dispatch	hi
divide	divide	hi
divisor	divisor	hi
do	do	hi
domain	domain	hi
double	double	hi
down	down	hi
draw	draw	hi
drive	drive	hi
driver	driver	hi
drivercount	drivercount	hi
drivers	drivers	hi
drv	drv	hi
ds	ds	hi
dst	dst	hi
dstptr	dstptr	hi
dup	dup	hi
dword	dword	hi
dyn	dyn	hi
dynamic	dynamic	hi
e	e	hi
eacces	eacces	hi
eaddrinuse	eaddrinuse	hi
eafnosupport	eafnosupport	hi
eagain	eagain	hi
eax	eax	hi
ebadf	ebadf	hi
ebp	ebp	hi
ebusy	ebusy	hi
ebx	ebx	hi
echild	echild	hi
echo	echo	hi
ecx	ecx	hi
edi	edi	hi
edx	edx	hi
eexist	eexist	hi
ef	ef	hi
efault	efault	hi
efbig	efbig	hi
eflags	eflags	hi
ehsize	ehsize	hi
eintr	eintr	hi
einval	einval	hi
eio	eio	hi
eip	eip	hi
eisdir	eisdir	hi
elf	elf	hi
emfile	emfile	hi
empty	empty	hi
emsgsize	emsgsize	hi
enable	enable	hi
enabled	enabled	hi
end	end	hi
enetunreach	enetunreach	hi
enfile	enfile	hi
enodev	enodev	hi
enoent	enoent	hi
enoexec	enoexec	hi
enomem	enomem	hi
enospc	enospc	hi
enosys	enosys	hi
enotconn	enotconn	hi
enotdir	enotdir	hi
enotty	enotty	hi
ensure	ensure	hi
entries	entries	hi
entry	entry	hi
entrypoint	entrypoint	hi
entsize	entsize	hi
environment	environment	hi
eopnotsupp	eopnotsupp	hi
eperm	eperm	hi
ephemeral	ephemeral	hi
eprotonosupport	eprotonosupport	hi
equal	equal	hi
erange	erange	hi
