standard_identifier	native_identifier	category	status
AF_INET	பிணையங்களிடை_முகவரிக்_குடும்பக்_குறியீடு	network-declaration	project-proposal
AF_UNSPEC	குறிப்பிடாத_முகவரிக்_குடும்பம்	network-declaration	project-proposal
CHAR_BIT	CHAR_BIT	integer-limit	pending-language-review
CHAR_MAX	CHAR_MAX	integer-limit	pending-language-review
CHAR_MIN	CHAR_MIN	integer-limit	pending-language-review
CHECK	CHECK	variable	pending-language-review
E2BIG	E2BIG	error-code	pending-language-review
EACCES	EACCES	error-code	pending-language-review
EADDRINUSE	EADDRINUSE	error-code	pending-language-review
EAFNOSUPPORT	EAFNOSUPPORT	error-code	pending-language-review
EAGAIN	EAGAIN	error-code	pending-language-review
EBADF	EBADF	error-code	pending-language-review
EBUSY	EBUSY	error-code	pending-language-review
ECHILD	ECHILD	error-code	pending-language-review
EEXIST	EEXIST	error-code	pending-language-review
EFAULT	EFAULT	error-code	pending-language-review
EFBIG	EFBIG	error-code	pending-language-review
EINTR	EINTR	error-code	pending-language-review
EINVAL	EINVAL	error-code	pending-language-review
EIO	EIO	error-code	pending-language-review
EISDIR	EISDIR	error-code	pending-language-review
EMFILE	EMFILE	error-code	pending-language-review
EMSGSIZE	EMSGSIZE	error-code	pending-language-review
ENETUNREACH	ENETUNREACH	error-code	pending-language-review
ENFILE	ENFILE	error-code	pending-language-review
ENODEV	ENODEV	error-code	pending-language-review
ENOENT	ENOENT	error-code	pending-language-review
ENOEXEC	ENOEXEC	error-code	pending-language-review
ENOMEM	ENOMEM	error-code	pending-language-review
ENOSPC	ENOSPC	error-code	pending-language-review
ENOSYS	ENOSYS	error-code	pending-language-review
ENOTCONN	ENOTCONN	error-code	pending-language-review
ENOTDIR	ENOTDIR	error-code	pending-language-review
ENOTTY	ENOTTY	error-code	pending-language-review
EOPNOTSUPP	EOPNOTSUPP	error-code	pending-language-review
EPERM	EPERM	error-code	pending-language-review
EPROTONOSUPPORT	EPROTONOSUPPORT	error-code	pending-language-review
ERANGE	ERANGE	error-code	pending-language-review
EROFS	EROFS	error-code	pending-language-review
ESPIPE	ESPIPE	error-code	pending-language-review
ESRCH	ESRCH	error-code	pending-language-review
EXIT_FAILURE	EXIT_FAILURE	interface-constant	pending-language-review
EXIT_SUCCESS	EXIT_SUCCESS	interface-constant	pending-language-review
FD_CLOEXEC	FD_CLOEXEC	interface-constant	pending-language-review
F_DUPFD	F_DUPFD	interface-constant	pending-language-review
F_GETFD	F_GETFD	interface-constant	pending-language-review
F_GETFL	F_GETFL	interface-constant	pending-language-review
F_OK	F_OK	interface-constant	pending-language-review
F_SETFD	F_SETFD	interface-constant	pending-language-review
F_SETFL	F_SETFL	interface-constant	pending-language-review
INADDR_ANY	எந்த_உள்ளூர்_முகவரியும்	network-declaration	project-proposal
INADDR_LOOPBACK	தன்னிடமே_திரும்பும்_முகவரி	network-declaration	project-proposal
INT_MAX	INT_MAX	integer-limit	pending-language-review
INT_MIN	INT_MIN	integer-limit	pending-language-review
IPPROTO_IP	அடிப்படைப்_பிணையங்களிடை_நெறிமுறை	network-declaration	project-proposal
IPPROTO_UDP	பயனர்_தரவுச்_செய்தி_நெறிமுறை	network-declaration	project-proposal
LLONG_MAX	LLONG_MAX	integer-limit	pending-language-review
LLONG_MIN	LLONG_MIN	integer-limit	pending-language-review
LONG_MAX	LONG_MAX	integer-limit	pending-language-review
LONG_MIN	LONG_MIN	integer-limit	pending-language-review
NULL	NULL	interface-constant	pending-language-review
O_ACCMODE	O_ACCMODE	interface-constant	pending-language-review
O_APPEND	O_APPEND	interface-constant	pending-language-review
O_CREAT	O_CREAT	interface-constant	pending-language-review
O_DIRECTORY	O_DIRECTORY	interface-constant	pending-language-review
O_EXCL	O_EXCL	interface-constant	pending-language-review
O_RDONLY	O_RDONLY	interface-constant	pending-language-review
O_RDWR	O_RDWR	interface-constant	pending-language-review
O_TRUNC	O_TRUNC	interface-constant	pending-language-review
O_WRONLY	O_WRONLY	interface-constant	pending-language-review
PF_INET	பிணையங்களிடை_நெறிமுறைக்_குடும்பம்	network-declaration	project-proposal
R_OK	R_OK	interface-constant	pending-language-review
SC0	SC0	implementation-helper	pending-language-review
SC1	SC1	implementation-helper	pending-language-review
SC2	SC2	implementation-helper	pending-language-review
SC3	SC3	implementation-helper	pending-language-review
SCHAR_MAX	SCHAR_MAX	integer-limit	pending-language-review
SCHAR_MIN	SCHAR_MIN	integer-limit	pending-language-review
SC_accept	SC_இணைப்பை_ஏற்றுக்கொள்	internal-name	derived-from-call-role
SC_bind	SC_உள்ளக_முகவரியைப்_பிணை	internal-name	derived-from-call-role
SC_connect	SC_எதிர்_முனையுடன்_இணை	internal-name	derived-from-call-role
SC_getpeername	SC_எதிர்_முனையின்_முகவரியைப்_பெறு	internal-name	derived-from-call-role
SC_getsockname	SC_உள்ளக_முனையின்_முகவரியைப்_பெறு	internal-name	derived-from-call-role
SC_listen	SC_இணைப்புகளை_ஏற்கத்_தயாராகு	internal-name	derived-from-call-role
SC_recv	SC_பெறு	internal-name	derived-from-call-role
SC_recvfrom	SC_அனுப்பிய_முகவரியுடன்_பெறு	internal-name	derived-from-call-role
SC_send	SC_அனுப்பு	internal-name	derived-from-call-role
SC_sendto	SC_இலக்கிற்கு_அனுப்பு	internal-name	derived-from-call-role
SC_setsockopt	SC_தொடர்பு_முனையின்_விருப்பத்தை_அமை	internal-name	derived-from-call-role
SC_shutdown	SC_தொடர்புத்_திசையை_மூடு	internal-name	derived-from-call-role
SC_socket	SC_தொடர்பு_முனையை_உருவாக்கு	internal-name	derived-from-call-role
SEEK_CUR	SEEK_CUR	interface-constant	pending-language-review
SEEK_END	SEEK_END	interface-constant	pending-language-review
SEEK_SET	SEEK_SET	interface-constant	pending-language-review
SHRT_MAX	SHRT_MAX	integer-limit	pending-language-review
SHRT_MIN	SHRT_MIN	integer-limit	pending-language-review
SHUT_RD	பெறுதலை_நிறுத்து	network-declaration	project-proposal
SHUT_RDWR	இரு_திசைகளையும்_நிறுத்து	network-declaration	project-proposal
SHUT_WR	அனுப்புதலை_நிறுத்து	network-declaration	project-proposal
SOCK_DGRAM	தரவுச்_செய்தி_முனை	network-declaration	project-proposal
SOCK_STREAM	தரவு_ஓட்ட_முனை	network-declaration	project-proposal
STDERR_FILENO	STDERR_FILENO	interface-constant	pending-language-review
STDIN_FILENO	STDIN_FILENO	interface-constant	pending-language-review
STDOUT_FILENO	STDOUT_FILENO	interface-constant	pending-language-review
SYS_access	SYS_அணுகல்_உரிமையைச்_சோதி	internal-name	derived-from-call-role
SYS_brk	SYS_மாறும்_நினைவக_முடிவை_அமை	internal-name	derived-from-call-role
SYS_chdir	SYS_பணி_அடைவை_மாற்று	internal-name	derived-from-call-role
SYS_close	SYS_மூடு	internal-name	derived-from-call-role
SYS_creat	SYS_கோப்பை_உருவாக்கு	internal-name	derived-from-call-role
SYS_dup	SYS_திறந்த_கோப்பின்_குறிப்பை_நகலெடு	internal-name	derived-from-call-role
