function	native_identifier	implementation	limits
_exit	உடனே_முடி	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
read	படி	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
write	எழுது	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
close	மூடு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lseek	கோப்பின்_படிப்பிடத்தை_நகர்த்து	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fork	சேய்_செயல்முறையை_உருவாக்கு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
execve	இயங்கும்_நிரலை_மாற்று	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpid	செயல்முறை_அடையாளத்தைப்_பெறு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getppid	தாய்_செயல்முறை_அடையாளத்தைப்_பெறு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getuid	பயனர்_அடையாளத்தைப்_பெறு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
geteuid	நடப்பு_உரிமைப்_பயனர்_அடையாளத்தைப்_பெறு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getgid	குழு_அடையாளத்தைப்_பெறு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getegid	நடப்பு_உரிமைக்_குழு_அடையாளத்தைப்_பெறு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
access	அணுகல்_உரிமையைச்_சோதி	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
chdir	பணி_அடைவை_மாற்று	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getcwd	பணி_அடைவின்_பாதையைப்_பெறு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup	திறந்த_கோப்பின்_குறிப்பை_நகலெடு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup2	குறித்த_எண்ணுக்கு_கோப்புக்_குறிப்பை_நகலெடு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fsync	கோப்பின்_பதிவை_ஒத்திசை	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sync	அனைத்துப்_பதிவுகளையும்_ஒத்திசை	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
isatty	முனையமா_எனச்_சோதி	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
brk	மாறும்_நினைவக_முடிவை_அமை	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sbrk	மாறும்_நினைவக_முடிவை_நகர்த்து	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
waitpid	குறித்த_சேய்க்குக்_காத்திரு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
wait	சேய்க்குக்_காத்திரு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
open	திற	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
creat	கோப்பை_உருவாக்கு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fcntl	கோப்பைக்_கட்டுப்படுத்து	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
stat	கோப்பு_நிலை	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lstat	இணைப்பின்_சொந்த_நிலையைப்_பெறு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fstat	திறந்த_கோப்பின்_நிலையைப்_பெறு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
uname	அமைப்புத்_தகவலைப்_பெறு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htons	_16_இரும_இலக்கங்களை_வலை_வரிசைக்கு_மாற்று	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohs	_16_இரும_இலக்கங்களைப்_பொறி_வரிசைக்கு_மாற்று	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htonl	_32_இரும_இலக்கங்களை_வலை_வரிசைக்கு_மாற்று	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohl	_32_இரும_இலக்கங்களைப்_பொறி_வரிசைக்கு_மாற்று	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
socket	தொடர்பு_முனையை_உருவாக்கு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
bind	உள்ளக_முகவரியைப்_பிணை	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
connect	எதிர்_முனையுடன்_இணை	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
listen	இணைப்புகளை_ஏற்கத்_தயாராகு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
accept	இணைப்பை_ஏற்றுக்கொள்	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getsockname	உள்ளக_முனையின்_முகவரியைப்_பெறு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpeername	எதிர்_முனையின்_முகவரியைப்_பெறு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
send	அனுப்பு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
recv	பெறு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sendto	இலக்கிற்கு_அனுப்பு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
recvfrom	அனுப்பிய_முகவரியுடன்_பெறு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
shutdown	தொடர்புத்_திசையை_மூடு	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
setsockopt	தொடர்பு_முனையின்_விருப்பத்தை_அமை	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
memcpy	memcpy	userspace-library	single-thread;C-locale;byte-strings;i386
memmove	memmove	userspace-library	single-thread;C-locale;byte-strings;i386
memset	memset	userspace-library	single-thread;C-locale;byte-strings;i386
memcmp	memcmp	userspace-library	single-thread;C-locale;byte-strings;i386
memchr	memchr	userspace-library	single-thread;C-locale;byte-strings;i386
strlen	strlen	userspace-library	single-thread;C-locale;byte-strings;i386
strnlen	strnlen	userspace-library	single-thread;C-locale;byte-strings;i386
strcpy	strcpy	userspace-library	single-thread;C-locale;byte-strings;i386
strncpy	strncpy	userspace-library	single-thread;C-locale;byte-strings;i386
stpcpy	stpcpy	userspace-library	single-thread;C-locale;byte-strings;i386
stpncpy	stpncpy	userspace-library	single-thread;C-locale;byte-strings;i386
strcat	strcat	userspace-library	single-thread;C-locale;byte-strings;i386
strncat	strncat	userspace-library	single-thread;C-locale;byte-strings;i386
strcmp	strcmp	userspace-library	single-thread;C-locale;byte-strings;i386
strncmp	strncmp	userspace-library	single-thread;C-locale;byte-strings;i386
strcoll	strcoll	userspace-library	single-thread;C-locale;byte-strings;i386
