compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	உள்ளீட்டு_வரியின்_கொள்ளளவு	project-proposal
MAX_ARGUMENT_COUNT	செயலுருபுகளின்_உச்ச_எண்ணிக்கை	project-proposal
MAX_SCRIPT_DEPTH	கட்டளைக்_கோப்புகளின்_உச்ச_அடுக்கு	project-proposal
argument_count	செயலுருபுகளின்_எண்ணிக்கை	project-proposal
arguments	செயலுருபுகள்	project-proposal
buffer	பரிமாற்ற_இடையகம்_2	project-proposal
bytes_read	படித்த_எண்மிகள்	project-proposal
bytes_written	எழுதிய_எண்மிகளின்_எண்ணிக்கை	project-proposal
capacity	கொள்ளளவு	project-proposal
character	எழுத்து	project-proposal
child_pid	சேய்_செயல்முறையின்_அடையாளம்	project-proposal
cleanup	தொடர்பு_முனைகளை_மூடு	project-proposal
command	கட்டளை	project-proposal
command_aliases	உள்ளூர்_கட்டளைப்_பெயர்கள்	project-proposal
command_cat	கோப்பின்_உள்ளடக்கத்தைக்_காட்டு	project-proposal
command_echo	செயலுருபுகளைக்_காட்டு	project-proposal
command_matches	கட்டளை_பொருந்துகிறது	project-proposal
command_names	அடிப்படைக்_கட்டளைகள்	project-proposal
command_pid	செயல்முறை_அடையாளங்களைக்_காட்டு	project-proposal
command_pwd	நடப்பு_அடைவைக்_காட்டு	project-proposal
command_run	நிரலை_இயக்கு	project-proposal
command_source	கட்டளைக்_கோப்பை_விளக்கு	project-proposal
command_stat	கோப்பின்_தகவலைக்_காட்டு	project-proposal
command_udp	தனிச்_செய்தியின்_மீள்வரவைச்_சோதி	project-proposal
command_uname	அமைப்பின்_அடையாளத்தைக்_காட்டு	project-proposal
current	நடப்பு_இடம்	project-proposal
digit_text	இலக்க_எழுத்துகள்	project-proposal
file_descriptor	கோப்பு_விவரிப்பி_2	project-proposal
file_name	கோப்பின்_பெயர்	project-proposal
input	உள்ளீடு	project-proposal
input_descriptor	உள்ளீட்டு_விவரிப்பி	project-proposal
input_line	உள்ளீட்டு_வரி	project-proposal
input_stream	உள்ளீட்டு_ஓடை	project-proposal
left	இடது	project-proposal
length	நீளம்	project-proposal
message	செய்தி	project-proposal
message_length	செய்தியின்_எண்மி_நீளம்	project-proposal
name	அமைப்பின்_அடையாளம்	project-proposal
number	குறியற்ற_அளவு	project-proposal
operation	செயல்	project-proposal
output	வெளியீட்டு_இடம்	project-proposal
overflow	செல்லாத_உள்ளீட்டு_வரி	project-proposal
path	பாதை	project-proposal
position	இடம்	project-proposal
print_help	உதவியைக்_காட்டு	project-proposal
quote	மேற்கோள்_குறி	project-proposal
read_line	உள்ளீட்டு_வரியைப்_படி	project-proposal
receive_address	பெறுநரின்_முகவரி	project-proposal
receive_socket	பெறும்_தொடர்பு_முனை	project-proposal
received_data	பெற்ற_தரவு	project-proposal
received_length	பெற்ற_எண்மிகளின்_எண்ணிக்கை	project-proposal
right	வலது	project-proposal
run_input	உள்ளீட்டை_விளக்கு	project-proposal
script_depth	கட்டளைக்_கோப்புகளின்_அடுக்கு_ஆழம்	project-proposal
send_socket	அனுப்பும்_தொடர்பு_முனை	project-proposal
size	இலக்கங்களின்_எண்ணிக்கை	project-proposal
source_address	அனுப்புநரின்_முகவரி	project-proposal
source_address_length	அனுப்புநரின்_முகவரி_நீளம்	project-proposal
split_arguments	செயலுருபுகளைப்_பிரி	project-proposal
status	நிலை	project-proposal
text	உரை	project-proposal
text_equal	உரைகள்_சமம்	project-proposal
text_length	உரையின்_எண்மி_நீளம்	project-proposal
value	மதிப்பு	project-proposal
wait_status	சேய்_செயல்முறையின்_முடிவு_நிலை	project-proposal
write_error	பிழையை_அறிவி	project-proposal
write_integer	முழு_எண்ணை_எழுது	project-proposal
write_text	உரையை_எழுது	project-proposal
