standard_identifier	native_identifier	category	status
AF_INET	そうごせつぞくもうばんちけいとう	network-declaration	project-proposal
AF_UNSPEC	ばんちけいとうみしてい	network-declaration	project-proposal
CHAR_BIT	はちけたぐみのにしんけたすう	integer-limit	project-proposal
CHAR_MAX	もじせいすうさいだいち	integer-limit	project-proposal
CHAR_MIN	もじせいすうさいしょうち	integer-limit	project-proposal
CHECK	じょうけんかくにん	variable	project-proposal
E2BIG	あやまりひきすういちらんかだい	error-code	project-proposal
EACCES	あやまりりようけんげんなし	error-code	project-proposal
EADDRINUSE	あやまりばんちしようちゅう	error-code	project-proposal
EAFNOSUPPORT	あやまりばんちけいとうひたいおう	error-code	project-proposal
EAGAIN	あやまりいちじりようふか	error-code	project-proposal
EBADF	あやまりきじゅつばんごうふせい	error-code	project-proposal
EBUSY	あやまりしげんしようちゅう	error-code	project-proposal
ECHILD	あやまりこじっこうかていなし	error-code	project-proposal
EEXIST	あやまりぶんしょきそん	error-code	project-proposal
EFAULT	あやまりきおくばんちふせい	error-code	project-proposal
EFBIG	あやまりぶんしょかだい	error-code	project-proposal
EINTR	あやまりそうさちゅうだん	error-code	project-proposal
EINVAL	あやまりひきすうふせい	error-code	project-proposal
EIO	あやまりにゅうしゅつりょくしっぱい	error-code	project-proposal
EISDIR	あやまりもくろくである	error-code	project-proposal
EMFILE	あやまりかていぶんしょすうじょうげん	error-code	project-proposal
EMSGSIZE	あやまりでんぶんかだい	error-code	project-proposal
ENETUNREACH	あやまりつうしんもうとうたつふか	error-code	project-proposal
ENFILE	あやまりたいけいぶんしょすうじょうげん	error-code	project-proposal
ENODEV	あやまりそうちなし	error-code	project-proposal
ENOENT	あやまりぶんしょまたはもくろくなし	error-code	project-proposal
ENOEXEC	あやまりじっこうけいしきふせい	error-code	project-proposal
ENOMEM	あやまりきおくぶそく	error-code	project-proposal
ENOSPC	あやまりほぞんりょういきぶそく	error-code	project-proposal
ENOSYS	あやまりきのうみじっそう	error-code	project-proposal
ENOTCONN	あやまりたんてんみせつぞく	error-code	project-proposal
ENOTDIR	あやまりもくろくでない	error-code	project-proposal
ENOTTY	あやまりそうちふてきごうそうさ	error-code	project-proposal
EOPNOTSUPP	あやまりそうさひたいおう	error-code	project-proposal
EPERM	あやまりそうさふきょか	error-code	project-proposal
EPROTONOSUPPORT	あやまりきやくひたいおう	error-code	project-proposal
ERANGE	あやまりちはんいがい	error-code	project-proposal
EROFS	あやまりよみとりせんようぶんしょたいけい	error-code	project-proposal
ESPIPE	あやまりながれいちいどうふか	error-code	project-proposal
ESRCH	あやまりじっこうかていなし	error-code	project-proposal
