standard_identifier	native_identifier	category	current_role	status
in_addr_t	そうごせつぞくもうばんちちがた	network-declaration	internetwork_address_value_type	project-proposal
in_port_t	つうしんまどぐちばんごうがた	network-declaration	transport_port_number_type	project-proposal
in_addr	そうごせつぞくもうばんち	network-declaration	internetwork_address	project-proposal
sockaddr_in	そうごせつぞくもうたんてんばんち	network-declaration	internetwork_endpoint_address	project-proposal
s_addr	ばんちち	network-declaration	address_value	project-proposal
sin_family	せつぞくもうばんちけいとう	network-declaration	internetwork_address_family	project-proposal
sin_port	つうしんまどぐちばんごう	network-declaration	transport_port_number	project-proposal
sin_addr	せつぞくもうばんちないよう	network-declaration	internetwork_address_field	project-proposal
sin_zero	ばんちのうめあわせ	network-declaration	address_padding	project-proposal
sa_family_t	ばんちけいとうがた	network-declaration	address_family_type	project-proposal
sockaddr	つうしんたんてんばんち	network-declaration	endpoint_address	project-proposal
sa_family	たんてんばんちけいとう	network-declaration	endpoint_address_family	project-proposal
sa_data	ばんちしりょう	network-declaration	address_payload	project-proposal
socklen_t	ばんちちょうがた	network-declaration	address_length_type	project-proposal
AF_UNSPEC	ばんちけいとうみしてい	network-declaration	unspecified_address_family	project-proposal
AF_INET	そうごせつぞくもうばんちけいとう	network-declaration	internetwork_address_family_code	project-proposal
PF_INET	そうごせつぞくもうきやくけいとう	network-declaration	internetwork_protocol_family	project-proposal
SOCK_STREAM	しりょうりゅうたんてん	network-declaration	stream_endpoint	project-proposal
SOCK_DGRAM	しりょうでんぶんたんてん	network-declaration	datagram_endpoint	project-proposal
SHUT_RD	じゅしんていし	network-declaration	stop_receiving	project-proposal
SHUT_WR	そうしんていし	network-declaration	stop_sending	project-proposal
SHUT_RDWR	そうほうこうていし	network-declaration	stop_both_directions	project-proposal
IPPROTO_IP	そうごせつぞくもうきほんきやく	network-declaration	default_internetwork_protocol	project-proposal
IPPROTO_UDP	りようしゃしりょうでんぶんきやく	network-declaration	user_datagram_protocol	project-proposal
INADDR_ANY	すべてのきょくしょばんち	network-declaration	any_local_address	project-proposal
INADDR_LOOPBACK	じこおりかえしばんち	network-declaration	loopback_address	project-proposal
hostlong	きかいじゅん32にしんけたち	network-declaration	host_order_32_bit_value	project-proposal
hostshort	きかいじゅん16にしんけたち	network-declaration	host_order_16_bit_value	project-proposal
netlong	つうしんもうじゅん32にしんけたち	network-declaration	network_order_32_bit_value	project-proposal
netshort	つうしんもうじゅん16にしんけたち	network-declaration	network_order_16_bit_value	project-proposal
size_t	おおきさがた	scalar-type	object_size_type	project-proposal
ssize_t	ふごうつきおおきさがた	scalar-type	signed_size_type	project-proposal
ptrdiff_t	ばんちさがた	scalar-type	pointer_difference_type	project-proposal
off_t	ぶんしょいちがた	scalar-type	file_offset_type	project-proposal
pid_t	じっこうかていばんごうがた	scalar-type	process_identifier_type	project-proposal
uid_t	りようしゃばんごうがた	scalar-type	user_identifier_type	project-proposal
gid_t	しょぞくくみばんごうがた	scalar-type	group_identifier_type	project-proposal
mode_t	ぶんしょほうしきがた	scalar-type	file_mode_type	project-proposal
dev_t	そうちばんごうがた	scalar-type	device_identifier_type	project-proposal
ino_t	ぶんしょこゆうばんごうがた	scalar-type	file_serial_number_type	project-proposal
nlink_t	ちょくせつれんけつすうがた	scalar-type	hard_link_count_type	project-proposal
time_t	じこくちがた	scalar-type	time_value_type	project-proposal
blksize_t	くかくちょうがた	scalar-type	block_size_type	project-proposal
blkcnt_t	くかくすうがた	scalar-type	block_count_type	project-proposal
int8_t	ふごうつき8にしんけたせいすう	scalar-type	signed_8_bit_integer	project-proposal
uint8_t	ふごうなし8にしんけたせいすう	scalar-type	unsigned_8_bit_integer	project-proposal
int16_t	ふごうつき16にしんけたせいすう	scalar-type	signed_16_bit_integer	project-proposal
uint16_t	ふごうなし16にしんけたせいすう	scalar-type	unsigned_16_bit_integer	project-proposal
int32_t	ふごうつき32にしんけたせいすう	scalar-type	signed_32_bit_integer	project-proposal
uint32_t	ふごうなし32にしんけたせいすう	scalar-type	unsigned_32_bit_integer	project-proposal
int64_t	ふごうつき64にしんけたせいすう	scalar-type	signed_64_bit_integer	project-proposal
uint64_t	ふごうなし64にしんけたせいすう	scalar-type	unsigned_64_bit_integer	project-proposal
intptr_t	ばんちはばふごうつきせいすう	scalar-type	pointer_sized_signed_integer	project-proposal
uintptr_t	ばんちはばふごうなしせいすう	scalar-type	pointer_sized_unsigned_integer	project-proposal
st_dev	しょぞくそうちばんごう	structure-field	containing_device	project-proposal
st_ino	ぶんしょこゆうばんごう	structure-field	file_serial_number	project-proposal
st_mode	ぶんしょしゅるいとけんげん	structure-field	file_kind_and_permissions	project-proposal
st_nlink	ちょくせつれんけつすう	structure-field	hard_link_count	project-proposal
st_uid	しょゆうりようしゃばんごう	structure-field	owner_user_identifier	project-proposal
st_gid	しょゆうくみばんごう	structure-field	owner_group_identifier	project-proposal
st_rdev	あらわすそうちばんごう	structure-field	represented_device	project-proposal
st_size	ぶんしょのおおきさ	structure-field	file_size	project-proposal
st_blksize	すいしょうにゅうしゅつりょくくかくちょう	structure-field	preferred_io_block_size	project-proposal
st_blocks	わりあてくかくすう	structure-field	allocated_block_count	project-proposal
st_atime	さいしゅうさんしょうじこく	structure-field	last_access_time	project-proposal
st_atimensec	さいしゅうさんしょうじゅうおくぶんびょう	structure-field	last_access_nanoseconds	project-proposal
st_mtime	さいしゅうないようへんこうじこく	structure-field	last_content_change_time	project-proposal
st_mtimensec	さいしゅうないようへんこうじゅうおくぶんびょう	structure-field	last_content_change_nanoseconds	project-proposal
st_ctime	さいしゅうじょうたいへんこうじこく	structure-field	last_status_change_time	project-proposal
st_ctimensec	さいしゅうじょうたいへんこうじゅうおくぶんびょう	structure-field	last_status_change_nanoseconds	project-proposal
utsname	たいけいじょうほう	structure-field	system_identity	project-proposal
sysname	たいけいめい	structure-field	system_name	project-proposal
nodename	きかいめい	structure-field	node_name	project-proposal
release	たいけいはいふばん	structure-field	system_release	project-proposal
version	たいけいかいていばん	structure-field	system_version	project-proposal
machine	きかいしゅるい	structure-field	machine_kind	project-proposal
NULL	からばんち	interface-constant	null_pointer	project-proposal
