original	native
src/amd_am79c973/amd_am79c973.go	src/amdam79c973/amdam79c973.go
src/arp/arp.go	src/arp/arp.go
src/common/memoperations.go	src/きょうつう/めもりそうさ.go
src/common/type.go	src/きょうつう/かた.go
src/console/console.go	src/こんそーる/こんそーる.go
src/console/console.s	src/こんそーる/こんそーる.s
src/drivers/ata/ata.go	src/どらいばー/ata/ata.go
src/drivers/driver/driver.go	src/どらいばー/どらいばー/どらいばー.go
src/drivers/keyboard/keyboard.go	src/どらいばー/きーぼーど/きーぼーど.go
src/drivers/mouse/mouse.go	src/どらいばー/いちにゅうりょくそうち/いちにゅうりょくそうち.go
src/drivers/timer/timer.go	src/どらいばー/たいまー/たいまー.go
src/etherframe/etherframe.go	src/きょうゆうばいたいもうでんそうわく/きょうゆうばいたいもうでんそうわく.go
src/filesystem/elf/elf.go	src/ふぁいるしすてむ/じっこうれんけつけいしき/じっこうれんけつけいしき.go
src/filesystem/elf/elfheader.go	src/ふぁいるしすてむ/じっこうれんけつけいしき/elfへっだ.go
src/filesystem/elf/elfsection.go	src/ふぁいるしすてむ/じっこうれんけつけいしき/elfくかく.go
src/filesystem/elf/linkmap.go	src/ふぁいるしすてむ/じっこうれんけつけいしき/れんけつたいおうひょう.go
src/filesystem/fat/fat.go	src/ふぁいるしすてむ/fat/fat.go
src/filesystem/msdospart/msdospart.go	src/ふぁいるしすてむ/msdosくぶん/msdosくぶん.go
src/gate/gate.go	src/げーと/げーと.go
src/gate/gate.s	src/げーと/げーと.s
src/gate/gate_amd64.go	src/げーと/げーとamd64.go
src/gate/gate_amd64.s	src/げーと/げーとamd64.s
src/gdt/gdt.go	src/gdt/gdt.go
src/gdt/gdt.s	src/gdt/gdt.s
src/icmp/icmp.go	src/そうごせつぞくあみせいぎょでんぶんきやく/そうごせつぞくあみせいぎょでんぶんきやく.go
src/interrupt/interrupt.go	src/わりこみ/わりこみ.go
src/interrupt/interrupt.s	src/わりこみ/わりこみ.s
src/ipv4/ipv4.go	src/そうごせつぞくあみきやく4/そうごせつぞくあみきやく4.go
src/memorymanager/memorymanager.go	src/めもりかんりしゃ/めもりかんりしゃ.go
src/multitasking/multi.s	src/ふくすうたすくかんり/ふくすう.s
src/multitasking/multitasking.go	src/ふくすうたすくかんり/ふくすうたすくかんり.go
src/paging/paging.go	src/ぺーじかんり/ぺーじかんり.go
src/paging/paging.s	src/ぺーじかんり/ぺーじかんり.s
src/pci/pci.go	src/pci/pci.go
src/phymem/phymem.go	src/ぶつりめもり/ぶつりめもり.go
src/port/port.go	src/ぽーと/ぽーと.go
src/port/port.s	src/ぽーと/ぽーと.s
src/systemcall/systemcall.go	src/しすてむよびだし/しすてむよびだし.go
src/systemcall/systemcall.s	src/しすてむよびだし/しすてむよびだし.s
src/tasking/process/process.go	src/たすくかんり/ぷろせす/ぷろせす.go
src/tasking/scheduler/scheduler.go	src/たすくかんり/すけじゅーら/すけじゅーら.go
src/tasking/scheduler/scheduler.s	src/たすくかんり/すけじゅーら/すけじゅーら.s
src/tasking/thread/thread.go	src/たすくかんり/すれっど/すれっど.go
src/tasking/tss/tss.go	src/たすくかんり/tss/tss.go
src/tasking/tss/tss.s	src/たすくかんり/tss/tss.s
src/text_mode/text_mode.go	src/てきすともーど/てきすともーど.go
src/udp/udp.go	src/りようしゃしりょうでんぶんきやく/りようしゃしりょうでんぶんきやく.go
src/util/array/array.go	src/はんよう/はいれつ/はいれつ.go
src/util/list/list.go	src/はんよう/いちらん/いちらん.go
src/util/util.go	src/はんよう/はんよう.go
src/vga/vga.go	src/vga/vga.go
src/virtmem/virtmem.go	src/かそうめもり/かそうめもり.go
src/widget/widget.go	src/がめんようそ/がめんようそ.go
main.go	しゅよう.go
main.s	しゅよう.s
asm/constants.inc	きかいきどう/ていすう.inc
