function	native_identifier	implementation	limits
_exit	直ちに終了する	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
read	読む	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
write	書く	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
close	閉じる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lseek	読み書き位置を移す	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fork	実行過程を分岐する	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
execve	実行内容を置き換える	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpid	実行過程番号を得る	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getppid	親実行過程番号を得る	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getuid	利用者番号を得る	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
geteuid	実効利用者番号を得る	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getgid	所属組番号を得る	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getegid	実効所属組番号を得る	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
access	利用権限を調べる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
chdir	作業目録を変える	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getcwd	作業目録の経路を得る	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup	開いた文書の参照を複製する	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup2	指定番号に文書参照を複製する	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fsync	文書の記録を同期する	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sync	全ての記録を同期する	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
isatty	端末か調べる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
brk	動的記憶の終端を定める	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sbrk	動的記憶の終端を移す	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
waitpid	指定した子を待つ	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
wait	子を待つ	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
open	開く	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
creat	文書を作る	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
