original	compiler	native	status
Activate	A有効にする	A有効にする	existing-unreviewed
ActivateAll	A有効にするすべて	A有効にするすべて	existing-unreviewed
Active	A有効	A有効	existing-unreviewed
ActiveInterruptManager	A有効割込み管理者	A有効割込み管理者	existing-unreviewed
ActiveMemoryManager	A有効メモリ管理者	A有効メモリ管理者	existing-unreviewed
Add	A追加	A追加	existing-unreviewed
AddDriver	A追加ドライバー	A追加ドライバー	existing-unreviewed
AddRunnableThread	A追加runnableスレッド	A追加runnableスレッド	existing-unreviewed
AddTask	A追加タスク	A追加タスク	existing-unreviewed
AddThread	A追加スレッド	A追加スレッド	existing-unreviewed
Address	Address	Address	existing-unreviewed
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed
AllocateBlock	Allocateブロック	Allocateブロック	existing-unreviewed
AllocatePID	Allocatepid	Allocatepid	existing-unreviewed
AmountOfMemory	A株数ofメモリ	A株数ofメモリ	existing-unreviewed
ArrayToUint16	A配列tounsignedinteger16	A配列tounsignedinteger16	existing-unreviewed
ArrayToUint32	A配列tounsignedinteger32	A配列tounsignedinteger32	existing-unreviewed
ArrayToUint48	A配列tounsignedinteger48	A配列tounsignedinteger48	existing-unreviewed
ArrayToUint48_BE	A配列tounsignedinteger48be	A配列tounsignedinteger48be	existing-unreviewed
ArrayToUint64	A配列tounsignedinteger64	A配列tounsignedinteger64	existing-unreviewed
Atime	Atime	Atime	existing-unreviewed
AtimeNsec	Atimensec	Atimensec	existing-unreviewed
BLOCKS_PER_BYTE	Bブロックperバイト	Bブロックperバイト	existing-unreviewed
BLOCK_SIZE	Bブロックサイズ	Bブロックサイズ	existing-unreviewed
Backend	Backend	Backend	existing-unreviewed
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed
Bind	Bバインド	Bバインド	existing-unreviewed
Blksize	Blksize	Blksize	existing-unreviewed
Blocked	Blocked	Blocked	existing-unreviewed
BlockedState	Blocked状態	Blocked状態	existing-unreviewed
Blocks	Bブロック	Bブロック	existing-unreviewed
BoundRangeExceeded	Boundrangeexceeded	Boundrangeexceeded	existing-unreviewed
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed
BytesPerSector	Bバイトpersector	Bバイトpersector	existing-unreviewed
BytesToString	Bバイトto文字列	Bバイトto文字列	existing-unreviewed
Checksum	Checksum	Checksum	existing-unreviewed
Clear	Cクリア	Cクリア	existing-unreviewed
Clone	Clone	Clone	existing-unreviewed
CloneAddressSpaceCOW	Cloneaddressスペースcow	Cloneaddressスペースcow	existing-unreviewed
Connect	C接続	C接続	existing-unreviewed
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed
CopyPageFrameBlock	C複製ページフレームブロック	C複製ページフレームブロック	existing-unreviewed
CpuState	Cpu状態	Cpu状態	existing-unreviewed
Create	C作成	C作成	existing-unreviewed
CreateFromData	C作成からデータ	C作成からデータ	existing-unreviewed
CreateFromFunction	C作成から関数	C作成から関数	existing-unreviewed
CreatePtrFromFunction	C作成ポインタから関数	C作成ポインタから関数	existing-unreviewed
Cs	Cs	Cs	existing-unreviewed
Ctime	Ctime	Ctime	existing-unreviewed
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed
CurrentPID	C現在の日時pid	C現在の日時pid	existing-unreviewed
CurrentParentPID	C現在の日時parentpid	C現在の日時parentpid	existing-unreviewed
Data	Data	Data	compatibility
Deactivate	D無効にする	D無効にする	existing-unreviewed
Deactive	Deactive	Deactive	existing-unreviewed
Decrement	Decrement	Decrement	existing-unreviewed
Delete	D削除	D削除	existing-unreviewed
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed
DescriptorType	Descriptor型	Descriptor型	existing-unreviewed
Destroy	D破棄	D破棄	existing-unreviewed
Dev	Dデバイス	Dデバイス	existing-unreviewed
DeviceHasFunctions	Dデバイスhas関数	Dデバイスhas関数	existing-unreviewed
DeviceNotAvailable	Dデバイスインストールされていません使用可能	Dデバイスインストールされていません使用可能	existing-unreviewed
Device_id	Dデバイスid	Dデバイスid	existing-unreviewed
DisableInt	D不可int	D不可int	existing-unreviewed
Disconnect	D切断する	D切断する	existing-unreviewed
DivideByZero	D除算by数値の0	D除算by数値の0	existing-unreviewed
DoHandleInterrupt	Do取っ手割込み	Do取っ手割込み	existing-unreviewed
DoubleFault	D二重線障害	D二重線障害	existing-unreviewed
Draw	Draw	Draw	existing-unreviewed
DriverManager	Dドライバー管理者	Dドライバー管理者	existing-unreviewed
Ds	Ds	Ds	existing-unreviewed
Dynamic	D動的に	D動的に	existing-unreviewed
E2BIG	E2big	E2big	existing-unreviewed
EACCES	Eacces	Eacces	existing-unreviewed
EADDRINUSE	Eaddrinuse	Eaddrinuse	existing-unreviewed
EAFNOSUPPORT	Eafnosupport	Eafnosupport	existing-unreviewed
EAGAIN	Eagain	Eagain	existing-unreviewed
EBADF	Ebadf	Ebadf	existing-unreviewed
EBUSY	Ebusy	Ebusy	existing-unreviewed
ECHILD	Echild	Echild	existing-unreviewed
EEXIST	Eexist	Eexist	existing-unreviewed
EFAULT	Efault	Efault	existing-unreviewed
EFBIG	Efbig	Efbig	existing-unreviewed
EINTR	Eintr	Eintr	existing-unreviewed
EINVAL	Einval	Einval	existing-unreviewed
EIO	Eio	Eio	existing-unreviewed
EISDIR	Eisdir	Eisdir	existing-unreviewed
EMFILE	Emfile	Emfile	existing-unreviewed
EMSGSIZE	Emsgsize	Emsgsize	existing-unreviewed
ENETUNREACH	Enetunreach	Enetunreach	existing-unreviewed
ENFILE	Enfile	Enfile	existing-unreviewed
ENODEV	Enodev	Enodev	existing-unreviewed
ENOENT	Enoent	Enoent	existing-unreviewed
ENOEXEC	Enoexec	Enoexec	existing-unreviewed
ENOMEM	Enomem	Enomem	existing-unreviewed
ENOSPC	Enospc	Enospc	existing-unreviewed
ENOSYS	Enosys	Enosys	existing-unreviewed
ENOTCONN	Enotconn	Enotconn	existing-unreviewed
ENOTDIR	Enotdir	Enotdir	existing-unreviewed
ENOTTY	Enotty	Enotty	existing-unreviewed
EOPNOTSUPP	Eopnotsupp	Eopnotsupp	existing-unreviewed
EPERM	Eperm	Eperm	existing-unreviewed
EPROTONOSUPPORT	Eprotonosupport	Eprotonosupport	existing-unreviewed
ERANGE	Erange	Erange	existing-unreviewed
EROFS	Erofs	Erofs	existing-unreviewed
ESPIPE	Espipe	Espipe	existing-unreviewed
ESRCH	Esrch	Esrch	existing-unreviewed
Eax	Eax	Eax	existing-unreviewed
Ebp	Ebp	Ebp	existing-unreviewed
Ebx	Ebx	Ebx	existing-unreviewed
Ecx	Ecx	Ecx	existing-unreviewed
Edi	Edi	Edi	existing-unreviewed
Edx	Edx	Edx	existing-unreviewed
Eflags	Eflags	Eflags	existing-unreviewed
Eip	Eip	Eip	existing-unreviewed
Elf	Elf	Elf	existing-unreviewed
Elf32Dyn	Elf32dyn	Elf32dyn	existing-unreviewed
Elf32Note	Elf32備考	Elf32備考	existing-unreviewed
Elf32Rel	Elf32rel	Elf32rel	existing-unreviewed
Elf32Rela	Elf32rela	Elf32rela	existing-unreviewed
Elf32Sym	Elf32sym	Elf32sym	existing-unreviewed
ElfHeader	Elfヘッダ	Elfヘッダ	existing-unreviewed
ElfProgramHeader	Elfプログラムヘッダ	Elfプログラムヘッダ	existing-unreviewed
ElfSectionHeader	Elf区画ヘッダ	Elf区画ヘッダ	existing-unreviewed
EnablePaging	Enableページ管理	Enableページ管理	existing-unreviewed
Enabled	E有効	E有効	existing-unreviewed
EntryNumber	Entrynumber	Entrynumber	existing-unreviewed
EqualBytes	Eすべて同じバイト	Eすべて同じバイト	existing-unreviewed
Es	Es	Es	existing-unreviewed
