original	native
src/amd_am79c973/amd_am79c973.go	src/amdam79c973/amdam79c973.go
src/arp/arp.go	src/arp/arp.go
src/common/memoperations.go	src/共通/メモリ操作.go
src/common/type.go	src/共通/型.go
src/console/console.go	src/コンソール/コンソール.go
src/console/console.s	src/コンソール/コンソール.s
src/drivers/ata/ata.go	src/ドライバー/ata/ata.go
src/drivers/driver/driver.go	src/ドライバー/ドライバー/ドライバー.go
src/drivers/keyboard/keyboard.go	src/ドライバー/キーボード/キーボード.go
src/drivers/mouse/mouse.go	src/ドライバー/位置入力装置/位置入力装置.go
src/drivers/timer/timer.go	src/ドライバー/タイマー/タイマー.go
src/etherframe/etherframe.go	src/共有媒体網伝送枠/共有媒体網伝送枠.go
src/filesystem/elf/elf.go	src/ファイルシステム/実行連結形式/実行連結形式.go
src/filesystem/elf/elfheader.go	src/ファイルシステム/実行連結形式/elfヘッダ.go
src/filesystem/elf/elfsection.go	src/ファイルシステム/実行連結形式/elf区画.go
src/filesystem/elf/linkmap.go	src/ファイルシステム/実行連結形式/連結対応表.go
src/filesystem/fat/fat.go	src/ファイルシステム/fat/fat.go
src/filesystem/msdospart/msdospart.go	src/ファイルシステム/msdos区分/msdos区分.go
src/gate/gate.go	src/ゲート/ゲート.go
src/gate/gate.s	src/ゲート/ゲート.s
src/gate/gate_amd64.go	src/ゲート/ゲートamd64.go
src/gate/gate_amd64.s	src/ゲート/ゲートamd64.s
src/gdt/gdt.go	src/gdt/gdt.go
src/gdt/gdt.s	src/gdt/gdt.s
src/icmp/icmp.go	src/相互接続網制御電文規約/相互接続網制御電文規約.go
src/interrupt/interrupt.go	src/割込み/割込み.go
src/interrupt/interrupt.s	src/割込み/割込み.s
src/ipv4/ipv4.go	src/相互接続網規約4/相互接続網規約4.go
src/memorymanager/memorymanager.go	src/メモリ管理者/メモリ管理者.go
src/multitasking/multi.s	src/複数タスク管理/複数.s
src/multitasking/multitasking.go	src/複数タスク管理/複数タスク管理.go
src/paging/paging.go	src/ページ管理/ページ管理.go
src/paging/paging.s	src/ページ管理/ページ管理.s
src/pci/pci.go	src/pci/pci.go
src/phymem/phymem.go	src/物理メモリ/物理メモリ.go
src/port/port.go	src/ポート/ポート.go
src/port/port.s	src/ポート/ポート.s
src/systemcall/systemcall.go	src/システム呼出し/システム呼出し.go
src/systemcall/systemcall.s	src/システム呼出し/システム呼出し.s
src/tasking/process/process.go	src/タスク管理/プロセス/プロセス.go
src/tasking/scheduler/scheduler.go	src/タスク管理/スケジューラ/スケジューラ.go
src/tasking/scheduler/scheduler.s	src/タスク管理/スケジューラ/スケジューラ.s
src/tasking/thread/thread.go	src/タスク管理/スレッド/スレッド.go
src/tasking/tss/tss.go	src/タスク管理/tss/tss.go
src/tasking/tss/tss.s	src/タスク管理/tss/tss.s
src/text_mode/text_mode.go	src/テキストモード/テキストモード.go
src/udp/udp.go	src/利用者資料電文規約/利用者資料電文規約.go
src/util/array/array.go	src/汎用/配列/配列.go
src/util/list/list.go	src/汎用/一覧/一覧.go
src/util/util.go	src/汎用/汎用.go
src/vga/vga.go	src/vga/vga.go
src/virtmem/virtmem.go	src/仮想メモリ/仮想メモリ.go
src/widget/widget.go	src/画面要素/画面要素.go
main.go	主要.go
main.s	主要.s
asm/constants.inc	機械起動/定数.inc
asm/gdt.inc	機械起動/gdt.inc
asm/go_asm_offsets.inc	機械起動/goasmoffset.inc
asm/multiboot_header.s	機械起動/multibootヘッダ.s
asm/rt0.s	機械起動/rt0.s
go.sh	中核翻訳.sh
linker.ld	連結配置.ld
tools/decode-virtualbox-log.sh	補助道具/直列記録解析.sh
tools/offsets.go	補助道具/構造変位.go
userland/posix/Makefile	利用者領域/posix/Makefile
userland/posix/TEST_RESULTS.md	利用者領域/posix/TEST_RESULTS.md
