compiler_identifier	native_identifier
AF_INET	相互接続網番地系統
AF_UNSPEC	番地系統未指定
CHAR_BIT	八桁組の二進桁数
CHAR_MAX	文字整数最大値
CHAR_MIN	文字整数最小値
CHECK	条件確認
E2BIG	誤り引数一覧過大
EACCES	誤り利用権限なし
EADDRINUSE	誤り番地使用中
EAFNOSUPPORT	誤り番地系統非対応
EAGAIN	誤り一時利用不可
EBADF	誤り記述番号不正
EBUSY	誤り資源使用中
ECHILD	誤り子実行過程なし
EEXIST	誤り文書既存
EFAULT	誤り記憶番地不正
EFBIG	誤り文書過大
EINTR	誤り操作中断
EINVAL	誤り引数不正
EIO	誤り入出力失敗
EISDIR	誤り目録である
EMFILE	誤り過程文書数上限
EMSGSIZE	誤り電文過大
ENETUNREACH	誤り通信網到達不可
ENFILE	誤り体系文書数上限
ENODEV	誤り装置なし
ENOENT	誤り文書又は目録なし
ENOEXEC	誤り実行形式不正
ENOMEM	誤り記憶不足
ENOSPC	誤り保存領域不足
ENOSYS	誤り機能未実装
ENOTCONN	誤り端点未接続
ENOTDIR	誤り目録でない
ENOTTY	誤り装置不適合操作
EOPNOTSUPP	誤り操作非対応
EPERM	誤り操作不許可
EPROTONOSUPPORT	誤り規約非対応
ERANGE	誤り値範囲外
EROFS	誤り読取専用文書体系
ESPIPE	誤り流れ位置移動不可
ESRCH	誤り実行過程なし
EXIT_FAILURE	失敗終了
EXIT_SUCCESS	成功終了
FD_CLOEXEC	実行内容置換時に閉じる
F_DUPFD	記述番号複製
F_GETFD	記述番号標識取得
F_GETFL	文書状態標識取得
F_OK	存在確認
F_SETFD	記述番号標識設定
F_SETFL	文書状態標識設定
INADDR_ANY	全ての局所番地
INADDR_LOOPBACK	自己折返し番地
INT_MAX	整数最大値
INT_MIN	整数最小値
IPPROTO_IP	相互接続網基本規約
IPPROTO_UDP	利用者資料電文規約
LLONG_MAX	長長整数最大値
LLONG_MIN	長長整数最小値
LONG_MAX	長整数最大値
LONG_MIN	長整数最小値
NULL	空番地
O_ACCMODE	利用方式抽出値
O_APPEND	末尾へ追加する
O_CREAT	無ければ作る
O_DIRECTORY	目録のみ許す
O_EXCL	新規文書のみ許す
O_RDONLY	読取専用で開く
O_RDWR	読書両用で開く
O_TRUNC	既存内容を空にする
O_WRONLY	書込専用で開く
PF_INET	相互接続網規約系統
R_OK	読取権限確認
SC0	引数なし体系呼出し
SC1	引数一つ体系呼出し
SC2	引数二つ体系呼出し
SC3	引数三つ体系呼出し
SCHAR_MAX	符号付き文字整数最大値
SCHAR_MIN	符号付き文字整数最小値
SC_accept	通信端点_接続要求を受け入れる
SC_bind	通信端点_局所番地を結ぶ
SC_connect	通信端点_相手端点につなぐ
SC_getpeername	通信端点_相手端点の番地を得る
SC_getsockname	通信端点_局所端点の番地を得る
SC_listen	通信端点_接続要求に備える
SC_recv	通信端点_受け取る
SC_recvfrom	通信端点_送信元と共に受け取る
SC_send	通信端点_送る
SC_sendto	通信端点_宛先に送る
SC_setsockopt	通信端点_通信端点を設定する
SC_shutdown	通信端点_通信方向を閉じる
SC_socket	通信端点_通信端点を作る
SEEK_CUR	現在基準位置
SEEK_END	末尾基準位置
SEEK_SET	先頭基準位置
SHRT_MAX	短整数最大値
SHRT_MIN	短整数最小値
SHUT_RD	受信停止
SHUT_RDWR	双方向停止
SHUT_WR	送信停止
SOCK_DGRAM	資料電文端点
SOCK_STREAM	資料流端点
STDERR_FILENO	標準誤り出力番号
STDIN_FILENO	標準入力番号
STDOUT_FILENO	標準出力番号
SYS_access	体系呼出_利用権限を調べる
SYS_brk	体系呼出_動的記憶の終端を定める
SYS_chdir	体系呼出_作業目録を変える
SYS_close	体系呼出_閉じる
SYS_creat	体系呼出_文書を作る
SYS_dup	体系呼出_開いた文書の参照を複製する
SYS_dup2	体系呼出_指定番号に文書参照を複製する
SYS_execve	体系呼出_実行内容を置き換える
SYS_exit	体系呼出_直ちに終了する
SYS_fcntl	体系呼出_文書を制御する
SYS_fork	体系呼出_実行過程を分岐する
SYS_fstat	体系呼出_開いた文書の状態を得る
SYS_fsync	体系呼出_文書の記録を同期する
SYS_getcwd	体系呼出_作業目録の経路を得る
SYS_getegid	体系呼出_実効所属組番号を得る
SYS_geteuid	体系呼出_実効利用者番号を得る
SYS_getgid	体系呼出_所属組番号を得る
SYS_getpid	体系呼出_実行過程番号を得る
SYS_getppid	体系呼出_親実行過程番号を得る
SYS_getuid	体系呼出_利用者番号を得る
SYS_lseek	体系呼出_読み書き位置を移す
SYS_lstat	体系呼出_連結自体の状態を得る
SYS_open	体系呼出_開く
SYS_read	体系呼出_読む
SYS_socketcall	通信端点体系呼出番号
SYS_stat	体系呼出_文書状態
SYS_sync	体系呼出_全ての記録を同期する
SYS_uname	体系呼出_体系情報を得る
SYS_write	体系呼出_書く
S_IFCHR	文字装置種類
S_IFDIR	目録種類
S_IFMT	文書種類抽出値
S_IFREG	通常文書種類
S_IRGRP	所属組読取権限
S_IROTH	他者読取権限
S_IRUSR	所有者読取権限
S_ISCHR	文字装置方式判定
S_ISDIR	目録方式判定
S_ISREG	通常文書方式判定
S_IWGRP	所属組書込権限
S_IWOTH	他者書込権限
S_IWUSR	所有者書込権限
S_IXGRP	所属組実行権限
S_IXOTH	他者実行権限
S_IXUSR	所有者実行権限
UCHAR_MAX	符号なし文字整数最大値
UINT_MAX	符号なし整数最大値
ULLONG_MAX	符号なし長長整数最大値
ULONG_MAX	符号なし長整数最大値
USHRT_MAX	符号なし短整数最大値
WEXITSTATUS	終了値取出し
WIFEXITED	正常終了判定
WNOHANG	未準備なら待たない
W_OK	書込権限確認
X_OK	実行権限確認
_LIBC_ARPA_INET_H	_宣言_通信番地_八桁組順序
_LIBC_CTYPE_H	_宣言_文字分類
_LIBC_ERRNO_H	_宣言_誤り番号
_LIBC_FCNTL_H	_宣言_文書制御
_LIBC_LIMITS_H	_宣言_整数限界
_LIBC_NETINET_IN_H	_宣言_相互接続網_番地
_LIBC_STDDEF_H	_宣言_基本定義
_LIBC_STDINT_H	_宣言_整数型
_LIBC_STDLIB_H	_宣言_一般関数
_LIBC_STRINGS_H	_宣言_文字列大小比較
_LIBC_STRING_H	_宣言_文字列と記憶内容
_LIBC_SYSCALL_H	_宣言_体系_体系呼出
_LIBC_SYS_SOCKET_H	_宣言_体系_通信端点
_LIBC_SYS_STAT_H	_宣言_体系_文書状態
_LIBC_SYS_TYPES_H	_宣言_体系_資料型
_LIBC_SYS_UTSNAME_H	_宣言_体系_体系情報
_LIBC_SYS_WAIT_H	_宣言_体系_子の待機
_LIBC_UNISTD_H	_宣言_入出力と実行
__posix_library_test	関数集の動作を試す
_exit	直ちに終了する
a	受渡値
a1	第一引数
a2	第二引数
a3	第三引数
a4	第四引数
a5	第五引数
a6	第六引数
abs	整数の絶対値を得る
accept	接続要求を受け入れる
access	利用権限を調べる
address	番地
address_len	番地寸法
address_length	番地長
argc	引数の数
args	可変引数
args_fail	引数検査失敗
args_pass	引数検査成功
argument	引数値
argv	引数一覧
atoi	十進文字列を整数として読む
atol	十進文字列を長整数として読む
available	利用可能判定
b	第二値
backlog	待機上限
bind	局所番地を結ぶ
blkcnt_t	区画数型
blksize_t	区画長型
brk	動的記憶の終端を定める
bsearch	整列済み配列を二分探索する
bss_zeroed	未初期化資料の零埋め
buf	緩衝領域
byte	八桁組値
bytes	八桁組配列
c	第三値
call	通信呼出番号
calloc	零で満たした配列領域を確保する
chdir	作業目録を変える
checks	検査数
child	子の位置
client	要求端点
cloexec_fail	実行置換時閉鎖失敗
cloexec_pass	実行置換時閉鎖成功
close	閉じる
cmd	制御命令
compare	比較関数
compare_int	整数を比較する
connect	相手端点につなぐ
copy	複写値
copy_length	複写長
count	数量
creat	文書を作る
cursor	進行位置
cwd	作業目録
decoded	解釈値
delimiters	区切り値集合
dest_addr	宛先番地
dest_len	宛先番地長
destination	書込先
dev_t	装置番号型
digit	数字値
digit_value	数字値を得る
div	整数の商と余りを得る
div_t	整数除算結果型
domain	番地系統
dup	開いた文書の参照を複製する
dup2	指定番号に文書参照を複製する
element_size	要素の大きさ
elements	要素配列
end_pointer	変換終端番地
environ	環境変数一覧
envp	環境一覧
errno	誤り番号
execve	実行内容を置き換える
expected_errno	期待誤り番号
failed_with	指定誤りによる失敗判定
failure	失敗判定
failures	失敗数
fcntl	文書を制御する
fd	文書記述番号
first	最初の項
first_match	最初の一致位置
flags	処理指定
fork	実行過程を分岐する
found	発見位置
free	記憶領域を返す
fstat	開いた文書の状態を得る
fsync	文書の記録を同期する
getcwd	作業目録の経路を得る
getegid	実効所属組番号を得る
getenv	環境変数の値を得る
geteuid	実効利用者番号を得る
getgid	所属組番号を得る
getpeername	相手端点の番地を得る
getpid	実行過程番号を得る
getppid	親実行過程番号を得る
getsockname	局所端点の番地を得る
getuid	利用者番号を得る
gid_t	所属組番号型
heap_block	記憶区画
heap_head	最初の区画
high	上境界
hole	降下位置
hostlong	機械順32二進桁値
hostshort	機械順16二進桁値
how	閉じる方向
htonl	通信網順に32桁を変える
htons	通信網順に16桁を変える
i	項の添字
in_addr	相互接続網番地
in_addr_t	相互接続網番地値型
in_port_t	通信窓口番号型
increment	増分
index	添字
ino_t	文書固有番号型
int16_t	符号付き16二進桁整数
int32_t	符号付き32二進桁整数
int64_t	符号付き64二進桁整数
int8_t	符号付き8二進桁整数
intptr_t	番地幅符号付き整数
is_unsigned	符号なし判定
isalnum	英字か数字か調べる
isalpha	英字か調べる
isatty	端末か調べる
isblank	水平空白か調べる
iscntrl	制御文字か調べる
isdigit	十進数字か調べる
isgraph	空白以外の印字文字か調べる
islower	小文字か調べる
isprint	印字文字か調べる
ispunct	句読記号か調べる
isspace	空白文字か調べる
isupper	大文字か調べる
isxdigit	十六進数字か調べる
iteration	反復回数
labs	長整数の絶対値を得る
last_block	最後の区画
ldiv	長整数の商と余りを得る
ldiv_t	長整数除算結果型
length_of	文字列長を得る
level	設定階層
limit	上限
listen	接続要求に備える
loaded	読込値
low	下境界
lseek	読み書き位置を移す
lstat	連結自体の状態を得る
m	検査方式
machine	機械種類
magnitude	大きさの値
malloc	記憶領域を確保する
maximum	最大値
memchr	記憶領域から値を探す
memcmp	記憶内容を比較する
memcpy	記憶内容を複写する
memmove	重なりを許して記憶内容を移す
memory	記憶領域
memset	記憶領域を値で満たす
middle	中央位置
mode	利用方式
mode_t	文書方式型
n	呼出種類
negative	負数判定
netlong	通信網順32二進桁値
netshort	通信網順16二進桁値
newfd	新記述番号
next_block	次の区画
nlink_t	直接連結数型
nodename	機械名
ntohl	機械順に32桁を変える
ntohs	機械順に16桁を変える
off_t	文書位置型
offset	位置差
oflag	開く際の指定
old	以前の値
oldfd	旧記述番号
open	開く
option_len	設定長
option_name	設定名
option_value	設定値
options	選択事項
padding	整列埋込長
parent	親過程
parse_unsigned	符号なし数を解釈する
pass	検査合格
passed	合格判定
pid	実行過程番号
pid_t	実行過程番号型
posix_compile_test	宣言翻訳試験
posix_test_heap	動的記憶動作試験
posix_test_process	実行過程動作試験
private_value	過程専用値
protocol	通信規約
ptrdiff_t	番地差型
qsort	比較基準で整列する
quot	商
radix	基数
raw	確保元番地
read	読む
realloc	記憶領域の大きさを変える
reap_nohang	待たずに子を回収
recv	受け取る
recvfrom	送信元と共に受け取る
release	体系配布版
rem	余り
remaining	残数
report	結果を報告
requested	要求終端
result	結果
root	根の経路
s	検査資料
s_addr	番地値
sa_data	番地資料
sa_family	端点番地系統
sa_family_t	番地系統型
saved_environment	保存環境一覧
saved_errno	保存誤り番号
saved_state	保存進行状態
say	電文を書く
sbrk	動的記憶の終端を移す
second	二番目の項
send	送る
sendto	宛先に送る
server	応答端点
server_address	応答端点番地
setsockopt	通信端点を設定する
shutdown	通信方向を閉じる
sift_down	下方へ整列を直す
sin_addr	接続網番地内容
sin_family	接続網番地系統
sin_port	通信窓口番号
sin_zero	番地の埋合せ
size_t	大きさ型
sockaddr	通信端点番地
sockaddr_in	相互接続網端点番地
socket	通信端点を作る
socket_call	通信端点を呼び出す
socklen_t	番地長型
source	読出元
source_length	送信元番地長
spin	回転回数
spins	回転数
ssize_t	符号付き大きさ型
st	状態資料
st_atime	最終参照時刻
st_atimensec	最終参照十億分秒
st_blksize	推奨入出力区画長
st_blocks	割当区画数
st_ctime	最終状態変更時刻
st_ctimensec	最終状態変更十億分秒
st_dev	所属装置番号
st_gid	所有組番号
st_ino	文書固有番号
st_mode	文書種類と権限
st_mtime	最終内容変更時刻
st_mtimensec	最終内容変更十億分秒
st_nlink	直接連結数
st_rdev	表す装置番号
st_size	文書の大きさ
st_uid	所有利用者番号
start	開始位置
stat	文書状態
stpcpy	文字列を複写して終端を得る
stpncpy	上限まで埋めて複写し終端を得る
strcasecmp	大文字小文字を区別せず比較する
strcat	文字列を付け足す
strchr	文字列から最初の値を探す
strcmp	文字列を比較する
strcoll	整列規則で文字列を比較する
strcpy	文字列を複写する
strcspn	除外値のない先頭長を得る
strdup	新しい領域に文字列を複製する
strlen	文字列の八桁組数を得る
strncasecmp	上限内で大文字小文字を区別せず比較する
strncat	上限内で文字列を付け足す
strncmp	上限内で文字列を比較する
strncpy	上限まで埋めて文字列を複写する
strndup	上限内で新しい領域に文字列を複製する
strnlen	上限内の文字列八桁組数を得る
strpbrk	文字列から集合の値を探す
strrchr	文字列から最後の値を探す
strspn	許容値からなる先頭長を得る
strstr	文字列から部分列を探す
strtok	文字列を語に分ける
strtok_r	進行状態を指定して文字列を語に分ける
strtol	文字列を長整数として読む
strtoul	文字列を符号なし長整数として読む
strxfrm	文字列の整列鍵を作る
swap_elements	要素を交換する
sync	全ての記録を同期する
sysname	体系名
target	対象値
temporary	一時値
test_dup_and_fcntl	記述番号複製と制御試験
test_identity	実行主体試験
test_line	失敗行番号
test_open_and_io	開閉入出力試験
test_paths	経路操作試験
test_terminal_and_uname	端末と体系情報試験
time_t	時刻値型
tolower	小文字に変える
total	全体長
toupper	大文字に変える
type	端点種類
uid_t	利用者番号型
uint16_t	符号なし16二進桁整数
uint32_t	符号なし32二進桁整数
uint64_t	符号なし64二進桁整数
uint8_t	符号なし8二進桁整数
uintptr_t	番地幅符号なし整数
uname	体系情報を得る
utsname	体系情報
version	体系改訂版
wait	子を待つ
waited	待った過程
waitpid	指定した子を待つ
whence	位置基準
write	書く
