standard_identifier	native_identifier	category	status
AF_INET	ソウゴセツゾクモウバンチケイトウ	network-declaration	project-proposal
AF_UNSPEC	バンチケイトウミシテイ	network-declaration	project-proposal
CHAR_BIT	ハチケタグミノニシンケタスウ	integer-limit	project-proposal
CHAR_MAX	モジセイスウサイダイチ	integer-limit	project-proposal
CHAR_MIN	モジセイスウサイショウチ	integer-limit	project-proposal
CHECK	ジョウケンカクニン	variable	project-proposal
E2BIG	アヤマリヒキスウイチランカダイ	error-code	project-proposal
EACCES	アヤマリリヨウケンゲンナシ	error-code	project-proposal
EADDRINUSE	アヤマリバンチシヨウチュウ	error-code	project-proposal
EAFNOSUPPORT	アヤマリバンチケイトウヒタイオウ	error-code	project-proposal
EAGAIN	アヤマリイチジリヨウフカ	error-code	project-proposal
EBADF	アヤマリキジュツバンゴウフセイ	error-code	project-proposal
EBUSY	アヤマリシゲンシヨウチュウ	error-code	project-proposal
ECHILD	アヤマリコジッコウカテイナシ	error-code	project-proposal
EEXIST	アヤマリブンショキソン	error-code	project-proposal
EFAULT	アヤマリキオクバンチフセイ	error-code	project-proposal
EFBIG	アヤマリブンショカダイ	error-code	project-proposal
EINTR	アヤマリソウサチュウダン	error-code	project-proposal
EINVAL	アヤマリヒキスウフセイ	error-code	project-proposal
EIO	アヤマリニュウシュツリョクシッパイ	error-code	project-proposal
EISDIR	アヤマリモクロクデアル	error-code	project-proposal
EMFILE	アヤマリカテイブンショスウジョウゲン	error-code	project-proposal
EMSGSIZE	アヤマリデンブンカダイ	error-code	project-proposal
ENETUNREACH	アヤマリツウシンモウトウタツフカ	error-code	project-proposal
ENFILE	アヤマリタイケイブンショスウジョウゲン	error-code	project-proposal
ENODEV	アヤマリソウチナシ	error-code	project-proposal
ENOENT	アヤマリブンショマタハモクロクナシ	error-code	project-proposal
ENOEXEC	アヤマリジッコウケイシキフセイ	error-code	project-proposal
ENOMEM	アヤマリキオクブソク	error-code	project-proposal
ENOSPC	アヤマリホゾンリョウイキブソク	error-code	project-proposal
ENOSYS	アヤマリキノウミジッソウ	error-code	project-proposal
ENOTCONN	アヤマリタンテンミセツゾク	error-code	project-proposal
ENOTDIR	アヤマリモクロクデナイ	error-code	project-proposal
ENOTTY	アヤマリソウチフテキゴウソウサ	error-code	project-proposal
EOPNOTSUPP	アヤマリソウサヒタイオウ	error-code	project-proposal
EPERM	アヤマリソウサフキョカ	error-code	project-proposal
EPROTONOSUPPORT	アヤマリキヤクヒタイオウ	error-code	project-proposal
ERANGE	アヤマリチハンイガイ	error-code	project-proposal
EROFS	アヤマリヨミトリセンヨウブンショタイケイ	error-code	project-proposal
ESPIPE	アヤマリナガレイチイドウフカ	error-code	project-proposal
ESRCH	アヤマリジッコウカテイナシ	error-code	project-proposal
EXIT_FAILURE	シッパイシュウリョウ	interface-constant	project-proposal
EXIT_SUCCESS	セイコウシュウリョウ	interface-constant	project-proposal
FD_CLOEXEC	ジッコウナイヨウチカンジニトジル	interface-constant	project-proposal
F_DUPFD	キジュツバンゴウフクセイ	interface-constant	project-proposal
F_GETFD	キジュツバンゴウヒョウシキシュトク	interface-constant	project-proposal
F_GETFL	ブンショジョウタイヒョウシキシュトク	interface-constant	project-proposal
F_OK	ソンザイカクニン	interface-constant	project-proposal
F_SETFD	キジュツバンゴウヒョウシキセッテイ	interface-constant	project-proposal
F_SETFL	ブンショジョウタイヒョウシキセッテイ	interface-constant	project-proposal
INADDR_ANY	スベテノキョクショバンチ	network-declaration	project-proposal
INADDR_LOOPBACK	ジコオリカエシバンチ	network-declaration	project-proposal
INT_MAX	セイスウサイダイチ	integer-limit	project-proposal
INT_MIN	セイスウサイショウチ	integer-limit	project-proposal
IPPROTO_IP	ソウゴセツゾクモウキホンキヤク	network-declaration	project-proposal
IPPROTO_UDP	リヨウシャシリョウデンブンキヤク	network-declaration	project-proposal
LLONG_MAX	チョウチョウセイスウサイダイチ	integer-limit	project-proposal
LLONG_MIN	チョウチョウセイスウサイショウチ	integer-limit	project-proposal
LONG_MAX	チョウセイスウサイダイチ	integer-limit	project-proposal
LONG_MIN	チョウセイスウサイショウチ	integer-limit	project-proposal
NULL	カラバンチ	interface-constant	project-proposal
O_ACCMODE	リヨウホウシキチュウシュツチ	interface-constant	project-proposal
O_APPEND	マツビヘツイカスル	interface-constant	project-proposal
O_CREAT	ナケレバツクル	interface-constant	project-proposal
