standard_identifier	native_identifier	category	current_role	status
in_addr_t	ソウゴセツゾクモウバンチチガタ	network-declaration	internetwork_address_value_type	project-proposal
in_port_t	ツウシンマドグチバンゴウガタ	network-declaration	transport_port_number_type	project-proposal
in_addr	ソウゴセツゾクモウバンチ	network-declaration	internetwork_address	project-proposal
sockaddr_in	ソウゴセツゾクモウタンテンバンチ	network-declaration	internetwork_endpoint_address	project-proposal
s_addr	バンチチ	network-declaration	address_value	project-proposal
sin_family	セツゾクモウバンチケイトウ	network-declaration	internetwork_address_family	project-proposal
sin_port	ツウシンマドグチバンゴウ	network-declaration	transport_port_number	project-proposal
sin_addr	セツゾクモウバンチナイヨウ	network-declaration	internetwork_address_field	project-proposal
sin_zero	バンチノウメアワセ	network-declaration	address_padding	project-proposal
sa_family_t	バンチケイトウガタ	network-declaration	address_family_type	project-proposal
sockaddr	ツウシンタンテンバンチ	network-declaration	endpoint_address	project-proposal
sa_family	タンテンバンチケイトウ	network-declaration	endpoint_address_family	project-proposal
sa_data	バンチシリョウ	network-declaration	address_payload	project-proposal
socklen_t	バンチチョウガタ	network-declaration	address_length_type	project-proposal
AF_UNSPEC	バンチケイトウミシテイ	network-declaration	unspecified_address_family	project-proposal
AF_INET	ソウゴセツゾクモウバンチケイトウ	network-declaration	internetwork_address_family_code	project-proposal
PF_INET	ソウゴセツゾクモウキヤクケイトウ	network-declaration	internetwork_protocol_family	project-proposal
SOCK_STREAM	シリョウリュウタンテン	network-declaration	stream_endpoint	project-proposal
SOCK_DGRAM	シリョウデンブンタンテン	network-declaration	datagram_endpoint	project-proposal
SHUT_RD	ジュシンテイシ	network-declaration	stop_receiving	project-proposal
SHUT_WR	ソウシンテイシ	network-declaration	stop_sending	project-proposal
SHUT_RDWR	ソウホウコウテイシ	network-declaration	stop_both_directions	project-proposal
IPPROTO_IP	ソウゴセツゾクモウキホンキヤク	network-declaration	default_internetwork_protocol	project-proposal
IPPROTO_UDP	リヨウシャシリョウデンブンキヤク	network-declaration	user_datagram_protocol	project-proposal
INADDR_ANY	スベテノキョクショバンチ	network-declaration	any_local_address	project-proposal
INADDR_LOOPBACK	ジコオリカエシバンチ	network-declaration	loopback_address	project-proposal
hostlong	キカイジュン32ニシンケタチ	network-declaration	host_order_32_bit_value	project-proposal
hostshort	キカイジュン16ニシンケタチ	network-declaration	host_order_16_bit_value	project-proposal
netlong	ツウシンモウジュン32ニシンケタチ	network-declaration	network_order_32_bit_value	project-proposal
netshort	ツウシンモウジュン16ニシンケタチ	network-declaration	network_order_16_bit_value	project-proposal
size_t	オオキサガタ	scalar-type	object_size_type	project-proposal
ssize_t	フゴウツキオオキサガタ	scalar-type	signed_size_type	project-proposal
ptrdiff_t	バンチサガタ	scalar-type	pointer_difference_type	project-proposal
off_t	ブンショイチガタ	scalar-type	file_offset_type	project-proposal
pid_t	ジッコウカテイバンゴウガタ	scalar-type	process_identifier_type	project-proposal
uid_t	リヨウシャバンゴウガタ	scalar-type	user_identifier_type	project-proposal
gid_t	ショゾククミバンゴウガタ	scalar-type	group_identifier_type	project-proposal
mode_t	ブンショホウシキガタ	scalar-type	file_mode_type	project-proposal
dev_t	ソウチバンゴウガタ	scalar-type	device_identifier_type	project-proposal
ino_t	ブンショコユウバンゴウガタ	scalar-type	file_serial_number_type	project-proposal
nlink_t	チョクセツレンケツスウガタ	scalar-type	hard_link_count_type	project-proposal
time_t	ジコクチガタ	scalar-type	time_value_type	project-proposal
blksize_t	クカクチョウガタ	scalar-type	block_size_type	project-proposal
blkcnt_t	クカクスウガタ	scalar-type	block_count_type	project-proposal
int8_t	フゴウツキ8ニシンケタセイスウ	scalar-type	signed_8_bit_integer	project-proposal
uint8_t	フゴウナシ8ニシンケタセイスウ	scalar-type	unsigned_8_bit_integer	project-proposal
int16_t	フゴウツキ16ニシンケタセイスウ	scalar-type	signed_16_bit_integer	project-proposal
uint16_t	フゴウナシ16ニシンケタセイスウ	scalar-type	unsigned_16_bit_integer	project-proposal
int32_t	フゴウツキ32ニシンケタセイスウ	scalar-type	signed_32_bit_integer	project-proposal
uint32_t	フゴウナシ32ニシンケタセイスウ	scalar-type	unsigned_32_bit_integer	project-proposal
int64_t	フゴウツキ64ニシンケタセイスウ	scalar-type	signed_64_bit_integer	project-proposal
uint64_t	フゴウナシ64ニシンケタセイスウ	scalar-type	unsigned_64_bit_integer	project-proposal
intptr_t	バンチハバフゴウツキセイスウ	scalar-type	pointer_sized_signed_integer	project-proposal
uintptr_t	バンチハバフゴウナシセイスウ	scalar-type	pointer_sized_unsigned_integer	project-proposal
st_dev	ショゾクソウチバンゴウ	structure-field	containing_device	project-proposal
st_ino	ブンショコユウバンゴウ	structure-field	file_serial_number	project-proposal
st_mode	ブンショシュルイトケンゲン	structure-field	file_kind_and_permissions	project-proposal
st_nlink	チョクセツレンケツスウ	structure-field	hard_link_count	project-proposal
st_uid	ショユウリヨウシャバンゴウ	structure-field	owner_user_identifier	project-proposal
st_gid	ショユウクミバンゴウ	structure-field	owner_group_identifier	project-proposal
st_rdev	アラワスソウチバンゴウ	structure-field	represented_device	project-proposal
st_size	ブンショノオオキサ	structure-field	file_size	project-proposal
st_blksize	スイショウニュウシュツリョククカクチョウ	structure-field	preferred_io_block_size	project-proposal
st_blocks	ワリアテクカクスウ	structure-field	allocated_block_count	project-proposal
st_atime	サイシュウサンショウジコク	structure-field	last_access_time	project-proposal
st_atimensec	サイシュウサンショウジュウオクブンビョウ	structure-field	last_access_nanoseconds	project-proposal
st_mtime	サイシュウナイヨウヘンコウジコク	structure-field	last_content_change_time	project-proposal
st_mtimensec	サイシュウナイヨウヘンコウジュウオクブンビョウ	structure-field	last_content_change_nanoseconds	project-proposal
st_ctime	サイシュウジョウタイヘンコウジコク	structure-field	last_status_change_time	project-proposal
st_ctimensec	サイシュウジョウタイヘンコウジュウオクブンビョウ	structure-field	last_status_change_nanoseconds	project-proposal
utsname	タイケイジョウホウ	structure-field	system_identity	project-proposal
sysname	タイケイメイ	structure-field	system_name	project-proposal
nodename	キカイメイ	structure-field	node_name	project-proposal
release	タイケイハイフバン	structure-field	system_release	project-proposal
version	タイケイカイテイバン	structure-field	system_version	project-proposal
machine	キカイシュルイ	structure-field	machine_kind	project-proposal
NULL	カラバンチ	interface-constant	null_pointer	project-proposal
EXIT_SUCCESS	セイコウシュウリョウ	interface-constant	successful_exit	project-proposal
EXIT_FAILURE	シッパイシュウリョウ	interface-constant	failed_exit	project-proposal
STDIN_FILENO	ヒョウジュンニュウリョクバンゴウ	interface-constant	standard_input_descriptor	project-proposal
STDOUT_FILENO	ヒョウジュンシュツリョクバンゴウ	interface-constant	standard_output_descriptor	project-proposal
STDERR_FILENO	ヒョウジュンアヤマリシュツリョクバンゴウ	interface-constant	standard_error_descriptor	project-proposal
F_OK	ソンザイカクニン	interface-constant	test_existence	project-proposal
R_OK	ヨミトリケンゲンカクニン	interface-constant	test_read_permission	project-proposal
W_OK	カキコミケンゲンカクニン	interface-constant	test_write_permission	project-proposal
X_OK	ジッコウケンゲンカクニン	interface-constant	test_execute_permission	project-proposal
SEEK_SET	セントウキジュンイチ	interface-constant	offset_from_start	project-proposal
SEEK_CUR	ゲンザイキジュンイチ	interface-constant	offset_from_current	project-proposal
SEEK_END	マツビキジュンイチ	interface-constant	offset_from_end	project-proposal
O_RDONLY	ヨミトリセンヨウデヒラク	interface-constant	open_read_only	project-proposal
O_WRONLY	カキコミセンヨウデヒラク	interface-constant	open_write_only	project-proposal
O_RDWR	ヨミカキリョウヨウデヒラク	interface-constant	open_read_write	project-proposal
O_ACCMODE	リヨウホウシキチュウシュツチ	interface-constant	access_mode_mask	project-proposal
O_CREAT	ナケレバツクル	interface-constant	create_if_missing	project-proposal
O_EXCL	シンキブンショノミユルス	interface-constant	require_new_file	project-proposal
O_TRUNC	キゾンナイヨウヲカラニスル	interface-constant	truncate_existing_file	project-proposal
O_APPEND	マツビヘツイカスル	interface-constant	append_at_end	project-proposal
