original	compiler	native	status
Activate	A有効にする	Aユウコウニスル	reading-needs-review
ActivateAll	A有効にするすべて	Aユウコウニスルスベテ	reading-needs-review
Active	A有効	Aユウコウ	reading-needs-review
ActiveInterruptManager	A有効割込み管理者	Aユウコウワリコミカンリシャ	reading-needs-review
ActiveMemoryManager	A有効メモリ管理者	Aユウコウメモリカンリシャ	reading-needs-review
Add	A追加	Aツイカ	reading-needs-review
AddDriver	A追加ドライバー	Aツイカドライバー	reading-needs-review
AddRunnableThread	A追加runnableスレッド	Aツイカrunnableスレッド	reading-needs-review
AddTask	A追加タスク	Aツイカタスク	reading-needs-review
AddThread	A追加スレッド	Aツイカスレッド	reading-needs-review
Address	Address	Address	reading-needs-review
AlignedMalloc	Alignedmalloc	Alignedmalloc	reading-needs-review
AlignmentCheck	Alignmentcheck	Alignmentcheck	reading-needs-review
AllocateBlock	Allocateブロック	Allocateブロック	reading-needs-review
AllocatePID	Allocatepid	Allocatepid	reading-needs-review
AmountOfMemory	A株数ofメモリ	Aカブカズofメモリ	reading-needs-review
ArrayToUint16	A配列tounsignedinteger16	Aハイレツtounsignedinteger16	reading-needs-review
ArrayToUint32	A配列tounsignedinteger32	Aハイレツtounsignedinteger32	reading-needs-review
ArrayToUint48	A配列tounsignedinteger48	Aハイレツtounsignedinteger48	reading-needs-review
ArrayToUint48_BE	A配列tounsignedinteger48be	Aハイレツtounsignedinteger48be	reading-needs-review
ArrayToUint64	A配列tounsignedinteger64	Aハイレツtounsignedinteger64	reading-needs-review
Atime	Atime	Atime	reading-needs-review
AtimeNsec	Atimensec	Atimensec	reading-needs-review
BLOCKS_PER_BYTE	Bブロックperバイト	Bブロックperバイト	reading-needs-review
BLOCK_SIZE	Bブロックサイズ	Bブロックサイズ	reading-needs-review
Backend	Backend	Backend	reading-needs-review
BaseAddr	Baseaddress	Baseaddress	reading-needs-review
Bind	Bバインド	Bバインド	reading-needs-review
Blksize	Blksize	Blksize	reading-needs-review
Blocked	Blocked	Blocked	reading-needs-review
BlockedState	Blocked状態	Blockedジョウタイ	reading-needs-review
Blocks	Bブロック	Bブロック	reading-needs-review
BoundRangeExceeded	Boundrangeexceeded	Boundrangeexceeded	reading-needs-review
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	reading-needs-review
BytesPerSector	Bバイトpersector	Bバイトpersector	reading-needs-review
BytesToString	Bバイトto文字列	Bバイトtoモジレツ	reading-needs-review
Checksum	Checksum	Checksum	reading-needs-review
Clear	Cクリア	Cクリア	reading-needs-review
Clone	Clone	Clone	reading-needs-review
CloneAddressSpaceCOW	Cloneaddressスペースcow	Cloneaddressスペースcow	reading-needs-review
Connect	C接続	Cセツゾク	reading-needs-review
ContainsCoordinate	Containscoordinate	Containscoordinate	reading-needs-review
CopyPageFrameBlock	C複製ページフレームブロック	Cフクセイページフレームブロック	reading-needs-review
CpuState	Cpu状態	Cpuジョウタイ	reading-needs-review
Create	C作成	Cサクセイ	reading-needs-review
CreateFromData	C作成からデータ	Cサクセイカラデータ	reading-needs-review
CreateFromFunction	C作成から関数	Cサクセイカラカンスウ	reading-needs-review
CreatePtrFromFunction	C作成ポインタから関数	Cサクセイポインタカラカンスウ	reading-needs-review
Cs	Cs	Cs	reading-needs-review
Ctime	Ctime	Ctime	reading-needs-review
CtimeNsec	Ctimensec	Ctimensec	reading-needs-review
CurrentPID	C現在の日時pid	Cゲンザイノニチジpid	reading-needs-review
CurrentParentPID	C現在の日時parentpid	Cゲンザイノニチジparentpid	reading-needs-review
Data	Data	Data	compatibility
Deactivate	D無効にする	Dムコウニスル	reading-needs-review
Deactive	Deactive	Deactive	reading-needs-review
Decrement	Decrement	Decrement	reading-needs-review
Delete	D削除	Dサクジョ	reading-needs-review
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	reading-needs-review
DescriptorType	Descriptor型	Descriptorカタ	reading-needs-review
Destroy	D破棄	Dハキ	reading-needs-review
Dev	Dデバイス	Dデバイス	reading-needs-review
DeviceHasFunctions	Dデバイスhas関数	Dデバイスhasカンスウ	reading-needs-review
DeviceNotAvailable	Dデバイスインストールされていません使用可能	Dデバイスインストールサレテイマセンシヨウカノウ	reading-needs-review
Device_id	Dデバイスid	Dデバイスid	reading-needs-review
DisableInt	D不可int	Dフカint	reading-needs-review
Disconnect	D切断する	Dセツダンスル	reading-needs-review
DivideByZero	D除算by数値の0	Dジョザンbyスウチノ0	reading-needs-review
DoHandleInterrupt	Do取っ手割込み	Doトッテワリコミ	reading-needs-review
DoubleFault	D二重線障害	Dニジュウセンショウガイ	reading-needs-review
Draw	Draw	Draw	reading-needs-review
DriverManager	Dドライバー管理者	Dドライバーカンリシャ	reading-needs-review
Ds	Ds	Ds	reading-needs-review
Dynamic	D動的に	Dドウテキニ	reading-needs-review
E2BIG	E2big	E2big	reading-needs-review
EACCES	Eacces	Eacces	reading-needs-review
EADDRINUSE	Eaddrinuse	Eaddrinuse	reading-needs-review
EAFNOSUPPORT	Eafnosupport	Eafnosupport	reading-needs-review
EAGAIN	Eagain	Eagain	reading-needs-review
EBADF	Ebadf	Ebadf	reading-needs-review
EBUSY	Ebusy	Ebusy	reading-needs-review
ECHILD	Echild	Echild	reading-needs-review
EEXIST	Eexist	Eexist	reading-needs-review
EFAULT	Efault	Efault	reading-needs-review
EFBIG	Efbig	Efbig	reading-needs-review
EINTR	Eintr	Eintr	reading-needs-review
EINVAL	Einval	Einval	reading-needs-review
EIO	Eio	Eio	reading-needs-review
EISDIR	Eisdir	Eisdir	reading-needs-review
EMFILE	Emfile	Emfile	reading-needs-review
EMSGSIZE	Emsgsize	Emsgsize	reading-needs-review
ENETUNREACH	Enetunreach	Enetunreach	reading-needs-review
ENFILE	Enfile	Enfile	reading-needs-review
ENODEV	Enodev	Enodev	reading-needs-review
ENOENT	Enoent	Enoent	reading-needs-review
ENOEXEC	Enoexec	Enoexec	reading-needs-review
ENOMEM	Enomem	Enomem	reading-needs-review
ENOSPC	Enospc	Enospc	reading-needs-review
ENOSYS	Enosys	Enosys	reading-needs-review
ENOTCONN	Enotconn	Enotconn	reading-needs-review
