original	native
src/amd_am79c973/amd_am79c973.go	src/amdam79c973/amdam79c973.go
src/arp/arp.go	src/arp/arp.go
src/common/memoperations.go	src/キョウツウ/メモリソウサ.go
src/common/type.go	src/キョウツウ/カタ.go
src/console/console.go	src/コンソール/コンソール.go
src/console/console.s	src/コンソール/コンソール.s
src/drivers/ata/ata.go	src/ドライバー/ata/ata.go
src/drivers/driver/driver.go	src/ドライバー/ドライバー/ドライバー.go
src/drivers/keyboard/keyboard.go	src/ドライバー/キーボード/キーボード.go
src/drivers/mouse/mouse.go	src/ドライバー/イチニュウリョクソウチ/イチニュウリョクソウチ.go
src/drivers/timer/timer.go	src/ドライバー/タイマー/タイマー.go
src/etherframe/etherframe.go	src/キョウユウバイタイモウデンソウワク/キョウユウバイタイモウデンソウワク.go
src/filesystem/elf/elf.go	src/ファイルシステム/ジッコウレンケツケイシキ/ジッコウレンケツケイシキ.go
src/filesystem/elf/elfheader.go	src/ファイルシステム/ジッコウレンケツケイシキ/elfヘッダ.go
src/filesystem/elf/elfsection.go	src/ファイルシステム/ジッコウレンケツケイシキ/elfクカク.go
src/filesystem/elf/linkmap.go	src/ファイルシステム/ジッコウレンケツケイシキ/レンケツタイオウヒョウ.go
src/filesystem/fat/fat.go	src/ファイルシステム/fat/fat.go
src/filesystem/msdospart/msdospart.go	src/ファイルシステム/msdosクブン/msdosクブン.go
src/gate/gate.go	src/ゲート/ゲート.go
src/gate/gate.s	src/ゲート/ゲート.s
src/gate/gate_amd64.go	src/ゲート/ゲートamd64.go
src/gate/gate_amd64.s	src/ゲート/ゲートamd64.s
src/gdt/gdt.go	src/gdt/gdt.go
src/gdt/gdt.s	src/gdt/gdt.s
src/icmp/icmp.go	src/ソウゴセツゾクアミセイギョデンブンキヤク/ソウゴセツゾクアミセイギョデンブンキヤク.go
src/interrupt/interrupt.go	src/ワリコミ/ワリコミ.go
src/interrupt/interrupt.s	src/ワリコミ/ワリコミ.s
src/ipv4/ipv4.go	src/ソウゴセツゾクアミキヤク4/ソウゴセツゾクアミキヤク4.go
src/memorymanager/memorymanager.go	src/メモリカンリシャ/メモリカンリシャ.go
src/multitasking/multi.s	src/フクスウタスクカンリ/フクスウ.s
src/multitasking/multitasking.go	src/フクスウタスクカンリ/フクスウタスクカンリ.go
src/paging/paging.go	src/ページカンリ/ページカンリ.go
src/paging/paging.s	src/ページカンリ/ページカンリ.s
src/pci/pci.go	src/pci/pci.go
src/phymem/phymem.go	src/ブツリメモリ/ブツリメモリ.go
src/port/port.go	src/ポート/ポート.go
src/port/port.s	src/ポート/ポート.s
src/systemcall/systemcall.go	src/システムヨビダシ/システムヨビダシ.go
src/systemcall/systemcall.s	src/システムヨビダシ/システムヨビダシ.s
src/tasking/process/process.go	src/タスクカンリ/プロセス/プロセス.go
src/tasking/scheduler/scheduler.go	src/タスクカンリ/スケジューラ/スケジューラ.go
src/tasking/scheduler/scheduler.s	src/タスクカンリ/スケジューラ/スケジューラ.s
src/tasking/thread/thread.go	src/タスクカンリ/スレッド/スレッド.go
src/tasking/tss/tss.go	src/タスクカンリ/tss/tss.go
src/tasking/tss/tss.s	src/タスクカンリ/tss/tss.s
src/text_mode/text_mode.go	src/テキストモード/テキストモード.go
src/udp/udp.go	src/リヨウシャシリョウデンブンキヤク/リヨウシャシリョウデンブンキヤク.go
src/util/array/array.go	src/ハンヨウ/ハイレツ/ハイレツ.go
src/util/list/list.go	src/ハンヨウ/イチラン/イチラン.go
src/util/util.go	src/ハンヨウ/ハンヨウ.go
src/vga/vga.go	src/vga/vga.go
src/virtmem/virtmem.go	src/カソウメモリ/カソウメモリ.go
src/widget/widget.go	src/ガメンヨウソ/ガメンヨウソ.go
main.go	シュヨウ.go
main.s	シュヨウ.s
asm/constants.inc	キカイキドウ/テイスウ.inc
