compiler_identifier	native_identifier
AF_INET	ソウゴセツゾクモウバンチケイトウ
AF_UNSPEC	バンチケイトウミシテイ
CHAR_BIT	ハチケタグミノニシンケタスウ
CHAR_MAX	モジセイスウサイダイチ
CHAR_MIN	モジセイスウサイショウチ
CHECK	ジョウケンカクニン
E2BIG	アヤマリヒキスウイチランカダイ
EACCES	アヤマリリヨウケンゲンナシ
EADDRINUSE	アヤマリバンチシヨウチュウ
EAFNOSUPPORT	アヤマリバンチケイトウヒタイオウ
EAGAIN	アヤマリイチジリヨウフカ
EBADF	アヤマリキジュツバンゴウフセイ
EBUSY	アヤマリシゲンシヨウチュウ
ECHILD	アヤマリコジッコウカテイナシ
EEXIST	アヤマリブンショキソン
EFAULT	アヤマリキオクバンチフセイ
EFBIG	アヤマリブンショカダイ
EINTR	アヤマリソウサチュウダン
EINVAL	アヤマリヒキスウフセイ
EIO	アヤマリニュウシュツリョクシッパイ
EISDIR	アヤマリモクロクデアル
EMFILE	アヤマリカテイブンショスウジョウゲン
EMSGSIZE	アヤマリデンブンカダイ
ENETUNREACH	アヤマリツウシンモウトウタツフカ
ENFILE	アヤマリタイケイブンショスウジョウゲン
ENODEV	アヤマリソウチナシ
ENOENT	アヤマリブンショマタハモクロクナシ
ENOEXEC	アヤマリジッコウケイシキフセイ
ENOMEM	アヤマリキオクブソク
ENOSPC	アヤマリホゾンリョウイキブソク
ENOSYS	アヤマリキノウミジッソウ
ENOTCONN	アヤマリタンテンミセツゾク
ENOTDIR	アヤマリモクロクデナイ
ENOTTY	アヤマリソウチフテキゴウソウサ
EOPNOTSUPP	アヤマリソウサヒタイオウ
EPERM	アヤマリソウサフキョカ
EPROTONOSUPPORT	アヤマリキヤクヒタイオウ
ERANGE	アヤマリチハンイガイ
EROFS	アヤマリヨミトリセンヨウブンショタイケイ
ESPIPE	アヤマリナガレイチイドウフカ
ESRCH	アヤマリジッコウカテイナシ
EXIT_FAILURE	シッパイシュウリョウ
EXIT_SUCCESS	セイコウシュウリョウ
FD_CLOEXEC	ジッコウナイヨウチカンジニトジル
F_DUPFD	キジュツバンゴウフクセイ
F_GETFD	キジュツバンゴウヒョウシキシュトク
F_GETFL	ブンショジョウタイヒョウシキシュトク
F_OK	ソンザイカクニン
F_SETFD	キジュツバンゴウヒョウシキセッテイ
F_SETFL	ブンショジョウタイヒョウシキセッテイ
INADDR_ANY	スベテノキョクショバンチ
INADDR_LOOPBACK	ジコオリカエシバンチ
INT_MAX	セイスウサイダイチ
INT_MIN	セイスウサイショウチ
IPPROTO_IP	ソウゴセツゾクモウキホンキヤク
IPPROTO_UDP	リヨウシャシリョウデンブンキヤク
LLONG_MAX	チョウチョウセイスウサイダイチ
LLONG_MIN	チョウチョウセイスウサイショウチ
LONG_MAX	チョウセイスウサイダイチ
LONG_MIN	チョウセイスウサイショウチ
NULL	カラバンチ
O_ACCMODE	リヨウホウシキチュウシュツチ
O_APPEND	マツビヘツイカスル
O_CREAT	ナケレバツクル
O_DIRECTORY	モクロクノミユルス
O_EXCL	シンキブンショノミユルス
O_RDONLY	ヨミトリセンヨウデヒラク
O_RDWR	ヨミカキリョウヨウデヒラク
O_TRUNC	キゾンナイヨウヲカラニスル
O_WRONLY	カキコミセンヨウデヒラク
PF_INET	ソウゴセツゾクモウキヤクケイトウ
R_OK	ヨミトリケンゲンカクニン
SC0	ヒキスウナシタイケイヨビダシ
SC1	ヒキスウヒトツタイケイヨビダシ
SC2	ヒキスウフタツタイケイヨビダシ
SC3	ヒキスウミッツタイケイヨビダシ
SCHAR_MAX	フゴウツキモジセイスウサイダイチ
SCHAR_MIN	フゴウツキモジセイスウサイショウチ
SC_accept	ツウシンタンテン_セツゾクヨウキュウヲウケイレル
SC_bind	ツウシンタンテン_キョクショバンチヲムスブ
SC_connect	ツウシンタンテン_アイテタンテンニツナグ
SC_getpeername	ツウシンタンテン_アイテタンテンノバンチヲエル
SC_getsockname	ツウシンタンテン_キョクショタンテンノバンチヲエル
SC_listen	ツウシンタンテン_セツゾクヨウキュウニソナエル
SC_recv	ツウシンタンテン_ウケトル
SC_recvfrom	ツウシンタンテン_ソウシンモトトトモニウケトル
SC_send	ツウシンタンテン_オクル
SC_sendto	ツウシンタンテン_アテサキニオクル
SC_setsockopt	ツウシンタンテン_ツウシンタンテンヲセッテイスル
SC_shutdown	ツウシンタンテン_ツウシンホウコウヲトジル
SC_socket	ツウシンタンテン_ツウシンタンテンヲツクル
SEEK_CUR	ゲンザイキジュンイチ
SEEK_END	マツビキジュンイチ
SEEK_SET	セントウキジュンイチ
SHRT_MAX	タンセイスウサイダイチ
SHRT_MIN	タンセイスウサイショウチ
SHUT_RD	ジュシンテイシ
SHUT_RDWR	ソウホウコウテイシ
SHUT_WR	ソウシンテイシ
SOCK_DGRAM	シリョウデンブンタンテン
SOCK_STREAM	シリョウリュウタンテン
STDERR_FILENO	ヒョウジュンアヤマリシュツリョクバンゴウ
STDIN_FILENO	ヒョウジュンニュウリョクバンゴウ
STDOUT_FILENO	ヒョウジュンシュツリョクバンゴウ
SYS_access	タイケイヨビダシ_リヨウケンゲンヲシラベル
SYS_brk	タイケイヨビダシ_ドウテキキオクノシュウタンヲサダメル
SYS_chdir	タイケイヨビダシ_サギョウモクロクヲカエル
SYS_close	タイケイヨビダシ_トジル
SYS_creat	タイケイヨビダシ_ブンショヲツクル
SYS_dup	タイケイヨビダシ_ヒライタブンショノサンショウヲフクセイスル
SYS_dup2	タイケイヨビダシ_シテイバンゴウニブンショサンショウヲフクセイスル
SYS_execve	タイケイヨビダシ_ジッコウナイヨウヲオキカエル
SYS_exit	タイケイヨビダシ_タダチニシュウリョウスル
SYS_fcntl	タイケイヨビダシ_ブンショヲセイギョスル
SYS_fork	タイケイヨビダシ_ジッコウカテイヲブンキスル
