standard_identifier	native_identifier	category	current_role	status
in_addr_t	互联网络地址值类型	network-declaration	internetwork_address_value_type	project-proposal
in_port_t	通信端口编号类型	network-declaration	transport_port_number_type	project-proposal
in_addr	互联网络地址	network-declaration	internetwork_address	project-proposal
sockaddr_in	互联网络端点地址	network-declaration	internetwork_endpoint_address	project-proposal
s_addr	地址值	network-declaration	address_value	project-proposal
sin_family	互联地址族	network-declaration	internetwork_address_family	project-proposal
sin_port	通信端口编号	network-declaration	transport_port_number	project-proposal
sin_addr	互联地址内容	network-declaration	internetwork_address_field	project-proposal
sin_zero	地址填充区	network-declaration	address_padding	project-proposal
sa_family_t	地址族类型	network-declaration	address_family_type	project-proposal
sockaddr	通信端点地址	network-declaration	endpoint_address	project-proposal
sa_family	端点地址族	network-declaration	endpoint_address_family	project-proposal
sa_data	地址数据	network-declaration	address_payload	project-proposal
socklen_t	地址长度类型	network-declaration	address_length_type	project-proposal
AF_UNSPEC	未指定地址族	network-declaration	unspecified_address_family	project-proposal
AF_INET	互联网络地址族	network-declaration	internetwork_address_family_code	project-proposal
PF_INET	互联网络协议族	network-declaration	internetwork_protocol_family	project-proposal
SOCK_STREAM	数据流端点	network-declaration	stream_endpoint	project-proposal
SOCK_DGRAM	数据报端点	network-declaration	datagram_endpoint	project-proposal
SHUT_RD	停止接收	network-declaration	stop_receiving	project-proposal
SHUT_WR	停止发送	network-declaration	stop_sending	project-proposal
SHUT_RDWR	停止双向通信	network-declaration	stop_both_directions	project-proposal
IPPROTO_IP	互联网络基本协议	network-declaration	default_internetwork_protocol	project-proposal
IPPROTO_UDP	用户数据报协议	network-declaration	user_datagram_protocol	project-proposal
INADDR_ANY	任意本地地址	network-declaration	any_local_address	project-proposal
INADDR_LOOPBACK	本机回环地址	network-declaration	loopback_address	project-proposal
hostlong	主机顺序32位值	network-declaration	host_order_32_bit_value	project-proposal
hostshort	主机顺序16位值	network-declaration	host_order_16_bit_value	project-proposal
netlong	网络顺序32位值	network-declaration	network_order_32_bit_value	project-proposal
netshort	网络顺序16位值	network-declaration	network_order_16_bit_value	project-proposal
size_t	大小类型	scalar-type	object_size_type	project-proposal
ssize_t	有符号大小类型	scalar-type	signed_size_type	project-proposal
ptrdiff_t	指针差类型	scalar-type	pointer_difference_type	project-proposal
off_t	文件位置类型	scalar-type	file_offset_type	project-proposal
pid_t	进程编号类型	scalar-type	process_identifier_type	project-proposal
uid_t	用户编号类型	scalar-type	user_identifier_type	project-proposal
gid_t	组编号类型	scalar-type	group_identifier_type	project-proposal
mode_t	文件模式类型	scalar-type	file_mode_type	project-proposal
dev_t	设备编号类型	scalar-type	device_identifier_type	project-proposal
ino_t	文件唯一编号类型	scalar-type	file_serial_number_type	project-proposal
nlink_t	硬链接数量类型	scalar-type	hard_link_count_type	project-proposal
time_t	时间值类型	scalar-type	time_value_type	project-proposal
blksize_t	块大小类型	scalar-type	block_size_type	project-proposal
blkcnt_t	块数量类型	scalar-type	block_count_type	project-proposal
int8_t	有符号8位整数	scalar-type	signed_8_bit_integer	project-proposal
uint8_t	无符号8位整数	scalar-type	unsigned_8_bit_integer	project-proposal
int16_t	有符号16位整数	scalar-type	signed_16_bit_integer	project-proposal
uint16_t	无符号16位整数	scalar-type	unsigned_16_bit_integer	project-proposal
int32_t	有符号32位整数	scalar-type	signed_32_bit_integer	project-proposal
uint32_t	无符号32位整数	scalar-type	unsigned_32_bit_integer	project-proposal
int64_t	有符号64位整数	scalar-type	signed_64_bit_integer	project-proposal
uint64_t	无符号64位整数	scalar-type	unsigned_64_bit_integer	project-proposal
intptr_t	地址宽度有符号整数	scalar-type	pointer_sized_signed_integer	project-proposal
uintptr_t	地址宽度无符号整数	scalar-type	pointer_sized_unsigned_integer	project-proposal
st_dev	所属设备编号	structure-field	containing_device	project-proposal
st_ino	文件唯一编号	structure-field	file_serial_number	project-proposal
st_mode	文件类型与权限	structure-field	file_kind_and_permissions	project-proposal
st_nlink	硬链接数量	structure-field	hard_link_count	project-proposal
st_uid	所有者用户编号	structure-field	owner_user_identifier	project-proposal
st_gid	所有者组编号	structure-field	owner_group_identifier	project-proposal
st_rdev	代表设备编号	structure-field	represented_device	project-proposal
st_size	文件大小	structure-field	file_size	project-proposal
st_blksize	建议读写块大小	structure-field	preferred_io_block_size	project-proposal
st_blocks	已分配块数量	structure-field	allocated_block_count	project-proposal
st_atime	最后访问时间	structure-field	last_access_time	project-proposal
st_atimensec	最后访问纳秒	structure-field	last_access_nanoseconds	project-proposal
st_mtime	最后内容修改时间	structure-field	last_content_change_time	project-proposal
st_mtimensec	最后内容修改纳秒	structure-field	last_content_change_nanoseconds	project-proposal
st_ctime	最后状态变更时间	structure-field	last_status_change_time	project-proposal
st_ctimensec	最后状态变更纳秒	structure-field	last_status_change_nanoseconds	project-proposal
utsname	系统身份信息	structure-field	system_identity	project-proposal
sysname	系统名称	structure-field	system_name	project-proposal
nodename	节点名称	structure-field	node_name	project-proposal
release	系统发行版	structure-field	system_release	project-proposal
version	系统修订版	structure-field	system_version	project-proposal
machine	机器类型	structure-field	machine_kind	project-proposal
NULL	空地址	interface-constant	null_pointer	project-proposal
EXIT_SUCCESS	成功退出	interface-constant	successful_exit	project-proposal
EXIT_FAILURE	失败退出	interface-constant	failed_exit	project-proposal
STDIN_FILENO	标准输入编号	interface-constant	standard_input_descriptor	project-proposal
STDOUT_FILENO	标准输出编号	interface-constant	standard_output_descriptor	project-proposal
STDERR_FILENO	标准错误输出编号	interface-constant	standard_error_descriptor	project-proposal
F_OK	检查存在	interface-constant	test_existence	project-proposal
R_OK	检查读权限	interface-constant	test_read_permission	project-proposal
W_OK	检查写权限	interface-constant	test_write_permission	project-proposal
X_OK	检查执行权限	interface-constant	test_execute_permission	project-proposal
SEEK_SET	从起点定位	interface-constant	offset_from_start	project-proposal
SEEK_CUR	从当前位置定位	interface-constant	offset_from_current	project-proposal
SEEK_END	从末尾定位	interface-constant	offset_from_end	project-proposal
O_RDONLY	只读打开	interface-constant	open_read_only	project-proposal
O_WRONLY	只写打开	interface-constant	open_write_only	project-proposal
O_RDWR	读写打开	interface-constant	open_read_write	project-proposal
O_ACCMODE	访问模式掩码	interface-constant	access_mode_mask	project-proposal
O_CREAT	不存在则创建	interface-constant	create_if_missing	project-proposal
O_EXCL	仅允许新文件	interface-constant	require_new_file	project-proposal
O_TRUNC	清空原有内容	interface-constant	truncate_existing_file	project-proposal
