original	compiler	native	status
Activate	A使用	A激活	existing-unreviewed
ActivateAll	A使用全部	A激活全部	existing-unreviewed
Active	A啟用	A活跃	existing-unreviewed
ActiveInterruptManager	A啟用中斷管理器	A活跃中断管理器	existing-unreviewed
ActiveMemoryManager	A啟用記憶體管理器	A活跃内存管理器	existing-unreviewed
Add	A加入	A添加	existing-unreviewed
AddDriver	A加入驅動程式	A添加驱动程序	existing-unreviewed
AddRunnableThread	A加入runnable執行緒	A添加runnable线程	existing-unreviewed
AddTask	A加入工作	A添加任务	existing-unreviewed
AddThread	A加入執行緒	A添加线程	existing-unreviewed
Address	Address	Address	existing-unreviewed
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed
AllocateBlock	Allocate區塊	Allocate块	existing-unreviewed
AllocatePID	Allocate行程代碼	Allocate进程号	existing-unreviewed
AmountOfMemory	A數量of記憶體	A总量of内存	existing-unreviewed
ArrayToUint16	A陣列tounsignedinteger16	A数组tounsignedinteger16	existing-unreviewed
ArrayToUint32	A陣列tounsignedinteger32	A数组tounsignedinteger32	existing-unreviewed
ArrayToUint48	A陣列tounsignedinteger48	A数组tounsignedinteger48	existing-unreviewed
ArrayToUint48_BE	A陣列tounsignedinteger48be	A数组tounsignedinteger48be	existing-unreviewed
ArrayToUint64	A陣列tounsignedinteger64	A数组tounsignedinteger64	existing-unreviewed
Atime	Atime	Atime	existing-unreviewed
AtimeNsec	Atimensec	Atimensec	existing-unreviewed
BLOCKS_PER_BYTE	B區塊per位元組	B块per字节	existing-unreviewed
BLOCK_SIZE	B區塊大小	B块大小	existing-unreviewed
Backend	Backend	Backend	existing-unreviewed
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed
Bind	Bind	B绑定	existing-unreviewed
Blksize	Blksize	Blksize	existing-unreviewed
Blocked	Blocked	Blocked	existing-unreviewed
BlockedState	Blocked狀態	Blocked状态	existing-unreviewed
Blocks	B區塊	B块	existing-unreviewed
BoundRangeExceeded	Boundrangeexceeded	Bound范围exceeded	existing-unreviewed
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed
BytesPerSector	B位元組persector	B字节persector	existing-unreviewed
BytesToString	B位元組to字串	B字节to字符串	existing-unreviewed
Checksum	Checksum	Checksum	existing-unreviewed
Clear	C清除	C清除	existing-unreviewed
Clone	Clone	Clone	existing-unreviewed
CloneAddressSpaceCOW	Cloneaddress空白cow	Cloneaddress空格cow	existing-unreviewed
Connect	C連接	C连接	existing-unreviewed
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed
CopyPageFrameBlock	C複製頁框架區塊	C复制页帧块	existing-unreviewed
CpuState	Cpu狀態	Cpu状态	existing-unreviewed
Create	C建立	C创建	existing-unreviewed
CreateFromData	C建立from資料	C创建from数据	existing-unreviewed
CreateFromFunction	C建立from函式	C创建from函数	existing-unreviewed
CreatePtrFromFunction	C建立指標from函式	C创建指针from函数	existing-unreviewed
Cs	Cs	Cs	existing-unreviewed
Ctime	Ctime	Ctime	existing-unreviewed
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed
CurrentPID	C目前行程代碼	C当前进程号	existing-unreviewed
CurrentParentPID	C目前parent行程代碼	C当前parent进程号	existing-unreviewed
Data	Data	Data	compatibility
Deactivate	D停用	D禁用	existing-unreviewed
Deactive	Deactive	Deactive	existing-unreviewed
Decrement	Decrement	Decrement	existing-unreviewed
Delete	D刪除	D删除	existing-unreviewed
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed
DescriptorType	Descriptor類型	Descriptor类型	existing-unreviewed
Destroy	D銷毀	D摧毁	existing-unreviewed
Dev	D裝置	D设备	existing-unreviewed
DeviceHasFunctions	D裝置has函式	D设备哈斯区函数	existing-unreviewed
DeviceNotAvailable	D裝置not可用空間	D设备not可用	existing-unreviewed
Device_id	D裝置識別號	D设备id	existing-unreviewed
DisableInt	D停用整數	D禁用整型	existing-unreviewed
Disconnect	D斷線	D断开	existing-unreviewed
DivideByZero	D除by零	D除法by零	existing-unreviewed
DoHandleInterrupt	Do控制把中斷	Do控制器中断	existing-unreviewed
DoubleFault	D倍精度故障	D双精度故障	existing-unreviewed
Draw	Draw	Draw	existing-unreviewed
DriverManager	D驅動程式管理器	D驱动程序管理器	existing-unreviewed
Ds	Ds	Ds	existing-unreviewed
Dynamic	D動態	D动态	existing-unreviewed
E2BIG	E2big	E2big	existing-unreviewed
EACCES	Eacces	Eacces	existing-unreviewed
EADDRINUSE	Eaddrinuse	Eaddrinuse	existing-unreviewed
EAFNOSUPPORT	Eafnosupport	Eafnosupport	existing-unreviewed
EAGAIN	Eagain	Eagain	existing-unreviewed
EBADF	Ebadf	Ebadf	existing-unreviewed
EBUSY	Ebusy	Ebusy	existing-unreviewed
ECHILD	Echild	Echild	existing-unreviewed
EEXIST	Eexist	Eexist	existing-unreviewed
EFAULT	Efault	Efault	existing-unreviewed
EFBIG	Efbig	Efbig	existing-unreviewed
EINTR	Eintr	Eintr	existing-unreviewed
EINVAL	Einval	Einval	existing-unreviewed
EIO	Eio	Eio	existing-unreviewed
EISDIR	Eisdir	Eisdir	existing-unreviewed
EMFILE	Emfile	Emfile	existing-unreviewed
EMSGSIZE	Emsgsize	Emsgsize	existing-unreviewed
ENETUNREACH	Enetunreach	Enetunreach	existing-unreviewed
ENFILE	Enfile	Enfile	existing-unreviewed
ENODEV	Enodev	Enodev	existing-unreviewed
ENOENT	Enoent	Enoent	existing-unreviewed
ENOEXEC	Enoexec	Enoexec	existing-unreviewed
ENOMEM	Enomem	Enomem	existing-unreviewed
ENOSPC	Enospc	Enospc	existing-unreviewed
ENOSYS	Enosys	Enosys	existing-unreviewed
ENOTCONN	Enotconn	Enotconn	existing-unreviewed
ENOTDIR	Enotdir	Enotdir	existing-unreviewed
ENOTTY	Enotty	Enotty	existing-unreviewed
EOPNOTSUPP	Eopnotsupp	Eopnotsupp	existing-unreviewed
EPERM	Eperm	Eperm	existing-unreviewed
EPROTONOSUPPORT	Eprotonosupport	Eprotonosupport	existing-unreviewed
ERANGE	Erange	Erange	existing-unreviewed
EROFS	Erofs	Erofs	existing-unreviewed
ESPIPE	Espipe	Espipe	existing-unreviewed
ESRCH	Esrch	Esrch	existing-unreviewed
Eax	Eax	Eax	existing-unreviewed
Ebp	Ebp	Ebp	existing-unreviewed
Ebx	Ebx	Ebx	existing-unreviewed
Ecx	Ecx	Ecx	existing-unreviewed
Edi	Edi	Edi	existing-unreviewed
Edx	Edx	Edx	existing-unreviewed
Eflags	Eflags	Eflags	existing-unreviewed
Eip	Eip	Eip	existing-unreviewed
Elf	Elf	Elf	existing-unreviewed
Elf32Dyn	Elf32dyn	Elf32dyn	existing-unreviewed
Elf32Note	Elf32備註	Elf32备忘	existing-unreviewed
Elf32Rel	Elf32rel	Elf32rel	existing-unreviewed
Elf32Rela	Elf32rela	Elf32rela	existing-unreviewed
Elf32Sym	Elf32sym	Elf32sym	existing-unreviewed
ElfHeader	Elf標頭	Elf头部	existing-unreviewed
ElfProgramHeader	Elf程式標頭	Elf程序头部	existing-unreviewed
ElfSectionHeader	Elf區段標頭	Elf区段头部	existing-unreviewed
EnablePaging	E啟用分頁管理	E启用分页管理	existing-unreviewed
Enabled	E已啟用	E启用	existing-unreviewed
EntryNumber	E項目數字	E条目数字	existing-unreviewed
EqualBytes	E相等位元組	E相同字节	existing-unreviewed
Es	Es	Es	existing-unreviewed
Esi	Esi	Esi	existing-unreviewed
Esp	Esp	Esp	existing-unreviewed
FPUBuffer	Fpubuffer	Fpubuffer	existing-unreviewed
FPUOffset	Fpu位移	Fpu位移	existing-unreviewed
Family	Family	Family	existing-unreviewed
FileName	F檔案名稱	F文件名称	existing-unreviewed
Fill	Fill	Fill	existing-unreviewed
FillRectangle	Fill矩形	Fill矩形	existing-unreviewed
First	First	First	existing-unreviewed
FirstFree	First剩餘	First空闲	existing-unreviewed
FirstFreeSize	First剩餘大小	First空闲大小	existing-unreviewed
Flags	F旗標	F标志	existing-unreviewed
FloatingPointException	F浮動pointexception	F浮动pointexception	existing-unreviewed
Flush	Flush	Flush	existing-unreviewed
FlushTlsTable	Flushtlstable	Flushtls表格	existing-unreviewed
Focussable	Focussable	Focussable	existing-unreviewed
Free	F剩餘	F空闲	existing-unreviewed
Fs	Fs	Fs	existing-unreviewed
GB	Gb	Gb	existing-unreviewed
GDT_ENTRIES	Gdt項目	Gdt条目	existing-unreviewed
GOT	Got	Got	existing-unreviewed
GPFException	Gpfexception	Gpfexception	existing-unreviewed
GatewayIP	Gatewayip	Gatewayip	existing-unreviewed
GdtAddressHigh	Gdtaddress高	Gdtaddress高	existing-unreviewed
GdtAddressLow	Gdtaddress低	Gdtaddress低	existing-unreviewed
GdtDescriptor	Gdtdescriptor	Gdtdescriptor	existing-unreviewed
GdtEntry	Gdt項目_2	Gdt条目_2	existing-unreviewed
GdtSize	Gdt大小	Gdt大小	existing-unreviewed
GetAt	Getat	Getat	existing-unreviewed
GetBackend	Getbackend	Getbackend	existing-unreviewed
GetBaseAddressRegister	Getbaseaddress暫存器	Getbaseaddress寄存器	existing-unreviewed
GetBitmaspSize	Getbitmasp大小	Getbitmasp大小	existing-unreviewed
GetBytesFromPtr	Get位元組from指標	Get字节from指针	existing-unreviewed
GetCR0	Getcr0	Getcr0	existing-unreviewed
