english	localized	language
a	表觀溫度	zh_Hant
access	存取	zh_Hant
ack	ack	zh_Hant
activate	使用	zh_Hant
active	啟用	zh_Hant
add	加入	zh_Hant
addend	addend	zh_Hant
addr	addr	zh_Hant
addralign	addralign	zh_Hant
address	address	zh_Hant
advanced	進階	zh_Hant
af	af	zh_Hant
after	之後	zh_Hant
align	對齊	zh_Hant
aligned	aligned	zh_Hant
alignment	alignment	zh_Hant
all	全部	zh_Hant
alloc	alloc	zh_Hant
allocate	allocate	zh_Hant
allocated	allocated	zh_Hant
am	am	zh_Hant
amd	amd	zh_Hant
amount	數量	zh_Hant
and	和	zh_Hant
append	append	zh_Hant
args	args	zh_Hant
argument	argument	zh_Hant
arguments	參數	zh_Hant
arp	arp	zh_Hant
arp콘솔	arp콘솔	zh_Hant
array	陣列	zh_Hant
assembly	組合語言	zh_Hant
at	at	zh_Hant
ata	ata	zh_Hant
atime	atime	zh_Hant
attachment	attachment	zh_Hant
attempts	attempts	zh_Hant
attr	attr	zh_Hant
attribute	屬性	zh_Hant
attributes	屬性	zh_Hant
aux	aux	zh_Hant
avail	avail	zh_Hant
available	可用空間	zh_Hant
b	位元	zh_Hant
ba	ba	zh_Hant
back	上一頁	zh_Hant
backend	backend	zh_Hant
backup	backup	zh_Hant
bar	列	zh_Hant
base	base	zh_Hant
be	be	zh_Hant
bh	bh	zh_Hant
big	big	zh_Hant
bind	bind	zh_Hant
bios	bios	zh_Hant
bit	bit	zh_Hant
bitmap	bitmap	zh_Hant
bitmasp	bitmasp	zh_Hant
bits	位元	zh_Hant
blksize	blksize	zh_Hant
block	區塊	zh_Hant
blocked	blocked	zh_Hant
blocking	blocking	zh_Hant
blocks	方塊	zh_Hant
boot	boot	zh_Hant
bootable	bootable	zh_Hant
bootloader	bootloader	zh_Hant
bound	bound	zh_Hant
bpb	bpb	zh_Hant
break	break	zh_Hant
brk	brk	zh_Hant
broadcast	broadcast	zh_Hant
buf	buf	zh_Hant
buffer	buffer	zh_Hant
buffers	緩衝區	zh_Hant
bufptr	bufptr	zh_Hant
bus	bus	zh_Hant
button	按鈕	zh_Hant
buttons	按鈕	zh_Hant
by	by	zh_Hant
byte	位元組	zh_Hant
bytes	位元組	zh_Hant
c	有雲	zh_Hant
cache	cache	zh_Hant
call	呼叫	zh_Hant
candidate	candidate	zh_Hant
cap	cap	zh_Hant
