original	compiler	native	status
Activate	A使用	A使用	existing-unreviewed
ActivateAll	A使用全部	A使用全部	existing-unreviewed
Active	A啟用	A啟用	existing-unreviewed
ActiveInterruptManager	A啟用中斷管理器	A啟用中斷管理器	existing-unreviewed
ActiveMemoryManager	A啟用記憶體管理器	A啟用記憶體管理器	existing-unreviewed
Add	A加入	A加入	existing-unreviewed
AddDriver	A加入驅動程式	A加入驅動程式	existing-unreviewed
AddRunnableThread	A加入runnable執行緒	A加入runnable執行緒	existing-unreviewed
AddTask	A加入工作	A加入工作	existing-unreviewed
AddThread	A加入執行緒	A加入執行緒	existing-unreviewed
Address	Address	Address	existing-unreviewed
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed
AllocateBlock	Allocate區塊	Allocate區塊	existing-unreviewed
AllocatePID	Allocate行程代碼	Allocate行程代碼	existing-unreviewed
AmountOfMemory	A數量of記憶體	A數量of記憶體	existing-unreviewed
ArrayToUint16	A陣列tounsignedinteger16	A陣列tounsignedinteger16	existing-unreviewed
ArrayToUint32	A陣列tounsignedinteger32	A陣列tounsignedinteger32	existing-unreviewed
ArrayToUint48	A陣列tounsignedinteger48	A陣列tounsignedinteger48	existing-unreviewed
ArrayToUint48_BE	A陣列tounsignedinteger48be	A陣列tounsignedinteger48be	existing-unreviewed
ArrayToUint64	A陣列tounsignedinteger64	A陣列tounsignedinteger64	existing-unreviewed
Atime	Atime	Atime	existing-unreviewed
AtimeNsec	Atimensec	Atimensec	existing-unreviewed
BLOCKS_PER_BYTE	B區塊per位元組	B區塊per位元組	existing-unreviewed
BLOCK_SIZE	B區塊大小	B區塊大小	existing-unreviewed
Backend	Backend	Backend	existing-unreviewed
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed
Bind	Bind	Bind	existing-unreviewed
Blksize	Blksize	Blksize	existing-unreviewed
Blocked	Blocked	Blocked	existing-unreviewed
BlockedState	Blocked狀態	Blocked狀態	existing-unreviewed
Blocks	B區塊	B區塊	existing-unreviewed
BoundRangeExceeded	Boundrangeexceeded	Boundrangeexceeded	existing-unreviewed
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed
BytesPerSector	B位元組persector	B位元組persector	existing-unreviewed
BytesToString	B位元組to字串	B位元組to字串	existing-unreviewed
Checksum	Checksum	Checksum	existing-unreviewed
Clear	C清除	C清除	existing-unreviewed
Clone	Clone	Clone	existing-unreviewed
CloneAddressSpaceCOW	Cloneaddress空白cow	Cloneaddress空白cow	existing-unreviewed
Connect	C連接	C連接	existing-unreviewed
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed
CopyPageFrameBlock	C複製頁框架區塊	C複製頁框架區塊	existing-unreviewed
CpuState	Cpu狀態	Cpu狀態	existing-unreviewed
Create	C建立	C建立	existing-unreviewed
CreateFromData	C建立from資料	C建立from資料	existing-unreviewed
