english	localized	language
a	а	sr_Latn
access	приступање	sr_Latn
ack	ack	sr_Latn
activate	Pokreni	sr_Latn
active	Aktivna	sr_Latn
add	Додај	sr_Latn
addend	addend	sr_Latn
addr	addr	sr_Latn
addralign	addralign	sr_Latn
address	address	sr_Latn
advanced	Напредно	sr_Latn
af	af	sr_Latn
after	После	sr_Latn
align	Поравнање	sr_Latn
aligned	aligned	sr_Latn
alignment	alignment	sr_Latn
all	Sve	sr_Latn
alloc	alloc	sr_Latn
allocate	allocate	sr_Latn
allocated	allocated	sr_Latn
am	am	sr_Latn
amd	amd	sr_Latn
amount	Iznos	sr_Latn
and	and	sr_Latn
append	append	sr_Latn
args	args	sr_Latn
argument	argument	sr_Latn
arguments	Argumenti	sr_Latn
arp	arp	sr_Latn
arp콘솔	arp콘솔	sr_Latn
array	Низ	sr_Latn
assembly	assembly	sr_Latn
at	at	sr_Latn
ata	ata	sr_Latn
atime	atime	sr_Latn
attachment	attachment	sr_Latn
attempts	attempts	sr_Latn
attr	attr	sr_Latn
attribute	atribut	sr_Latn
attributes	attributes	sr_Latn
aux	aux	sr_Latn
avail	avail	sr_Latn
available	Raspoloživo	sr_Latn
b	b	sr_Latn
ba	ba	sr_Latn
back	Назад	sr_Latn
backend	backend	sr_Latn
backup	backup	sr_Latn
bar	Бар	sr_Latn
base	base	sr_Latn
be	be	sr_Latn
bh	bh	sr_Latn
big	big	sr_Latn
bind	bind	sr_Latn
bios	bios	sr_Latn
bit	bit	sr_Latn
bitmap	bitmap	sr_Latn
bitmasp	bitmasp	sr_Latn
bits	бита	sr_Latn
blksize	blksize	sr_Latn
block	Blok	sr_Latn
blocked	blocked	sr_Latn
blocking	blocking	sr_Latn
blocks	blocks	sr_Latn
boot	boot	sr_Latn
bootable	bootable	sr_Latn
bootloader	bootloader	sr_Latn
bound	bound	sr_Latn
bpb	bpb	sr_Latn
break	break	sr_Latn
brk	brk	sr_Latn
broadcast	broadcast	sr_Latn
buf	buf	sr_Latn
buffer	buffer	sr_Latn
buffers	Baferi	sr_Latn
bufptr	bufptr	sr_Latn
bus	bus	sr_Latn
button	Дугме	sr_Latn
buttons	Дугмад	sr_Latn
by	by	sr_Latn
byte	byte	sr_Latn
bytes	Bajtova	sr_Latn
c	О	sr_Latn
cache	cache	sr_Latn
call	call	sr_Latn
candidate	candidate	sr_Latn
cap	cap	sr_Latn
capable	capable	sr_Latn
card	card	sr_Latn
central	Centralni	sr_Latn
char	char	sr_Latn
chdir	chdir	sr_Latn
check	check	sr_Latn
checked	checked	sr_Latn
checksum	checksum	sr_Latn
child	sadržani	sr_Latn
chunk	chunk	sr_Latn
class	класа	sr_Latn
clear	Очисти	sr_Latn
cloexec	cloexec	sr_Latn
clone	clone	sr_Latn
close	Затвори	sr_Latn
cluster	cluster	sr_Latn
cmp	cmp	sr_Latn
code	code	sr_Latn
col	col	sr_Latn
color	Боја	sr_Latn
colordepth	colordepth	sr_Latn
command	Наредба	sr_Latn
commandport	commandport	sr_Latn
common	заједнички	sr_Latn
component	component	sr_Latn
connect	Povežise	sr_Latn
connected	connected	sr_Latn
console	Конзола	sr_Latn
constant	konstanta	sr_Latn
contains	contains	sr_Latn
contents	Садржај	sr_Latn
control	Контрол	sr_Latn
controller	controller	sr_Latn
coordinate	coordinate	sr_Latn
copies	copies	sr_Latn
copy	Умножи	sr_Latn
count	count	sr_Latn
cow	cow	sr_Latn
cpu	Процесор	sr_Latn
cpustate	cpustate	sr_Latn
cpy	cpy	sr_Latn
cr	cr	sr_Latn
creat	creat	sr_Latn
create	create	sr_Latn
crtc	crtc	sr_Latn
cs	cs	sr_Latn
ctime	ctime	sr_Latn
cur	cur	sr_Latn
current	Тренутно	sr_Latn
cursor	Показивач	sr_Latn
cylinder	cylinder	sr_Latn
d	ТР	sr_Latn
data	data	sr_Latn
databuffer	databuffer	sr_Latn
datagram	datagram	sr_Latn
dataport	dataport	sr_Latn
date	Датум	sr_Latn
deactivate	Obustavi	sr_Latn
deactive	deactive	sr_Latn
debug	Исправљање	sr_Latn
decrement	decrement	sr_Latn
default	Подразумевано	sr_Latn
delete	Обриши	sr_Latn
delta	Делта	sr_Latn
depth	depth	sr_Latn
desc	desc	sr_Latn
descr	descr	sr_Latn
description	Опис	sr_Latn
descriptor	descriptor	sr_Latn
descriptors	descriptors	sr_Latn
descsz	descsz	sr_Latn
destination	Odredište	sr_Latn
destroy	Уништи	sr_Latn
dev	dev	sr_Latn
device	Уређај	sr_Latn
diff	diff	sr_Latn
digits	digits	sr_Latn
dir	dir	sr_Latn
directory	Direktorijum	sr_Latn
dirent	dirent	sr_Latn
disable	Искључи	sr_Latn
discard	Odbaci	sr_Latn
disconnect	Prekinivezu	sr_Latn
dispatch	dispatch	sr_Latn
divide	divide	sr_Latn
divisor	divisor	sr_Latn
do	do	sr_Latn
domain	Domen	sr_Latn
double	Двоструко	sr_Latn
down	Ниже	sr_Latn
draw	draw	sr_Latn
drive	drive	sr_Latn
driver	driver	sr_Latn
drivercount	drivercount	sr_Latn
drivers	drivers	sr_Latn
drv	drv	sr_Latn
ds	ds	sr_Latn
dst	dst	sr_Latn
dstptr	dstptr	sr_Latn
dup	dup	sr_Latn
dword	dword	sr_Latn
dyn	dyn	sr_Latn
dynamic	rastegǉivo	sr_Latn
e	И	sr_Latn
eacces	eacces	sr_Latn
eaddrinuse	eaddrinuse	sr_Latn
eafnosupport	eafnosupport	sr_Latn
eagain	eagain	sr_Latn
eax	eax	sr_Latn
ebadf	ebadf	sr_Latn
ebp	ebp	sr_Latn
ebusy	ebusy	sr_Latn
ebx	ebx	sr_Latn
echild	echild	sr_Latn
echo	echo	sr_Latn
ecx	ecx	sr_Latn
edi	edi	sr_Latn
edx	edx	sr_Latn
eexist	eexist	sr_Latn
ef	ef	sr_Latn
efault	efault	sr_Latn
efbig	efbig	sr_Latn
eflags	eflags	sr_Latn
ehsize	ehsize	sr_Latn
eintr	eintr	sr_Latn
einval	einval	sr_Latn
eio	eio	sr_Latn
eip	eip	sr_Latn
eisdir	eisdir	sr_Latn
elf	elf	sr_Latn
emfile	emfile	sr_Latn
empty	Празно	sr_Latn
emsgsize	emsgsize	sr_Latn
enable	укључено	sr_Latn
enabled	Омогућено	sr_Latn
end	Kraj	sr_Latn
enetunreach	enetunreach	sr_Latn
enfile	enfile	sr_Latn
enodev	enodev	sr_Latn
enoent	enoent	sr_Latn
enoexec	enoexec	sr_Latn
enomem	enomem	sr_Latn
enospc	enospc	sr_Latn
enosys	enosys	sr_Latn
enotconn	enotconn	sr_Latn
enotdir	enotdir	sr_Latn
enotty	enotty	sr_Latn
ensure	ensure	sr_Latn
entries	entries	sr_Latn
entry	унос	sr_Latn
entrypoint	entrypoint	sr_Latn
entsize	entsize	sr_Latn
environment	environment	sr_Latn
eopnotsupp	eopnotsupp	sr_Latn
eperm	eperm	sr_Latn
ephemeral	ephemeral	sr_Latn
eprotonosupport	eprotonosupport	sr_Latn
equal	Иста	sr_Latn
erange	erange	sr_Latn
erofs	erofs	sr_Latn
err	Greška	sr_Latn
error	Грешка	sr_Latn
errorln	errorln	sr_Latn
es	es	sr_Latn
esi	esi	sr_Latn
esp	esp	sr_Latn
espipe	espipe	sr_Latn
esrch	esrch	sr_Latn
ether	ether	sr_Latn
etherframe	etherframe	sr_Latn
ethernet	Žičanaveza	sr_Latn
event	Догађај	sr_Latn
events	Događaji	sr_Latn
exceeded	exceeded	sr_Latn
except	except	sr_Latn
exception	exception	sr_Latn
exec	izvršna	sr_Latn
execve	execve	sr_Latn
exists	exists	sr_Latn
exit	Izlaz	sr_Latn
exited	Изашаосам	sr_Latn
ext	ext	sr_Latn
extended	extended	sr_Latn
f	М	sr_Latn
family	family	sr_Latn
fat	fat	sr_Latn
fatal	fatal	sr_Latn
fatbuf	fatbuf	sr_Latn
fatbuffer	fatbuffer	sr_Latn
fault	fault	sr_Latn
fb	fb	sr_Latn
fcntl	fcntl	sr_Latn
fd	Описник	sr_Latn
fds	fds	sr_Latn
field	поље	sr_Latn
file	Датотека	sr_Latn
filename	Датотека	sr_Latn
files	DATOTEKE	sr_Latn
filesz	filesz	sr_Latn
fill	fill	sr_Latn
find	Pronađi	sr_Latn
first	first	sr_Latn
fl	fl	sr_Latn
flag	Oznaka	sr_Latn
flags	Parametri	sr_Latn
floating	Lebdeći	sr_Latn
flush	flush	sr_Latn
fn	fn	sr_Latn
focus	Жижа	sr_Latn
focussable	focussable	sr_Latn
foo	foo	sr_Latn
for	for	sr_Latn
forced	forced	sr_Latn
fork	fork	sr_Latn
found	found	sr_Latn
fp	fp	sr_Latn
fpu	fpu	sr_Latn
frame	Okvir	sr_Latn
free	Slobodno	sr_Latn
frequency	Учестаност	sr_Latn
from	sa	sr_Latn
front	predǌi	sr_Latn
fs	fs	sr_Latn
fstat	fstat	sr_Latn
fsync	fsync	sr_Latn
fuction	fuction	sr_Latn
full	потпуно	sr_Latn
func	func	sr_Latn
function	функција	sr_Latn
functions	Функције	sr_Latn
fxrstor	fxrstor	sr_Latn
fxsave	fxsave	sr_Latn
g	g	sr_Latn
gate	gate	sr_Latn
gateway	gateway	sr_Latn
gb	ГБ	sr_Latn
gdt	gdt	sr_Latn
get	get	sr_Latn
getcwd	getcwd	sr_Latn
getegid	getegid	sr_Latn
geteuid	geteuid	sr_Latn
getgid	getgid	sr_Latn
getpid	getpid	sr_Latn
getppid	getppid	sr_Latn
getuid	getuid	sr_Latn
gid	gid	sr_Latn
global	Опште	sr_Latn
got	got	sr_Latn
gpf	gpf	sr_Latn
gran	gran	sr_Latn
graphics	grafika	sr_Latn
grub	grub	sr_Latn
gs	gs	sr_Latn
h	В	sr_Latn
halt	halt	sr_Latn
handle	Ручка	sr_Latn
handler	handler	sr_Latn
handlers	handlers	sr_Latn
hardware	Хардвер	sr_Latn
has	Хас	sr_Latn
hd	hd	sr_Latn
head	head	sr_Latn
header	header	sr_Latn
headertype	headertype	sr_Latn
heap	heap	sr_Latn
height	Visina	sr_Latn
helper	helper	sr_Latn
hex	Heksadecimalno	sr_Latn
hex출력	hex출력	sr_Latn
hi	hi	sr_Latn
hidden	Скривен	sr_Latn
high	Висока	sr_Latn
hop	hop	sr_Latn
i	i	sr_Latn
icmp	icmp	sr_Latn
icmp콘솔	icmp콘솔	sr_Latn
id	IB	sr_Latn
ident	ident	sr_Latn
identify	identify	sr_Latn
idt	idt	sr_Latn
idx	idx	sr_Latn
ifchr	ifchr	sr_Latn
ifdir	ifdir	sr_Latn
ifmt	ifmt	sr_Latn
ifreg	ifreg	sr_Latn
ifsock	ifsock	sr_Latn
in	Примљено	sr_Latn
increment	increment	sr_Latn
index	Popis	sr_Latn
inet	inet	sr_Latn
info	Подаци	sr_Latn
init	init	sr_Latn
initial	initial	sr_Latn
initialization	initialization	sr_Latn
initialize	initialize	sr_Latn
ino	ino	sr_Latn
inode	Ичвор	sr_Latn
input	Улаз	sr_Latn
install	Instaliraj	sr_Latn
int	Целиброј	sr_Latn
interconnect	interconnect	sr_Latn
interface	UREĐAJ	sr_Latn
internet	Интернет	sr_Latn
internetprotocol	internetprotocol	sr_Latn
interrupt	Ометање	sr_Latn
interrupts	interrupts	sr_Latn
invalid	Neispravno	sr_Latn
io	УИ	sr_Latn
iomap	iomap	sr_Latn
ip	ip	sr_Latn
ipci	ipci	sr_Latn
ipmessage	ipmessage	sr_Latn
ipv	ipv	sr_Latn
ip콘솔	ip콘솔	sr_Latn
iret	iret	sr_Latn
is	is	sr_Latn
ist	ist	sr_Latn
j	j	sr_Latn
jmp	jmp	sr_Latn
jump	jump	sr_Latn
k	Kelvin	sr_Latn
kb	КБ	sr_Latn
kcs	kcs	sr_Latn
kds	kds	sr_Latn
kernel	kernel	sr_Latn
key	Кључ	sr_Latn
keyboard	Тастатура	sr_Latn
kgs	kgs	sr_Latn
kind	врста	sr_Latn
k핵심	k핵심	sr_Latn
l	l	sr_Latn
label	Натпис	sr_Latn
last	Задња	sr_Latn
lba	lba	sr_Latn
ldt	ldt	sr_Latn
left	Лево	sr_Latn
len	len	sr_Latn
length	Dužina	sr_Latn
lengths	lengths	sr_Latn
level	level	sr_Latn
lib	Либ	sr_Latn
lidt	lidt	sr_Latn
lidtaddr	lidtaddr	sr_Latn
limit	Ограничи	sr_Latn
line	ред	sr_Latn
link	Веза	sr_Latn
linked	linked	sr_Latn
linker	linker	sr_Latn
list	Spisak	sr_Latn
listen	listen	sr_Latn
listening	listening	sr_Latn
live	live	sr_Latn
load	Оптерећење	sr_Latn
loader	loader	sr_Latn
local	локална	sr_Latn
log	Дневник	sr_Latn
logical	logical	sr_Latn
loop	loop	sr_Latn
low	Tiho	sr_Latn
lseek	lseek	sr_Latn
lstat	lstat	sr_Latn
m	metara	sr_Latn
mac	mac	sr_Latn
machine	machine	sr_Latn
magicnumber	magicnumber	sr_Latn
main	glavni	sr_Latn
make	make	sr_Latn
malloc	malloc	sr_Latn
manager	manager	sr_Latn
map	map	sr_Latn
mask	Maska	sr_Latn
master	glavni	sr_Latn
matches	matches	sr_Latn
max	макс	sr_Latn
maximum	Najviše	sr_Latn
mb	МБ	sr_Latn
mbr	mbr	sr_Latn
