original	compiler	native	status
Activate	Покрени	Pokreni	existing-unreviewed
ActivateAll	ПокрениСве	PokreniSve	existing-unreviewed
Active	Активна	Aktivna	existing-unreviewed
ActiveInterruptManager	АктивнаОметањеmanager	AktivnaOmetanjemanager	existing-unreviewed
ActiveMemoryManager	АктивнаМеморијаmanager	AktivnaMemorijamanager	existing-unreviewed
Add	Додај	Dodaj	existing-unreviewed
AddDriver	Додајdriver	Dodajdriver	existing-unreviewed
AddRunnableThread	Додајrunnablethread	Dodajrunnablethread	existing-unreviewed
AddTask	ДодајЗадатак	DodajZadatak	existing-unreviewed
AddThread	Додајthread	Dodajthread	existing-unreviewed
Address	Address	Address	existing-unreviewed
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed
AllocateBlock	AllocateБлок	AllocateBlok	existing-unreviewed
AllocatePID	AllocateПИД	AllocatePID	existing-unreviewed
AmountOfMemory	ИзносодМеморија	IznosodMemorija	existing-unreviewed
ArrayToUint16	Низtounsignedinteger16	Niztounsignedinteger16	existing-unreviewed
ArrayToUint32	Низtounsignedinteger32	Niztounsignedinteger32	existing-unreviewed
ArrayToUint48	Низtounsignedinteger48	Niztounsignedinteger48	existing-unreviewed
ArrayToUint48_BE	Низtounsignedinteger48be	Niztounsignedinteger48be	existing-unreviewed
ArrayToUint64	Низtounsignedinteger64	Niztounsignedinteger64	existing-unreviewed
Atime	Atime	Atime	existing-unreviewed
AtimeNsec	Atimensec	Atimensec	existing-unreviewed
BLOCKS_PER_BYTE	Блокperbyte	Blokperbyte	existing-unreviewed
BLOCK_SIZE	БлокВеличина	BlokVeličina	existing-unreviewed
Backend	Backend	Backend	existing-unreviewed
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed
Bind	Bind	Bind	existing-unreviewed
Blksize	Blksize	Blksize	existing-unreviewed
Blocked	Blocked	Blocked	existing-unreviewed
BlockedState	BlockedСтање	BlockedStanje	existing-unreviewed
Blocks	Блок	Blok	existing-unreviewed
BoundRangeExceeded	BoundОпсегexceeded	BoundOpsegexceeded	existing-unreviewed
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed
BytesPerSector	Бајтоваpersector	Bajtovapersector	existing-unreviewed
BytesToString	Бајтоваtoниска	Bajtovatoniska	existing-unreviewed
Checksum	Checksum	Checksum	existing-unreviewed
Clear	Очисти	Očisti	existing-unreviewed
Clone	Clone	Clone	existing-unreviewed
CloneAddressSpaceCOW	Cloneaddressразмакcow	Cloneaddressrazmakcow	existing-unreviewed
Connect	Повежисе	Povežise	existing-unreviewed
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed
CopyPageFrameBlock	УмножиСТРАНАОквирБлок	UmnožiSTRANAOkvirBlok	existing-unreviewed
CpuState	ПроцесорСтање	ProcesorStanje	existing-unreviewed
Create	Create	Create	existing-unreviewed
CreateFromData	Createсаdata	Createsadata	existing-unreviewed
CreateFromFunction	Createсафункција	Createsafunkcija	existing-unreviewed
CreatePtrFromFunction	CreateПоказивачсафункција	CreatePokazivačsafunkcija	existing-unreviewed
Cs	Cs	Cs	existing-unreviewed
Ctime	Ctime	Ctime	existing-unreviewed
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed
CurrentPID	ТренутноПИД	TrenutnoPID	existing-unreviewed
CurrentParentPID	ТренутнонадређениПИД	TrenutnonadređeniPID	existing-unreviewed
Data	Data	Data	compatibility
Deactivate	Обустави	Obustavi	existing-unreviewed
Deactive	Deactive	Deactive	existing-unreviewed
Decrement	Decrement	Decrement	existing-unreviewed
Delete	Обриши	Obriši	existing-unreviewed
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed
DescriptorType	DescriptorВрста	DescriptorVrsta	existing-unreviewed
Destroy	Уништи	Uništi	existing-unreviewed
Dev	Уређај	Uređaj	existing-unreviewed
DeviceHasFunctions	УређајХасФункције	UređajHasFunkcije	existing-unreviewed
DeviceNotAvailable	УређајnotРасположиво	UređajnotRaspoloživo	existing-unreviewed
Device_id	УређајИБ	UređajIB	existing-unreviewed
DisableInt	ИскључиЦелиброј	IsključiCelibroj	existing-unreviewed
Disconnect	Прекинивезу	Prekinivezu	existing-unreviewed
DivideByZero	Dividebyzero	Dividebyzero	existing-unreviewed
DoHandleInterrupt	DoРучкаОметање	DoRučkaOmetanje	existing-unreviewed
DoubleFault	Двострукоfault	Dvostrukofault	existing-unreviewed
Draw	Draw	Draw	existing-unreviewed
DriverManager	Drivermanager	Drivermanager	existing-unreviewed
Ds	Ds	Ds	existing-unreviewed
Dynamic	Растегљиво	Rastegljivo	existing-unreviewed
E2BIG	E2big	E2big	existing-unreviewed
EACCES	Eacces	Eacces	existing-unreviewed
EADDRINUSE	Eaddrinuse	Eaddrinuse	existing-unreviewed
EAFNOSUPPORT	Eafnosupport	Eafnosupport	existing-unreviewed
EAGAIN	Eagain	Eagain	existing-unreviewed
EBADF	Ebadf	Ebadf	existing-unreviewed
EBUSY	Ebusy	Ebusy	existing-unreviewed
ECHILD	Echild	Echild	existing-unreviewed
EEXIST	Eexist	Eexist	existing-unreviewed
EFAULT	Efault	Efault	existing-unreviewed
EFBIG	Efbig	Efbig	existing-unreviewed
EINTR	Eintr	Eintr	existing-unreviewed
EINVAL	Einval	Einval	existing-unreviewed
EIO	Eio	Eio	existing-unreviewed
EISDIR	Eisdir	Eisdir	existing-unreviewed
EMFILE	Emfile	Emfile	existing-unreviewed
EMSGSIZE	Emsgsize	Emsgsize	existing-unreviewed
ENETUNREACH	Enetunreach	Enetunreach	existing-unreviewed
ENFILE	Enfile	Enfile	existing-unreviewed
ENODEV	Enodev	Enodev	existing-unreviewed
ENOENT	Enoent	Enoent	existing-unreviewed
ENOEXEC	Enoexec	Enoexec	existing-unreviewed
ENOMEM	Enomem	Enomem	existing-unreviewed
ENOSPC	Enospc	Enospc	existing-unreviewed
ENOSYS	Enosys	Enosys	existing-unreviewed
ENOTCONN	Enotconn	Enotconn	existing-unreviewed
ENOTDIR	Enotdir	Enotdir	existing-unreviewed
ENOTTY	Enotty	Enotty	existing-unreviewed
EOPNOTSUPP	Eopnotsupp	Eopnotsupp	existing-unreviewed
EPERM	Eperm	Eperm	existing-unreviewed
EPROTONOSUPPORT	Eprotonosupport	Eprotonosupport	existing-unreviewed
ERANGE	Erange	Erange	existing-unreviewed
EROFS	Erofs	Erofs	existing-unreviewed
ESPIPE	Espipe	Espipe	existing-unreviewed
ESRCH	Esrch	Esrch	existing-unreviewed
Eax	Eax	Eax	existing-unreviewed
Ebp	Ebp	Ebp	existing-unreviewed
Ebx	Ebx	Ebx	existing-unreviewed
Ecx	Ecx	Ecx	existing-unreviewed
Edi	Edi	Edi	existing-unreviewed
Edx	Edx	Edx	existing-unreviewed
Eflags	Eflags	Eflags	existing-unreviewed
Eip	Eip	Eip	existing-unreviewed
Elf	Elf	Elf	existing-unreviewed
Elf32Dyn	Elf32dyn	Elf32dyn	existing-unreviewed
Elf32Note	Elf32Белешка	Elf32Beleška	existing-unreviewed
Elf32Rel	Elf32rel	Elf32rel	existing-unreviewed
Elf32Rela	Elf32rela	Elf32rela	existing-unreviewed
Elf32Sym	Elf32sym	Elf32sym	existing-unreviewed
ElfHeader	Elfheader	Elfheader	existing-unreviewed
ElfProgramHeader	Elfпрограмheader	Elfprogramheader	existing-unreviewed
ElfSectionHeader	Elfsectionheader	Elfsectionheader	existing-unreviewed
EnablePaging	Укљученоpaging	Uključenopaging	existing-unreviewed
Enabled	Омогућено	Omogućeno	existing-unreviewed
EntryNumber	Уносброј	Unosbroj	existing-unreviewed
EqualBytes	ИстаБајтова	IstaBajtova	existing-unreviewed
Es	Es	Es	existing-unreviewed
Esi	Esi	Esi	existing-unreviewed
Esp	Esp	Esp	existing-unreviewed
FPUBuffer	Fpubuffer	Fpubuffer	existing-unreviewed
FPUOffset	Fpuoffset	Fpuoffset	existing-unreviewed
Family	Family	Family	existing-unreviewed
FileName	ДатотекаНазив	DatotekaNaziv	existing-unreviewed
Fill	Fill	Fill	existing-unreviewed
FillRectangle	FillПравоугаоник	FillPravougaonik	existing-unreviewed
First	First	First	existing-unreviewed
FirstFree	FirstСлободно	FirstSlobodno	existing-unreviewed
FirstFreeSize	FirstСлободноВеличина	FirstSlobodnoVeličina	existing-unreviewed
Flags	Параметри	Parametri	existing-unreviewed
FloatingPointException	Лебдећиpointexception	Lebdećipointexception	existing-unreviewed
Flush	Flush	Flush	existing-unreviewed
FlushTlsTable	FlushtlsТабела	FlushtlsTabela	existing-unreviewed
Focussable	Focussable	Focussable	existing-unreviewed
Free	Слободно	Slobodno	existing-unreviewed
Fs	Fs	Fs	existing-unreviewed
GB	ГБ	GB	existing-unreviewed
GDT_ENTRIES	Gdtунос	Gdtunos	existing-unreviewed
GOT	Got	Got	existing-unreviewed
GPFException	Gpfexception	Gpfexception	existing-unreviewed
GatewayIP	Gatewayip	Gatewayip	existing-unreviewed
GdtAddressHigh	GdtaddressВисока	GdtaddressVisoka	existing-unreviewed
GdtAddressLow	GdtaddressТихо	GdtaddressTiho	existing-unreviewed
GdtDescriptor	Gdtdescriptor	Gdtdescriptor	existing-unreviewed
GdtEntry	Gdtунос_2	Gdtunos_2	existing-unreviewed
GdtSize	GdtВеличина	GdtVeličina	existing-unreviewed
GetAt	Getat	Getat	existing-unreviewed
GetBackend	Getbackend	Getbackend	existing-unreviewed
GetBaseAddressRegister	Getbaseaddressregister	Getbaseaddressregister	existing-unreviewed
GetBitmaspSize	GetbitmaspВеличина	GetbitmaspVeličina	existing-unreviewed
GetBytesFromPtr	GetБајтовасаПоказивач	GetBajtovasaPokazivač	existing-unreviewed
GetCR0	Getcr0	Getcr0	existing-unreviewed
GetCR2	Getcr2	Getcr2	existing-unreviewed
GetCR3	Getcr3	Getcr3	existing-unreviewed
GetCR4	Getcr4	Getcr4	existing-unreviewed
GetColorIndex	GetБојаПопис	GetBojaPopis	existing-unreviewed
GetDeviceDescriptor	GetУређајdescriptor	GetUređajdescriptor	existing-unreviewed
GetDriver	Getdriver	Getdriver	existing-unreviewed
GetESP0	Getesp0	Getesp0	existing-unreviewed
GetEntry	Getунос	Getunos	existing-unreviewed
GetFileSize	GetДатотекаВеличина	GetDatotekaVeličina	existing-unreviewed
GetFocus	GetЖижа	GetŽiža	existing-unreviewed
GetFrameBufferSegment	GetОквирbuffersegment	GetOkvirbuffersegment	existing-unreviewed
GetFuncPtrFromPtr	GetfuncПоказивачсаПоказивач	GetfuncPokazivačsaPokazivač	existing-unreviewed
GetFunctionName	GetфункцијаНазив	GetfunkcijaNaziv	existing-unreviewed
GetHandler	Gethandler	Gethandler	existing-unreviewed
GetIPAddress	Getipaddress	Getipaddress	existing-unreviewed
GetMACAddress	Getmacaddress	Getmacaddress	existing-unreviewed
GetMACFromCache	Getmacсаcache	Getmacsacache	existing-unreviewed
GetNextReadyThread	GetСледећеСпреманthread	GetSledećeSpremanthread	existing-unreviewed
GetNodeAt	GetЧворat	GetČvorat	existing-unreviewed
GetProvider	Providerget	Providerget	existing-unreviewed
GetSS0	Getss0	Getss0	existing-unreviewed
GetStr	Getstr	Getstr	existing-unreviewed
GetUint32ArrayFromPtr	Getunsignedinteger32НизсаПоказивач	Getunsignedinteger32NizsaPokazivač	existing-unreviewed
GetUintptrArrayFromPtr	GetunsignedintegerПоказивачНизсаПоказивач	GetunsignedintegerPokazivačNizsaPokazivač	existing-unreviewed
GetValue	GetВредност	GetVrednost	existing-unreviewed
GetValueInPageDir	GetВредностПримљеноСТРАНАДиректоријум	GetVrednostPrimljenoSTRANADirektorijum	existing-unreviewed
Gid	Gid	Gid	existing-unreviewed
Gs	Gs	Gs	existing-unreviewed
HandleException	Ручкаexception	Ručkaexception	existing-unreviewed
