standard_identifier	native_identifier	category	status
AF_INET	互联网络地址族	network-declaration	project-proposal
AF_UNSPEC	未指定地址族	network-declaration	project-proposal
CHAR_BIT	每字节位数	integer-limit	project-proposal
CHAR_MAX	字符整数最大值	integer-limit	project-proposal
CHAR_MIN	字符整数最小值	integer-limit	project-proposal
CHECK	检查条件	variable	project-proposal
E2BIG	错误参数列表过大	error-code	project-proposal
EACCES	错误没有访问权限	error-code	project-proposal
EADDRINUSE	错误地址已占用	error-code	project-proposal
EAFNOSUPPORT	错误不支持地址族	error-code	project-proposal
EAGAIN	错误暂时不可用	error-code	project-proposal
EBADF	错误描述编号无效	error-code	project-proposal
EBUSY	错误资源使用中	error-code	project-proposal
ECHILD	错误没有子进程	error-code	project-proposal
EEXIST	错误文件已存在	error-code	project-proposal
EFAULT	错误内存地址无效	error-code	project-proposal
EFBIG	错误文件过大	error-code	project-proposal
EINTR	错误操作被中断	error-code	project-proposal
EINVAL	错误参数无效	error-code	project-proposal
EIO	错误输入输出失败	error-code	project-proposal
EISDIR	错误是目录	error-code	project-proposal
EMFILE	错误进程文件数量上限	error-code	project-proposal
EMSGSIZE	错误报文过大	error-code	project-proposal
ENETUNREACH	错误网络不可达	error-code	project-proposal
ENFILE	错误系统文件数量上限	error-code	project-proposal
ENODEV	错误设备不存在	error-code	project-proposal
ENOENT	错误文件或目录不存在	error-code	project-proposal
ENOEXEC	错误执行格式无效	error-code	project-proposal
ENOMEM	错误内存不足	error-code	project-proposal
ENOSPC	错误存储空间不足	error-code	project-proposal
ENOSYS	错误功能未实现	error-code	project-proposal
ENOTCONN	错误端点未连接	error-code	project-proposal
ENOTDIR	错误不是目录	error-code	project-proposal
ENOTTY	错误设备不适用操作	error-code	project-proposal
EOPNOTSUPP	错误不支持操作	error-code	project-proposal
EPERM	错误操作不允许	error-code	project-proposal
EPROTONOSUPPORT	错误不支持协议	error-code	project-proposal
ERANGE	错误数值超出范围	error-code	project-proposal
EROFS	错误只读文件系统	error-code	project-proposal
ESPIPE	错误数据流不可定位	error-code	project-proposal
ESRCH	错误进程不存在	error-code	project-proposal
EXIT_FAILURE	失败退出	interface-constant	project-proposal
EXIT_SUCCESS	成功退出	interface-constant	project-proposal
FD_CLOEXEC	替换程序时关闭	interface-constant	project-proposal
F_DUPFD	复制描述编号	interface-constant	project-proposal
F_GETFD	取得描述编号标志	interface-constant	project-proposal
F_GETFL	取得文件状态标志	interface-constant	project-proposal
F_OK	检查存在	interface-constant	project-proposal
F_SETFD	设置描述编号标志	interface-constant	project-proposal
F_SETFL	设置文件状态标志	interface-constant	project-proposal
INADDR_ANY	任意本地地址	network-declaration	project-proposal
INADDR_LOOPBACK	本机回环地址	network-declaration	project-proposal
INT_MAX	整数最大值	integer-limit	project-proposal
