original	native
src/amd_am79c973/amd_am79c973.go	src/amdam79c973/amdam79c973.go
src/arp/arp.go	src/arp/arp.go
src/common/memoperations.go	src/通用/記憶體操作.go
src/common/type.go	src/通用/類型.go
src/console/console.go	src/控制台/控制台.go
src/console/console.s	src/控制台/控制台.s
src/drivers/ata/ata.go	src/驅動程式/ata/ata.go
src/drivers/driver/driver.go	src/驅動程式/驅動程式/驅動程式.go
src/drivers/keyboard/keyboard.go	src/驅動程式/鍵盤/鍵盤.go
src/drivers/mouse/mouse.go	src/驅動程式/指向裝置/指向裝置.go
src/drivers/timer/timer.go	src/驅動程式/計時器/計時器.go
src/etherframe/etherframe.go	src/共享媒介網路框/共享媒介網路框.go
src/filesystem/elf/elf.go	src/檔案系統/可執行與可連結格式/可執行與可連結格式.go
src/filesystem/elf/elfheader.go	src/檔案系統/可執行與可連結格式/elf標頭.go
src/filesystem/elf/elfsection.go	src/檔案系統/可執行與可連結格式/elf區段.go
src/filesystem/elf/linkmap.go	src/檔案系統/可執行與可連結格式/連結對映.go
src/filesystem/fat/fat.go	src/檔案系統/fat/fat.go
src/filesystem/msdospart/msdospart.go	src/檔案系統/msdos分割區/msdos分割區.go
src/gate/gate.go	src/入口/入口.go
src/gate/gate.s	src/入口/入口.s
src/gate/gate_amd64.go	src/入口/入口amd64.go
src/gate/gate_amd64.s	src/入口/入口amd64.s
src/gdt/gdt.go	src/gdt/gdt.go
src/gdt/gdt.s	src/gdt/gdt.s
src/icmp/icmp.go	src/互聯網路控制訊息協定/互聯網路控制訊息協定.go
src/interrupt/interrupt.go	src/中斷/中斷.go
src/interrupt/interrupt.s	src/中斷/中斷.s
src/ipv4/ipv4.go	src/互聯網路協定4/互聯網路協定4.go
src/memorymanager/memorymanager.go	src/記憶體管理器/記憶體管理器.go
src/multitasking/multi.s	src/多重工作管理/多重.s
src/multitasking/multitasking.go	src/多重工作管理/多重工作管理.go
src/paging/paging.go	src/分頁管理/分頁管理.go
src/paging/paging.s	src/分頁管理/分頁管理.s
src/pci/pci.go	src/pci/pci.go
src/phymem/phymem.go	src/物理記憶體/物理記憶體.go
src/port/port.go	src/連接埠/連接埠.go
src/port/port.s	src/連接埠/連接埠.s
src/systemcall/systemcall.go	src/系統呼叫/系統呼叫.go
src/systemcall/systemcall.s	src/系統呼叫/系統呼叫.s
src/tasking/process/process.go	src/工作管理/程序/程序.go
src/tasking/scheduler/scheduler.go	src/工作管理/排程器/排程器.go
src/tasking/scheduler/scheduler.s	src/工作管理/排程器/排程器.s
src/tasking/thread/thread.go	src/工作管理/執行緒/執行緒.go
src/tasking/tss/tss.go	src/工作管理/tss/tss.go
src/tasking/tss/tss.s	src/工作管理/tss/tss.s
src/text_mode/text_mode.go	src/文字模式/文字模式.go
src/udp/udp.go	src/使用者資料報協定/使用者資料報協定.go
src/util/array/array.go	src/工具/陣列/陣列.go
src/util/list/list.go	src/工具/清單/清單.go
src/util/util.go	src/工具/工具.go
src/vga/vga.go	src/vga/vga.go
src/virtmem/virtmem.go	src/虛擬記憶體/虛擬記憶體.go
src/widget/widget.go	src/介面元素/介面元素.go
main.go	主要.go
main.s	主要.s
asm/constants.inc	機器啟動/常數.inc
asm/gdt.inc	機器啟動/gdt.inc
asm/go_asm_offsets.inc	機器啟動/goasm位移.inc
asm/multiboot_header.s	機器啟動/multiboot標頭.s
asm/rt0.s	機器啟動/rt0.s
go.sh	編譯核心.sh
linker.ld	連結配置.ld
tools/decode-virtualbox-log.sh	工具/解析序列紀錄.sh
tools/offsets.go	工具/結構位移.go
userland/posix/Makefile	使用者空間/posix/Makefile
userland/posix/TEST_RESULTS.md	使用者空間/posix/TEST_RESULTS.md
userland/posix/include/arpa/inet.h	使用者空間/posix/標頭檔/arpa/inet.h
