english	localized	source	evidence_count
a	Z	gettext	1
access	přístup	gettext	5
ack	ack	fallback-English	0
activate	Aktivovat	gettext	3
active	Aktivní	gettext	9
add	Přidat	gettext	34
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	Adresa	gettext	10
advanced	Pokročilé	gettext	21
af	af	fallback-English	0
after	Potom	gettext	5
align	Zarovnání	gettext	6
aligned	aligned	fallback-English	0
alignment	alignment	fallback-English	0
all	Vše	gettext	7
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	Množství	gettext	1
and	a	gettext	2
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	Argumenty	gettext	1
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	Pole	gettext	10
assembly	assembly	fallback-English	0
at	at	fallback-English	0
ata	ata	fallback-English	0
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	atribut	gettext	5
attributes	Atributy	gettext	1
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	Kdispozici	gettext	5
b	b	fallback-English	0
ba	ba	fallback-English	0
back	Zpět	gettext	19
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	Pruh	gettext	1
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	big	fallback-English	0
bind	Svázat	gettext	5
bios	bios	fallback-English	0
bit	bit	fallback-English	0
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	bitů	gettext	2
blksize	blksize	fallback-English	0
block	Blokový	gettext	5
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	Blokové	gettext	1
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	Buffery	gettext	1
bufptr	bufptr	fallback-English	0
bus	bus	fallback-English	0
button	Tlačítko	gettext	7
buttons	Tlačítka	gettext	11
by	by	fallback-English	0
byte	byte	fallback-English	0
bytes	Bytů	gettext	5
c	O	gettext	1
cache	cache	fallback-English	0
call	call	fallback-English	0
candidate	candidate	fallback-English	0
cap	cap	fallback-English	0
capable	capable	fallback-English	0
card	Karetní	gettext	1
central	central	fallback-English	0
char	char	fallback-English	0
chdir	chdir	fallback-English	0
check	check	fallback-English	0
checked	checked	fallback-English	0
checksum	Kontrolnísoučet	gettext	1
child	syn	gettext	5
chunk	chunk	fallback-English	0
class	Třída	gettext	6
clear	Vyčistit	gettext	12
cloexec	cloexec	fallback-English	0
clone	clone	fallback-English	0
close	Zavřít	gettext	55
cluster	cluster	fallback-English	0
cmp	cmp	fallback-English	0
code	code	fallback-English	0
col	col	fallback-English	0
color	Barva	gettext	3
colordepth	colordepth	fallback-English	0
command	Příkaz	gettext	26
commandport	commandport	fallback-English	0
common	Běžné	gettext	1
component	component	fallback-English	0
connect	Spojení	gettext	5
connected	connected	fallback-English	0
console	Konzole	gettext	10
constant	Konstanta	gettext	2
contains	contains	fallback-English	0
contents	Obsah	gettext	52
control	Ovládání	gettext	2
controller	controller	fallback-English	0
coordinate	coordinate	fallback-English	0
copies	copies	fallback-English	0
copy	Kopírovat	gettext	42
count	Počet	gettext	5
cow	cow	fallback-English	0
cpu	cpu	fallback-English	0
cpustate	cpustate	fallback-English	0
cpy	cpy	fallback-English	0
cr	cr	fallback-English	0
creat	creat	fallback-English	0
create	create	fallback-English	0
crtc	crtc	fallback-English	0
cs	cs	fallback-English	0
ctime	ctime	fallback-English	0
cur	cur	fallback-English	0
current	Současný	gettext	5
cursor	Kurzor	gettext	10
cylinder	cylinder	fallback-English	0
d	d	fallback-English	0
data	data	fallback-English	0
databuffer	databuffer	fallback-English	0
datagram	datagram	fallback-English	0
dataport	dataport	fallback-English	0
date	Datum	gettext	13
deactivate	Deaktivovat	gettext	3
deactive	deactive	fallback-English	0
debug	Ladit	gettext	10
decrement	decrement	fallback-English	0
default	Výchozí	gettext	48
delete	Smazat	gettext	41
delta	delta	fallback-English	0
depth	depth	fallback-English	0
desc	desc	fallback-English	0
descr	descr	fallback-English	0
description	Popis	gettext	38
descriptor	descriptor	fallback-English	0
descriptors	descriptors	fallback-English	0
descsz	descsz	fallback-English	0
destination	Cíl	gettext	10
destroy	Zničit	gettext	1
dev	dev	fallback-English	0
device	Zařízení	gettext	16
diff	diff	fallback-English	0
digits	digits	fallback-English	0
dir	ADRESÁŘ	gettext	1
directory	adresář	gettext	10
dirent	dirent	fallback-English	0
disable	Zakázat	gettext	4
discard	Zahodit	gettext	1
disconnect	Odpojit	gettext	7
dispatch	dispatch	fallback-English	0
divide	Dělení	gettext	1
divisor	divisor	fallback-English	0
do	do	fallback-English	0
domain	Doména	gettext	5
double	dvojité	gettext	1
down	Dolů	gettext	13
draw	draw	fallback-English	0
drive	drive	fallback-English	0
driver	driver	fallback-English	0
drivercount	drivercount	fallback-English	0
drivers	drivers	fallback-English	0
drv	drv	fallback-English	0
ds	ds	fallback-English	0
dst	dst	fallback-English	0
dstptr	dstptr	fallback-English	0
dup	dup	fallback-English	0
dword	dword	fallback-English	0
dyn	dyn	fallback-English	0
dynamic	Dynamické	gettext	1
e	V	gettext	1
eacces	eacces	fallback-English	0
eaddrinuse	eaddrinuse	fallback-English	0
eafnosupport	eafnosupport	fallback-English	0
eagain	eagain	fallback-English	0
eax	eax	fallback-English	0
ebadf	ebadf	fallback-English	0
ebp	ebp	fallback-English	0
ebusy	ebusy	fallback-English	0
ebx	ebx	fallback-English	0
echild	echild	fallback-English	0
echo	echo	fallback-English	0
ecx	ecx	fallback-English	0
edi	edi	fallback-English	0
edx	edx	fallback-English	0
eexist	eexist	fallback-English	0
ef	ef	fallback-English	0
efault	efault	fallback-English	0
efbig	efbig	fallback-English	0
eflags	eflags	fallback-English	0
ehsize	ehsize	fallback-English	0
eintr	eintr	fallback-English	0
einval	einval	fallback-English	0
eio	eio	fallback-English	0
eip	eip	fallback-English	0
eisdir	eisdir	fallback-English	0
elf	elf	fallback-English	0
emfile	emfile	fallback-English	0
empty	Prázdné	gettext	10
emsgsize	emsgsize	fallback-English	0
enable	Povolit	gettext	1
enabled	Povoleno	gettext	3
end	Konec	gettext	1
enetunreach	enetunreach	fallback-English	0
enfile	enfile	fallback-English	0
enodev	enodev	fallback-English	0
enoent	enoent	fallback-English	0
enoexec	enoexec	fallback-English	0
enomem	enomem	fallback-English	0
enospc	enospc	fallback-English	0
enosys	enosys	fallback-English	0
enotconn	enotconn	fallback-English	0
enotdir	enotdir	fallback-English	0
enotty	enotty	fallback-English	0
ensure	ensure	fallback-English	0
entries	entries	fallback-English	0
entry	Záznam	gettext	1
entrypoint	entrypoint	fallback-English	0
entsize	entsize	fallback-English	0
environment	environment	fallback-English	0
eopnotsupp	eopnotsupp	fallback-English	0
eperm	eperm	fallback-English	0
ephemeral	ephemeral	fallback-English	0
eprotonosupport	eprotonosupport	fallback-English	0
equal	Totožné	gettext	1
erange	erange	fallback-English	0
erofs	erofs	fallback-English	0
err	Chyba	gettext	1
error	Chyba	gettext	38
errorln	errorln	fallback-English	0
es	es	fallback-English	0
esi	esi	fallback-English	0
esp	esp	fallback-English	0
espipe	espipe	fallback-English	0
esrch	esrch	fallback-English	0
ether	ether	fallback-English	0
etherframe	etherframe	fallback-English	0
ethernet	ethernet	fallback-English	0
event	Události	gettext	1
events	Události	gettext	1
exceeded	exceeded	fallback-English	0
except	except	fallback-English	0
exception	exception	fallback-English	0
exec	Vykonání	gettext	5
execve	execve	fallback-English	0
exists	exists	fallback-English	0
exit	Konec	gettext	4
exited	Skončil	gettext	5
ext	ext	fallback-English	0
extended	extended	fallback-English	0
f	M	gettext	1
family	family	fallback-English	0
fat	fat	fallback-English	0
fatal	fatal	fallback-English	0
fatbuf	fatbuf	fallback-English	0
fatbuffer	fatbuffer	fallback-English	0
fault	fault	fallback-English	0
fb	fb	fallback-English	0
fcntl	fcntl	fallback-English	0
fd	fd	fallback-English	0
fds	fds	fallback-English	0
field	field	fallback-English	0
file	Soubor	gettext	113
filename	Názevsouboru	gettext	15
files	SOUBORY	gettext	1
filesz	filesz	fallback-English	0
fill	fill	fallback-English	0
find	Hledat	gettext	13
first	first	fallback-English	0
fl	fl	fallback-English	0
flag	Vlajka	gettext	1
flags	Příznaky	gettext	6
floating	Plovoucí	gettext	1
flush	flush	fallback-English	0
fn	fn	fallback-English	0
focus	Zaměřit	gettext	1
focussable	focussable	fallback-English	0
foo	foo	fallback-English	0
for	for	fallback-English	0
forced	forced	fallback-English	0
fork	fork	fallback-English	0
found	found	fallback-English	0
fp	fp	fallback-English	0
fpu	fpu	fallback-English	0
frame	Rám	gettext	5
free	Volné	gettext	7
frequency	Četnost	gettext	1
from	z	gettext	1
front	Přední	gettext	2
fs	fs	fallback-English	0
fstat	fstat	fallback-English	0
fsync	fsync	fallback-English	0
fuction	fuction	fallback-English	0
full	Úplný	gettext	5
func	func	fallback-English	0
function	Funkce	gettext	7
functions	Funkce	gettext	7
fxrstor	fxrstor	fallback-English	0
fxsave	fxsave	fallback-English	0
g	g	fallback-English	0
gate	gate	fallback-English	0
gateway	gateway	fallback-English	0
gb	gb	fallback-English	0
gdt	gdt	fallback-English	0
get	get	fallback-English	0
getcwd	getcwd	fallback-English	0
getegid	getegid	fallback-English	0
geteuid	geteuid	fallback-English	0
getgid	getgid	fallback-English	0
getpid	getpid	fallback-English	0
