english	localized	source	evidence_count
a	א	gettext	2
access	גישה	gettext	5
ack	ack	fallback-English	0
activate	הפעל	gettext	3
active	פעיל	gettext	8
add	הוספה	gettext	21
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	address	fallback-English	0
advanced	מתקדם	gettext	31
af	af	fallback-English	0
after	after	fallback-English	0
align	ישר	gettext	1
aligned	aligned	fallback-English	0
alignment	alignment	fallback-English	0
all	הכל	gettext	4
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	כמות	gettext	1
and	and	fallback-English	0
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	ארגומנטים	gettext	1
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	מערך	gettext	5
assembly	assembly	fallback-English	0
at	at	fallback-English	0
ata	ata	fallback-English	0
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	תכונה	gettext	1
attributes	מאפיינים	gettext	1
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	פנוי	gettext	5
b	b	fallback-English	0
ba	ba	fallback-English	0
back	אחורה	gettext	14
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	פס	gettext	1
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	big	fallback-English	0
bind	bind	fallback-English	0
bios	bios	fallback-English	0
bit	bit	fallback-English	0
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	סיביות	gettext	1
blksize	blksize	fallback-English	0
block	בלוק	gettext	5
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	בלוקים	gettext	1
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	מאגרים	gettext	2
bufptr	bufptr	fallback-English	0
bus	bus	fallback-English	0
button	לחצן	gettext	2
buttons	כפתורים	gettext	10
by	by	fallback-English	0
byte	byte	fallback-English	0
bytes	בתים	gettext	13
c	c	fallback-English	0
cache	cache	fallback-English	0
call	call	fallback-English	0
candidate	candidate	fallback-English	0
cap	cap	fallback-English	0
capable	capable	fallback-English	0
card	קלפים	gettext	1
central	central	fallback-English	0
char	char	fallback-English	0
chdir	chdir	fallback-English	0
check	check	fallback-English	0
checked	checked	fallback-English	0
checksum	checksum	fallback-English	0
child	child	fallback-English	0
chunk	chunk	fallback-English	0
