english	localized	source	evidence_count
a	Hrz	gettext	1
access	elérés	gettext	5
ack	ack	fallback-English	0
activate	Aktiválás	gettext	3
active	Aktív	gettext	9
add	Hozzáadás	gettext	34
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	address	fallback-English	0
advanced	Haladó	gettext	17
af	af	fallback-English	0
after	Után	gettext	5
align	Igazítás	gettext	6
aligned	aligned	fallback-English	0
alignment	alignment	fallback-English	0
all	Összes	gettext	3
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	Mennyiség	gettext	1
and	ÉS	gettext	1
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	Argumentumok	gettext	1
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	Tömb	gettext	10
assembly	assembly	fallback-English	0
at	at	fallback-English	0
ata	ata	fallback-English	0
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	Attribútum	gettext	2
attributes	Attribútumok	gettext	1
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	Elérhető	gettext	7
b	b	fallback-English	0
ba	ba	fallback-English	0
back	Vissza	gettext	19
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	Sáv	gettext	2
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	Nagy	gettext	1
bind	bind	fallback-English	0
bios	bios	fallback-English	0
bit	bit	fallback-English	0
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	bit	gettext	2
blksize	blksize	fallback-English	0
block	Blokk	gettext	10
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	Blokkjátékok	gettext	1
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	Pufferek	gettext	2
bufptr	bufptr	fallback-English	0
bus	bus	fallback-English	0
button	Gomb	gettext	7
buttons	Gombok	gettext	5
by	by	fallback-English	0
byte	byte	fallback-English	0
bytes	Bájt	gettext	11
c	F	gettext	1
cache	cache	fallback-English	0
call	call	fallback-English	0
candidate	candidate	fallback-English	0
cap	cap	fallback-English	0
capable	capable	fallback-English	0
card	Kártya	gettext	1
central	central	fallback-English	0
char	char	fallback-English	0
chdir	chdir	fallback-English	0
check	check	fallback-English	0
checked	checked	fallback-English	0
checksum	checksum	fallback-English	0
child	child	fallback-English	0
chunk	chunk	fallback-English	0
class	Osztály	gettext	6
clear	Törlés	gettext	14
cloexec	cloexec	fallback-English	0
clone	clone	fallback-English	0
close	Bezárás	gettext	46
cluster	cluster	fallback-English	0
cmp	cmp	fallback-English	0
code	code	fallback-English	0
col	col	fallback-English	0
color	Szín	gettext	3
colordepth	colordepth	fallback-English	0
command	Parancs	gettext	24
commandport	commandport	fallback-English	0
common	közös	gettext	5
component	component	fallback-English	0
connect	Kapcsolódás	gettext	5
connected	connected	fallback-English	0
console	Konzol	gettext	10
constant	Konstans	gettext	2
contains	contains	fallback-English	0
contents	Tartalom	gettext	52
control	Vezérlés	gettext	1
controller	Vezérlő	gettext	5
coordinate	coordinate	fallback-English	0
copies	copies	fallback-English	0
copy	Másolás	gettext	42
count	Számláló	gettext	5
cow	cow	fallback-English	0
cpu	cpu	fallback-English	0
cpustate	cpustate	fallback-English	0
cpy	cpy	fallback-English	0
cr	cr	fallback-English	0
creat	creat	fallback-English	0
create	create	fallback-English	0
crtc	crtc	fallback-English	0
cs	cs	fallback-English	0
ctime	ctime	fallback-English	0
cur	cur	fallback-English	0
current	Jelenlegi	gettext	5
cursor	Kurzor	gettext	10
cylinder	cylinder	fallback-English	0
d	Hp	gettext	1
data	data	fallback-English	0
databuffer	databuffer	fallback-English	0
datagram	datagram	fallback-English	0
dataport	dataport	fallback-English	0
date	Dátum	gettext	13
deactivate	Deaktiválás	gettext	3
deactive	deactive	fallback-English	0
debug	Hibakeresés	gettext	10
decrement	decrement	fallback-English	0
default	Alapértelmezett	gettext	40
delete	Törlés	gettext	44
delta	delta	fallback-English	0
depth	Mélység	gettext	1
desc	desc	fallback-English	0
descr	descr	fallback-English	0
description	Leírás	gettext	38
descriptor	descriptor	fallback-English	0
descriptors	descriptors	fallback-English	0
descsz	descsz	fallback-English	0
destination	Cél	gettext	10
destroy	Megsemmisítés	gettext	1
dev	dev	fallback-English	0
device	Eszköz	gettext	16
diff	diff	fallback-English	0
digits	digits	fallback-English	0
dir	dir	fallback-English	0
directory	Könyvtár	gettext	12
dirent	dirent	fallback-English	0
disable	Letiltva	gettext	1
discard	Eldobás	gettext	1
disconnect	Bontás	gettext	6
dispatch	dispatch	fallback-English	0
divide	Osztás	gettext	1
divisor	divisor	fallback-English	0
do	do	fallback-English	0
domain	Tartomány	gettext	5
double	Dupla	gettext	5
down	Le	gettext	12
draw	draw	fallback-English	0
drive	drive	fallback-English	0
driver	driver	fallback-English	0
drivercount	drivercount	fallback-English	0
drivers	drivers	fallback-English	0
drv	drv	fallback-English	0
ds	ds	fallback-English	0
dst	dst	fallback-English	0
dstptr	dstptr	fallback-English	0
dup	dup	fallback-English	0
dword	dword	fallback-English	0
dyn	dyn	fallback-English	0
dynamic	Dinamikus	gettext	1
e	K	gettext	1
eacces	eacces	fallback-English	0
eaddrinuse	eaddrinuse	fallback-English	0
eafnosupport	eafnosupport	fallback-English	0
eagain	eagain	fallback-English	0
eax	eax	fallback-English	0
ebadf	ebadf	fallback-English	0
ebp	ebp	fallback-English	0
