english	localized	source	evidence_count
a	体感	gettext	1
access	アクセス	gettext	5
ack	ack	fallback-English	0
activate	有効にする	gettext	3
active	有効	gettext	5
add	追加	gettext	26
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	address	fallback-English	0
advanced	詳細	gettext	13
af	af	fallback-English	0
after	後	gettext	5
align	整列	gettext	1
aligned	aligned	fallback-English	0
alignment	alignment	fallback-English	0
all	すべて	gettext	6
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	株数	gettext	1
and	と	gettext	1
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	引数	gettext	1
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	配列	curated-seed	5
assembly	アセンブリ	curated-seed	0
at	at	fallback-English	0
ata	ata	fallback-English	0
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	属性	curated-seed	1
attributes	属性	gettext	1
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	使用可能	gettext	5
b	b	fallback-English	0
ba	ba	fallback-English	0
back	戻る	gettext	17
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	バー	gettext	2
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	big	fallback-English	0
bind	バインド	gettext	5
bios	bios	fallback-English	0
bit	bit	fallback-English	0
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	ビット	gettext	2
blksize	blksize	fallback-English	0
block	ブロック	gettext	10
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	ブロック	gettext	1
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	バッファ	gettext	1
bufptr	bufptr	fallback-English	0
bus	bus	fallback-English	0
button	ボタン	gettext	8
buttons	ボタン	gettext	6
by	by	fallback-English	0
byte	バイト	curated-seed	0
bytes	バイト	gettext	14
c	摂氏	gettext	1
cache	cache	fallback-English	0
call	呼出し	curated-seed	0
candidate	candidate	fallback-English	0
cap	cap	fallback-English	0
capable	capable	fallback-English	0
card	カードゲーム	gettext	1
central	セントラル	gettext	2
char	char	fallback-English	0
chdir	chdir	fallback-English	0
check	check	fallback-English	0
checked	checked	fallback-English	0
checksum	checksum	fallback-English	0
child	child	fallback-English	0
chunk	chunk	fallback-English	0
class	クラス	gettext	6
clear	クリア	gettext	10
cloexec	cloexec	fallback-English	0
clone	clone	fallback-English	0
close	閉じる	curated-seed	38
cluster	cluster	fallback-English	0
cmp	cmp	fallback-English	0
code	code	fallback-English	0
col	col	fallback-English	0
color	色	gettext	4
colordepth	colordepth	fallback-English	0
command	コマンド	gettext	30
commandport	commandport	fallback-English	0
common	共通	curated-seed	0
component	component	fallback-English	0
connect	接続	gettext	10
connected	connected	fallback-English	0
console	コンソール	curated-seed	10
constant	定数	curated-seed	1
contains	contains	fallback-English	0
contents	目次	gettext	45
control	制御	gettext	1
controller	制御器	curated-seed	5
coordinate	coordinate	fallback-English	0
copies	copies	fallback-English	0
copy	複製	curated-seed	32
count	カウント	gettext	5
cow	cow	fallback-English	0
cpu	cpu	fallback-English	0
cpustate	cpustate	fallback-English	0
cpy	cpy	fallback-English	0
cr	cr	fallback-English	0
creat	creat	fallback-English	0
create	作成	curated-seed	0
crtc	crtc	fallback-English	0
cs	cs	fallback-English	0
ctime	ctime	fallback-English	0
cur	cur	fallback-English	0
current	現在の日時	gettext	5
cursor	カーソル	gettext	10
cylinder	cylinder	fallback-English	0
d	露点	gettext	1
data	データ	curated-seed	0
databuffer	databuffer	fallback-English	0
datagram	datagram	fallback-English	0
dataport	dataport	fallback-English	0
date	日付	gettext	13
deactivate	無効にする	gettext	3
deactive	deactive	fallback-English	0
debug	debug	fallback-English	0
decrement	decrement	fallback-English	0
default	デフォルト	gettext	47
delete	削除	curated-seed	42
delta	デルタ	gettext	2
depth	depth	fallback-English	0
desc	desc	fallback-English	0
descr	descr	fallback-English	0
description	説明	gettext	34
descriptor	descriptor	fallback-English	0
descriptors	descriptors	fallback-English	0
descsz	descsz	fallback-English	0
destination	転送先	gettext	10
destroy	破棄	gettext	1
dev	dev	fallback-English	0
device	デバイス	gettext	15
diff	diff	fallback-English	0
digits	digits	fallback-English	0
dir	dir	fallback-English	0
directory	ディレクトリ	gettext	12
dirent	dirent	fallback-English	0
disable	不可	gettext	1
discard	破棄	gettext	1
disconnect	切断する	gettext	7
dispatch	dispatch	fallback-English	0
divide	除算	gettext	1
divisor	divisor	fallback-English	0
do	do	fallback-English	0
domain	ドメイン	gettext	5
double	二重線	gettext	1
down	下	gettext	11
draw	draw	fallback-English	0
drive	drive	fallback-English	0
driver	ドライバー	curated-seed	0
drivercount	drivercount	fallback-English	0
drivers	drivers	fallback-English	0
drv	drv	fallback-English	0
ds	ds	fallback-English	0
dst	dst	fallback-English	0
dstptr	dstptr	fallback-English	0
dup	dup	fallback-English	0
dword	dword	fallback-English	0
dyn	dyn	fallback-English	0
dynamic	動的に	gettext	1
e	東	gettext	1
eacces	eacces	fallback-English	0
eaddrinuse	eaddrinuse	fallback-English	0
eafnosupport	eafnosupport	fallback-English	0
eagain	eagain	fallback-English	0
eax	eax	fallback-English	0
ebadf	ebadf	fallback-English	0
ebp	ebp	fallback-English	0
ebusy	ebusy	fallback-English	0
ebx	ebx	fallback-English	0
echild	echild	fallback-English	0
echo	echo	fallback-English	0
ecx	ecx	fallback-English	0
edi	edi	fallback-English	0
edx	edx	fallback-English	0
eexist	eexist	fallback-English	0
ef	ef	fallback-English	0
efault	efault	fallback-English	0
efbig	efbig	fallback-English	0
eflags	eflags	fallback-English	0
ehsize	ehsize	fallback-English	0
eintr	eintr	fallback-English	0
einval	einval	fallback-English	0
eio	eio	fallback-English	0
eip	eip	fallback-English	0
eisdir	eisdir	fallback-English	0
elf	elf	fallback-English	0
emfile	emfile	fallback-English	0
empty	空	gettext	8
emsgsize	emsgsize	fallback-English	0
enable	enable	fallback-English	0
enabled	有効	gettext	4
end	文末	gettext	1
enetunreach	enetunreach	fallback-English	0
enfile	enfile	fallback-English	0
enodev	enodev	fallback-English	0
enoent	enoent	fallback-English	0
enoexec	enoexec	fallback-English	0
enomem	enomem	fallback-English	0
enospc	enospc	fallback-English	0
enosys	enosys	fallback-English	0
enotconn	enotconn	fallback-English	0
enotdir	enotdir	fallback-English	0
enotty	enotty	fallback-English	0
ensure	ensure	fallback-English	0
entries	entries	fallback-English	0
entry	entry	fallback-English	0
entrypoint	entrypoint	fallback-English	0
entsize	entsize	fallback-English	0
environment	environment	fallback-English	0
eopnotsupp	eopnotsupp	fallback-English	0
eperm	eperm	fallback-English	0
ephemeral	ephemeral	fallback-English	0
eprotonosupport	eprotonosupport	fallback-English	0
equal	すべて同じ	gettext	1
erange	erange	fallback-English	0
erofs	erofs	fallback-English	0
err	エラー	gettext	1
error	エラー	gettext	34
errorln	errorln	fallback-English	0
es	es	fallback-English	0
esi	esi	fallback-English	0
esp	esp	fallback-English	0
espipe	espipe	fallback-English	0
esrch	esrch	fallback-English	0
ether	ether	fallback-English	0
etherframe	etherframe	fallback-English	0
ethernet	イーサネット	curated-seed	1
event	事象	curated-seed	1
events	事象一覧	curated-seed	1
exceeded	exceeded	fallback-English	0
except	except	fallback-English	0
exception	exception	fallback-English	0
exec	実行	gettext	5
execve	execve	fallback-English	0
exists	exists	fallback-English	0
exit	終了	gettext	4
exited	終了	gettext	5
ext	ext	fallback-English	0
extended	extended	fallback-English	0
f	霧	gettext	1
family	family	fallback-English	0
fat	fat	fallback-English	0
fatal	fatal	fallback-English	0
fatbuf	fatbuf	fallback-English	0
fatbuffer	fatbuffer	fallback-English	0
fault	障害	curated-seed	0
fb	fb	fallback-English	0
fcntl	fcntl	fallback-English	0
fd	fd	fallback-English	0
fds	fds	fallback-English	0
field	field	fallback-English	0
file	ファイル	curated-seed	119
filename	ファイル名	gettext	11
files	ファイル	gettext	1
filesz	filesz	fallback-English	0
fill	fill	fallback-English	0
find	検索	gettext	22
first	first	fallback-English	0
fl	fl	fallback-English	0
flag	国旗	gettext	1
flags	フラグ	gettext	6
floating	フローティング	gettext	1
flush	flush	fallback-English	0
fn	fn	fallback-English	0
focus	フォーカス	gettext	1
focussable	focussable	fallback-English	0
foo	foo	fallback-English	0
for	for	fallback-English	0
forced	forced	fallback-English	0
fork	fork	fallback-English	0
found	found	fallback-English	0
fp	fp	fallback-English	0
fpu	fpu	fallback-English	0
frame	フレーム	curated-seed	0
free	空き	gettext	10
frequency	頻度	gettext	1
from	から	gettext	1
front	フロント	gettext	1
fs	fs	fallback-English	0
fstat	fstat	fallback-English	0
fsync	fsync	fallback-English	0
fuction	fuction	fallback-English	0
full	全体的	gettext	5
func	func	fallback-English	0
function	関数	gettext	2
functions	関数	gettext	7
fxrstor	fxrstor	fallback-English	0
fxsave	fxsave	fallback-English	0
g	g	fallback-English	0
gate	ゲート	curated-seed	0
gateway	gateway	fallback-English	0
gb	gb	fallback-English	0
