english	localized	source	evidence_count
a	JT	gettext	1
access	prieiti	gettext	5
ack	ack	fallback-English	0
activate	Įjungti	gettext	2
active	Aktyvus	gettext	3
add	Pridėti	gettext	28
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	address	fallback-English	0
advanced	Išsamiau	gettext	10
af	af	fallback-English	0
after	after	fallback-English	0
align	Lygiuotė	gettext	5
aligned	aligned	fallback-English	0
alignment	alignment	fallback-English	0
all	Visi	gettext	3
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	Kiekis	gettext	1
and	ir	gettext	2
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	Argumentai	gettext	1
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	Masyvas	gettext	10
assembly	assembly	fallback-English	0
at	at	fallback-English	0
ata	ata	fallback-English	0
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	Atributas	gettext	2
attributes	Požymiai	gettext	1
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	Prieinama	gettext	5
b	b	fallback-English	0
ba	ba	fallback-English	0
back	Atgal	gettext	19
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	Juosta	gettext	3
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	big	fallback-English	0
bind	bind	fallback-English	0
bios	bios	fallback-English	0
bit	bit	fallback-English	0
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	bitų	gettext	2
blksize	blksize	fallback-English	0
block	Blokas	gettext	10
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	Blokai	gettext	1
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	Buferiai	gettext	2
bufptr	bufptr	fallback-English	0
bus	bus	fallback-English	0
button	Mygtukas	gettext	2
buttons	Mygtukai	gettext	11
by	by	fallback-English	0
byte	byte	fallback-English	0
bytes	Baitų	gettext	5
c	DB	gettext	1
cache	cache	fallback-English	0
call	call	fallback-English	0
candidate	candidate	fallback-English	0
cap	cap	fallback-English	0
capable	capable	fallback-English	0
card	Kortų	gettext	1
central	Centrinisrajonas	gettext	2
char	char	fallback-English	0
chdir	chdir	fallback-English	0
check	check	fallback-English	0
checked	checked	fallback-English	0
checksum	Kontrolinėsuma	gettext	1
child	child	fallback-English	0
chunk	chunk	fallback-English	0
class	Klasė	gettext	6
clear	Išvalyti	gettext	21
cloexec	cloexec	fallback-English	0
clone	clone	fallback-English	0
close	Užverti	gettext	56
cluster	cluster	fallback-English	0
cmp	cmp	fallback-English	0
code	code	fallback-English	0
col	col	fallback-English	0
color	Spalva	gettext	3
colordepth	colordepth	fallback-English	0
command	Komanda	gettext	23
commandport	commandport	fallback-English	0
common	bendrinis	gettext	5
component	component	fallback-English	0
connect	Prisijungti	gettext	5
connected	connected	fallback-English	0
console	console	fallback-English	0
constant	Konstanta	gettext	2
contains	contains	fallback-English	0
contents	Turinys	gettext	52
control	Valdymas	gettext	2
controller	controller	fallback-English	0
coordinate	coordinate	fallback-English	0
copies	copies	fallback-English	0
copy	Kopijuoti	gettext	42
count	count	fallback-English	0
cow	cow	fallback-English	0
cpu	cpu	fallback-English	0
cpustate	cpustate	fallback-English	0
cpy	cpy	fallback-English	0
cr	cr	fallback-English	0
creat	creat	fallback-English	0
create	create	fallback-English	0
crtc	crtc	fallback-English	0
cs	cs	fallback-English	0
ctime	ctime	fallback-English	0
cur	cur	fallback-English	0
current	Dabartinis	gettext	5
cursor	Žymeklis	gettext	10
cylinder	cylinder	fallback-English	0
d	RT	gettext	1
data	data	fallback-English	0
databuffer	databuffer	fallback-English	0
datagram	datagram	fallback-English	0
dataport	dataport	fallback-English	0
date	Data	gettext	13
deactivate	Išjungti	gettext	2
deactive	deactive	fallback-English	0
debug	Derinti	gettext	10
decrement	decrement	fallback-English	0
default	Numatytasis	gettext	14
delete	Ištrinti	gettext	16
delta	Deltosvalstija	gettext	2
depth	depth	fallback-English	0
desc	desc	fallback-English	0
descr	descr	fallback-English	0
description	Aprašymas	gettext	28
descriptor	descriptor	fallback-English	0
descriptors	descriptors	fallback-English	0
descsz	descsz	fallback-English	0
destination	Tikslas	gettext	10
destroy	Sunaikinti	gettext	1
dev	dev	fallback-English	0
device	Įrenginys	gettext	14
diff	diff	fallback-English	0
digits	digits	fallback-English	0
dir	dir	fallback-English	0
directory	katalogas	gettext	10
dirent	dirent	fallback-English	0
disable	Išjungti	gettext	2
discard	Išmesti	gettext	1
disconnect	Atsijungti	gettext	6
dispatch	dispatch	fallback-English	0
divide	Dalyba	gettext	1
divisor	divisor	fallback-English	0
do	do	fallback-English	0
domain	Domenas	gettext	5
double	Dviguba	gettext	5
down	Žemyn	gettext	12
draw	draw	fallback-English	0
drive	drive	fallback-English	0
driver	driver	fallback-English	0
drivercount	drivercount	fallback-English	0
drivers	drivers	fallback-English	0
drv	drv	fallback-English	0
ds	ds	fallback-English	0
dst	dst	fallback-English	0
dstptr	dstptr	fallback-English	0
dup	dup	fallback-English	0
dword	dword	fallback-English	0
dyn	dyn	fallback-English	0
dynamic	Dinaminis	gettext	1
e	R	gettext	1
eacces	eacces	fallback-English	0
eaddrinuse	eaddrinuse	fallback-English	0
eafnosupport	eafnosupport	fallback-English	0
eagain	eagain	fallback-English	0
eax	eax	fallback-English	0
ebadf	ebadf	fallback-English	0
ebp	ebp	fallback-English	0
ebusy	ebusy	fallback-English	0
ebx	ebx	fallback-English	0
echild	echild	fallback-English	0
echo	echo	fallback-English	0
ecx	ecx	fallback-English	0
edi	edi	fallback-English	0
edx	edx	fallback-English	0
eexist	eexist	fallback-English	0
ef	ef	fallback-English	0
efault	efault	fallback-English	0
efbig	efbig	fallback-English	0
eflags	eflags	fallback-English	0
ehsize	ehsize	fallback-English	0
eintr	eintr	fallback-English	0
einval	einval	fallback-English	0
eio	eio	fallback-English	0
eip	eip	fallback-English	0
eisdir	eisdir	fallback-English	0
elf	elf	fallback-English	0
emfile	emfile	fallback-English	0
empty	Tuščia	gettext	12
emsgsize	emsgsize	fallback-English	0
enable	Įjungti	gettext	1
enabled	Įjungta	gettext	2
end	Pab	gettext	1
enetunreach	enetunreach	fallback-English	0
enfile	enfile	fallback-English	0
enodev	enodev	fallback-English	0
enoent	enoent	fallback-English	0
enoexec	enoexec	fallback-English	0
enomem	enomem	fallback-English	0
enospc	enospc	fallback-English	0
enosys	enosys	fallback-English	0
enotconn	enotconn	fallback-English	0
enotdir	enotdir	fallback-English	0
enotty	enotty	fallback-English	0
ensure	ensure	fallback-English	0
entries	entries	fallback-English	0
entry	įrašas	gettext	5
entrypoint	entrypoint	fallback-English	0
entsize	entsize	fallback-English	0
environment	environment	fallback-English	0
eopnotsupp	eopnotsupp	fallback-English	0
eperm	eperm	fallback-English	0
ephemeral	ephemeral	fallback-English	0
eprotonosupport	eprotonosupport	fallback-English	0
equal	Suvienodinti	gettext	1
erange	erange	fallback-English	0
erofs	erofs	fallback-English	0
err	Klaidos	gettext	1
error	Klaida	gettext	31
errorln	errorln	fallback-English	0
es	es	fallback-English	0
esi	esi	fallback-English	0
esp	esp	fallback-English	0
espipe	espipe	fallback-English	0
esrch	esrch	fallback-English	0
ether	ether	fallback-English	0
etherframe	etherframe	fallback-English	0
ethernet	Laidinis	gettext	1
event	Įvykis	gettext	1
events	Įvykiai	gettext	1
exceeded	exceeded	fallback-English	0
except	except	fallback-English	0
exception	exception	fallback-English	0
exec	Vykdyti	gettext	5
execve	execve	fallback-English	0
exists	exists	fallback-English	0
exit	Išeiti	gettext	1
exited	Išėjo	gettext	5
ext	ext	fallback-English	0
extended	extended	fallback-English	0
f	R	gettext	1
family	family	fallback-English	0
fat	fat	fallback-English	0
fatal	fatal	fallback-English	0
fatbuf	fatbuf	fallback-English	0
fatbuffer	fatbuffer	fallback-English	0
fault	fault	fallback-English	0
fb	fb	fallback-English	0
fcntl	fcntl	fallback-English	0
fd	FA	gettext	5
fds	fds	fallback-English	0
field	laukas	gettext	5
file	Failas	gettext	108
filename	Failopavadinimas	gettext	8
files	FAILAI	gettext	1
filesz	filesz	fallback-English	0
fill	fill	fallback-English	0
find	Ieškoti	gettext	20
first	first	fallback-English	0
fl	fl	fallback-English	0
flag	Žymė	gettext	1
flags	Parametrai	gettext	5
floating	Slankus	gettext	1
flush	flush	fallback-English	0
fn	fn	fallback-English	0
focus	Fokusavimas	gettext	1
focussable	focussable	fallback-English	0
foo	foo	fallback-English	0
for	for	fallback-English	0
forced	forced	fallback-English	0
fork	fork	fallback-English	0
found	found	fallback-English	0
fp	fp	fallback-English	0
fpu	fpu	fallback-English	0
frame	Kadras	gettext	10
free	Laisva	gettext	7
frequency	Dažnumas	gettext	1
from	from	fallback-English	0
front	Priekis	gettext	1
fs	fs	fallback-English	0
fstat	fstat	fallback-English	0
fsync	fsync	fallback-English	0
fuction	fuction	fallback-English	0
full	Pilna	gettext	5
func	func	fallback-English	0
function	Funkcija	gettext	7
functions	Funkcijos	gettext	7
fxrstor	fxrstor	fallback-English	0
fxsave	fxsave	fallback-English	0
g	g	fallback-English	0
gate	gate	fallback-English	0
gateway	gateway	fallback-English	0
gb	gb	fallback-English	0
gdt	gdt	fallback-English	0
get	get	fallback-English	0
getcwd	getcwd	fallback-English	0
getegid	getegid	fallback-English	0
geteuid	geteuid	fallback-English	0
getgid	getgid	fallback-English	0
getpid	getpid	fallback-English	0
getppid	getppid	fallback-English	0
getuid	getuid	fallback-English	0
gid	gid	fallback-English	0
global	Visuotinė	gettext	5
got	got	fallback-English	0
gpf	gpf	fallback-English	0
gran	gran	fallback-English	0
graphics	Grafika	gettext	4
grub	grub	fallback-English	0
gs	gs	fallback-English	0
h	D	gettext	1
halt	halt	fallback-English	0
handle	Pozicija	gettext	1
handler	handler	fallback-English	0
handlers	handlers	fallback-English	0
hardware	Aparatinėįranga	gettext	8
has	has	fallback-English	0
hd	hd	fallback-English	0
head	head	fallback-English	0
header	header	fallback-English	0
headertype	headertype	fallback-English	0
heap	heap	fallback-English	0
height	Aukštis	gettext	5
helper	helper	fallback-English	0
hex	Šešioliktainis	gettext	1
