english	localized	source	evidence_count
a	a	fallback-English	0
access	capai	gettext	5
ack	ack	fallback-English	0
activate	Aktifkan	gettext	2
active	Aktif	gettext	8
add	Tambah	gettext	18
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	address	fallback-English	0
advanced	Lanjutan	gettext	18
af	af	fallback-English	0
after	Selepas	gettext	5
align	Jajar	gettext	6
aligned	aligned	fallback-English	0
alignment	alignment	fallback-English	0
all	Semua	gettext	4
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	amount	fallback-English	0
and	and	fallback-English	0
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	arguments	fallback-English	0
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	Tatasusunan	gettext	10
assembly	assembly	fallback-English	0
at	at	fallback-English	0
ata	ata	fallback-English	0
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	atribut	gettext	5
attributes	attributes	fallback-English	0
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	Tersedia	gettext	5
b	b	fallback-English	0
ba	ba	fallback-English	0
back	Undur	gettext	15
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	Palang	gettext	1
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	big	fallback-English	0
bind	bind	fallback-English	0
bios	bios	fallback-English	0
bit	bit	fallback-English	0
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	bit	gettext	1
blksize	blksize	fallback-English	0
block	Blok	gettext	10
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	blocks	fallback-English	0
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	Penimbal	gettext	2
bufptr	bufptr	fallback-English	0
bus	bus	fallback-English	0
button	Butang	gettext	7
buttons	Butang	gettext	5
by	by	fallback-English	0
byte	byte	fallback-English	0
bytes	Bait	gettext	5
c	S	gettext	1
cache	cache	fallback-English	0
call	call	fallback-English	0
candidate	candidate	fallback-English	0
cap	cap	fallback-English	0
capable	capable	fallback-English	0
card	card	fallback-English	0
central	central	fallback-English	0
char	char	fallback-English	0
chdir	chdir	fallback-English	0
check	check	fallback-English	0
checked	checked	fallback-English	0
checksum	checksum	fallback-English	0
child	anak	gettext	5
chunk	chunk	fallback-English	0
class	Kelas	gettext	6
clear	Kosongkan	gettext	9
cloexec	cloexec	fallback-English	0
clone	clone	fallback-English	0
close	Tutup	gettext	35
cluster	cluster	fallback-English	0
cmp	cmp	fallback-English	0
code	code	fallback-English	0
col	col	fallback-English	0
color	Warna	gettext	2
colordepth	colordepth	fallback-English	0
command	Perintah	gettext	19
commandport	commandport	fallback-English	0
common	Biasa	gettext	1
component	component	fallback-English	0
connect	Sambung	gettext	5
