english	localized	source	evidence_count
a	OT	gettext	1
access	dostępu	gettext	5
ack	ack	fallback-English	0
activate	Włącz	gettext	2
active	Aktywne	gettext	6
add	Dodaj	gettext	32
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	Adres	gettext	5
advanced	Zaawansowane	gettext	33
af	af	fallback-English	0
after	Najpierwkoniecwiersza	gettext	5
align	Wyrównanie	gettext	5
aligned	aligned	fallback-English	0
alignment	alignment	fallback-English	0
all	Wszystkie	gettext	7
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	Ilość	gettext	1
and	oraz	gettext	1
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	Argumenty	gettext	1
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	Tablica	gettext	5
assembly	assembly	fallback-English	0
at	at	fallback-English	0
ata	ata	fallback-English	0
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	atrybut	gettext	5
attributes	Atrybuty	gettext	1
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	Dostępne	gettext	6
b	b	fallback-English	0
ba	ba	fallback-English	0
back	Wstecz	gettext	17
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	Pasek	gettext	2
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	big	fallback-English	0
bind	Dowiąż	gettext	5
bios	bios	fallback-English	0
bit	bit	fallback-English	0
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	b	gettext	1
blksize	blksize	fallback-English	0
block	Blok	gettext	5
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	Klocki	gettext	1
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	Bufory	gettext	2
bufptr	bufptr	fallback-English	0
bus	bus	fallback-English	0
button	Przycisk	gettext	7
buttons	Przyciski	gettext	11
by	by	fallback-English	0
byte	byte	fallback-English	0
bytes	Bajty	gettext	11
c	Z	gettext	1
cache	cache	fallback-English	0
call	call	fallback-English	0
candidate	candidate	fallback-English	0
cap	cap	fallback-English	0
capable	capable	fallback-English	0
card	Karciane	gettext	1
central	central	fallback-English	0
char	char	fallback-English	0
chdir	chdir	fallback-English	0
check	check	fallback-English	0
checked	checked	fallback-English	0
checksum	Sumakontrolna	gettext	1
child	dziecko	gettext	5
chunk	chunk	fallback-English	0
class	Klasa	gettext	6
clear	Wyczyść	gettext	16
cloexec	cloexec	fallback-English	0
clone	clone	fallback-English	0
close	Zamknij	gettext	51
cluster	cluster	fallback-English	0
cmp	cmp	fallback-English	0
code	code	fallback-English	0
col	col	fallback-English	0
color	Kolor	gettext	3
colordepth	colordepth	fallback-English	0
command	Polecenie	gettext	23
commandport	commandport	fallback-English	0
common	zwykły	gettext	5
component	component	fallback-English	0
connect	Połącz	gettext	10
connected	connected	fallback-English	0
console	Konsola	gettext	10
constant	Stała	gettext	2
contains	contains	fallback-English	0
contents	Spistreści	gettext	39
control	Sterowanie	gettext	2
controller	Kontroler	gettext	5
coordinate	coordinate	fallback-English	0
copies	copies	fallback-English	0
copy	Kopiuj	gettext	16
count	Liczba	gettext	6
cow	cow	fallback-English	0
cpu	Procesor	gettext	5
cpustate	cpustate	fallback-English	0
cpy	cpy	fallback-English	0
cr	cr	fallback-English	0
creat	creat	fallback-English	0
create	create	fallback-English	0
crtc	crtc	fallback-English	0
cs	cs	fallback-English	0
ctime	ctime	fallback-English	0
cur	cur	fallback-English	0
current	Bieżący	gettext	5
cursor	Kursor	gettext	10
cylinder	cylinder	fallback-English	0
d	P	gettext	1
data	data	fallback-English	0
databuffer	databuffer	fallback-English	0
datagram	datagram	fallback-English	0
dataport	dataport	fallback-English	0
date	Data	gettext	13
deactivate	Wyłącz	gettext	2
deactive	deactive	fallback-English	0
debug	Diagnozuj	gettext	10
decrement	decrement	fallback-English	0
default	Domyślne	gettext	24
delete	Usuń	gettext	44
delta	delta	fallback-English	0
depth	depth	fallback-English	0
desc	desc	fallback-English	0
descr	descr	fallback-English	0
description	Opis	gettext	39
descriptor	descriptor	fallback-English	0
descriptors	descriptors	fallback-English	0
descsz	descsz	fallback-English	0
destination	Cel	gettext	10
destroy	Zniszcz	gettext	1
dev	dev	fallback-English	0
device	Urządzenie	gettext	15
diff	diff	fallback-English	0
digits	digits	fallback-English	0
dir	KATALOG	gettext	1
