english	localized	source	evidence_count
a	а	gettext	2
access	приступање	gettext	5
ack	ack	fallback-English	0
activate	Pokreni	gettext	2
active	Aktivna	gettext	5
add	Додај	gettext	31
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	address	fallback-English	0
advanced	Напредно	gettext	30
af	af	fallback-English	0
after	После	gettext	5
align	Поравнање	gettext	5
aligned	aligned	fallback-English	0
alignment	alignment	fallback-English	0
all	Sve	gettext	5
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	Iznos	gettext	1
and	and	fallback-English	0
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	Argumenti	gettext	1
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	Низ	gettext	10
assembly	assembly	fallback-English	0
at	at	fallback-English	0
ata	ata	fallback-English	0
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	atribut	gettext	6
attributes	attributes	fallback-English	0
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	Raspoloživo	gettext	5
b	b	fallback-English	0
ba	ba	fallback-English	0
back	Назад	gettext	18
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	Бар	gettext	2
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	big	fallback-English	0
bind	bind	fallback-English	0
bios	bios	fallback-English	0
bit	bit	fallback-English	0
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	бита	gettext	2
blksize	blksize	fallback-English	0
block	Blok	gettext	10
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	blocks	fallback-English	0
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	Baferi	gettext	2
bufptr	bufptr	fallback-English	0
bus	bus	fallback-English	0
button	Дугме	gettext	7
buttons	Дугмад	gettext	10
by	by	fallback-English	0
byte	byte	fallback-English	0
bytes	Bajtova	gettext	10
c	О	gettext	1
cache	cache	fallback-English	0
call	call	fallback-English	0
candidate	candidate	fallback-English	0
cap	cap	fallback-English	0
capable	capable	fallback-English	0
card	card	fallback-English	0
central	Centralni	gettext	2
char	char	fallback-English	0
chdir	chdir	fallback-English	0
check	check	fallback-English	0
checked	checked	fallback-English	0
checksum	checksum	fallback-English	0
child	sadržani	gettext	5
chunk	chunk	fallback-English	0
class	класа	gettext	10
clear	Очисти	gettext	14
cloexec	cloexec	fallback-English	0
clone	clone	fallback-English	0
close	Затвори	gettext	48
cluster	cluster	fallback-English	0
cmp	cmp	fallback-English	0
code	code	fallback-English	0
col	col	fallback-English	0
color	Боја	gettext	2
colordepth	colordepth	fallback-English	0
command	Наредба	gettext	23
commandport	commandport	fallback-English	0
common	заједнички	gettext	5
component	component	fallback-English	0
connect	Povežise	gettext	5
connected	connected	fallback-English	0
console	Конзола	gettext	5
constant	konstanta	gettext	1
contains	contains	fallback-English	0
contents	Садржај	gettext	45
control	Контрол	gettext	1
controller	controller	fallback-English	0
coordinate	coordinate	fallback-English	0
copies	copies	fallback-English	0
copy	Умножи	gettext	30
count	count	fallback-English	0
cow	cow	fallback-English	0
cpu	Процесор	gettext	6
cpustate	cpustate	fallback-English	0
cpy	cpy	fallback-English	0
cr	cr	fallback-English	0
creat	creat	fallback-English	0
create	create	fallback-English	0
crtc	crtc	fallback-English	0
cs	cs	fallback-English	0
ctime	ctime	fallback-English	0
cur	cur	fallback-English	0
current	Тренутно	gettext	5
cursor	Показивач	gettext	10
cylinder	cylinder	fallback-English	0
d	ТР	gettext	1
data	data	fallback-English	0
databuffer	databuffer	fallback-English	0
datagram	datagram	fallback-English	0
dataport	dataport	fallback-English	0
date	Датум	gettext	7
deactivate	Obustavi	gettext	2
deactive	deactive	fallback-English	0
debug	Исправљање	gettext	15
decrement	decrement	fallback-English	0
default	Подразумевано	gettext	13
delete	Обриши	gettext	27
delta	Делта	gettext	2
depth	depth	fallback-English	0
desc	desc	fallback-English	0
descr	descr	fallback-English	0
description	Опис	gettext	30
descriptor	descriptor	fallback-English	0
descriptors	descriptors	fallback-English	0
descsz	descsz	fallback-English	0
destination	Odredište	gettext	10
destroy	Уништи	gettext	1
dev	dev	fallback-English	0
device	Уређај	gettext	16
diff	diff	fallback-English	0
digits	digits	fallback-English	0
dir	dir	fallback-English	0
directory	Direktorijum	gettext	7
dirent	dirent	fallback-English	0
disable	Искључи	gettext	2
discard	Odbaci	gettext	1
disconnect	Prekinivezu	gettext	6
dispatch	dispatch	fallback-English	0
divide	divide	fallback-English	0
divisor	divisor	fallback-English	0
do	do	fallback-English	0
domain	Domen	gettext	5
double	Двоструко	gettext	5
down	Ниже	gettext	5
draw	draw	fallback-English	0
drive	drive	fallback-English	0
driver	driver	fallback-English	0
drivercount	drivercount	fallback-English	0
drivers	drivers	fallback-English	0
drv	drv	fallback-English	0
ds	ds	fallback-English	0
dst	dst	fallback-English	0
dstptr	dstptr	fallback-English	0
dup	dup	fallback-English	0
dword	dword	fallback-English	0
dyn	dyn	fallback-English	0
dynamic	rastegǉivo	gettext	1
e	И	gettext	1
eacces	eacces	fallback-English	0
eaddrinuse	eaddrinuse	fallback-English	0
eafnosupport	eafnosupport	fallback-English	0
eagain	eagain	fallback-English	0
eax	eax	fallback-English	0
ebadf	ebadf	fallback-English	0
ebp	ebp	fallback-English	0
ebusy	ebusy	fallback-English	0
ebx	ebx	fallback-English	0
echild	echild	fallback-English	0
echo	echo	fallback-English	0
ecx	ecx	fallback-English	0
edi	edi	fallback-English	0
edx	edx	fallback-English	0
eexist	eexist	fallback-English	0
ef	ef	fallback-English	0
efault	efault	fallback-English	0
efbig	efbig	fallback-English	0
eflags	eflags	fallback-English	0
ehsize	ehsize	fallback-English	0
eintr	eintr	fallback-English	0
einval	einval	fallback-English	0
eio	eio	fallback-English	0
eip	eip	fallback-English	0
eisdir	eisdir	fallback-English	0
elf	elf	fallback-English	0
emfile	emfile	fallback-English	0
empty	Празно	gettext	11
emsgsize	emsgsize	fallback-English	0
enable	укључено	gettext	1
enabled	Омогућено	gettext	2
