english	localized	source	evidence_count
a	a	fallback-English	0
access	ruxsat	gettext	5
ack	ack	fallback-English	0
activate	Faollashtirish	gettext	2
active	faol	gettext	1
add	Qoʻshish	gettext	11
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	address	fallback-English	0
advanced	Murakkab	gettext	1
af	af	fallback-English	0
after	after	fallback-English	0
align	Tekislash	gettext	1
aligned	aligned	fallback-English	0
alignment	alignment	fallback-English	0
all	Hammasi	gettext	1
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	amount	fallback-English	0
and	and	fallback-English	0
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	arguments	fallback-English	0
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	array	fallback-English	0
assembly	assembly	fallback-English	0
at	at	fallback-English	0
ata	ata	fallback-English	0
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	attribute	fallback-English	0
attributes	attributes	fallback-English	0
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	Mavjud	gettext	6
b	b	fallback-English	0
ba	ba	fallback-English	0
back	Orqaga	gettext	7
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	bar	fallback-English	0
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	big	fallback-English	0
bind	bind	fallback-English	0
bios	bios	fallback-English	0
bit	bit	fallback-English	0
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	bitlar	gettext	1
blksize	blksize	fallback-English	0
block	Blok	gettext	5
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	blocks	fallback-English	0
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	buffers	fallback-English	0
bufptr	bufptr	fallback-English	0
bus	bus	fallback-English	0
button	Tugma	gettext	1
buttons	buttons	fallback-English	0
by	by	fallback-English	0
byte	byte	fallback-English	0
bytes	Baytlar	gettext	5
c	c	fallback-English	0
cache	cache	fallback-English	0
call	call	fallback-English	0
candidate	candidate	fallback-English	0
cap	cap	fallback-English	0
capable	capable	fallback-English	0
card	card	fallback-English	0
central	central	fallback-English	0
char	char	fallback-English	0
chdir	chdir	fallback-English	0
check	check	fallback-English	0
checked	checked	fallback-English	0
checksum	checksum	fallback-English	0
child	child	fallback-English	0
chunk	chunk	fallback-English	0
class	Sinf	gettext	5
clear	Tozalash	gettext	1
cloexec	cloexec	fallback-English	0
clone	clone	fallback-English	0
close	Yopish	gettext	10
cluster	cluster	fallback-English	0
cmp	cmp	fallback-English	0
code	code	fallback-English	0
col	col	fallback-English	0
color	color	fallback-English	0
colordepth	colordepth	fallback-English	0
command	Buyruq	gettext	8
commandport	commandport	fallback-English	0
common	common	fallback-English	0
component	component	fallback-English	0
connect	Ulanish	gettext	5
connected	connected	fallback-English	0
console	console	fallback-English	0
constant	constant	fallback-English	0
contains	contains	fallback-English	0
contents	Tarkibi	gettext	26
control	control	fallback-English	0
controller	controller	fallback-English	0
coordinate	coordinate	fallback-English	0
copies	copies	fallback-English	0
copy	Nusxaolish	gettext	12
count	count	fallback-English	0
cow	cow	fallback-English	0
cpu	cpu	fallback-English	0
cpustate	cpustate	fallback-English	0
cpy	cpy	fallback-English	0
cr	cr	fallback-English	0
creat	creat	fallback-English	0
create	create	fallback-English	0
crtc	crtc	fallback-English	0
cs	cs	fallback-English	0
ctime	ctime	fallback-English	0
cur	cur	fallback-English	0
current	current	fallback-English	0
cursor	cursor	fallback-English	0
cylinder	cylinder	fallback-English	0
d	d	fallback-English	0
data	data	fallback-English	0
databuffer	databuffer	fallback-English	0
datagram	datagram	fallback-English	0
dataport	dataport	fallback-English	0
date	Sana	gettext	6
deactivate	Faolsizlantirish	gettext	2
deactive	deactive	fallback-English	0
debug	debug	fallback-English	0
decrement	decrement	fallback-English	0
default	Andoza	gettext	8
delete	Olibtashlash	gettext	10
delta	delta	fallback-English	0
depth	depth	fallback-English	0
desc	desc	fallback-English	0
descr	descr	fallback-English	0
description	Taʼrifi	gettext	17
descriptor	descriptor	fallback-English	0
descriptors	descriptors	fallback-English	0
descsz	descsz	fallback-English	0
destination	destination	fallback-English	0
destroy	destroy	fallback-English	0
dev	dev	fallback-English	0
device	Uskuna	gettext	12
diff	diff	fallback-English	0
digits	digits	fallback-English	0
dir	dir	fallback-English	0
directory	Jild	gettext	5
dirent	dirent	fallback-English	0
disable	disable	fallback-English	0
discard	discard	fallback-English	0
disconnect	Uzish	gettext	5
dispatch	dispatch	fallback-English	0
divide	divide	fallback-English	0
divisor	divisor	fallback-English	0
do	do	fallback-English	0
domain	Domen	gettext	5
double	double	fallback-English	0
down	Pastga	gettext	1
draw	draw	fallback-English	0
drive	drive	fallback-English	0
driver	driver	fallback-English	0
drivercount	drivercount	fallback-English	0
drivers	drivers	fallback-English	0
drv	drv	fallback-English	0
ds	ds	fallback-English	0
dst	dst	fallback-English	0
dstptr	dstptr	fallback-English	0
dup	dup	fallback-English	0
dword	dword	fallback-English	0
dyn	dyn	fallback-English	0
dynamic	dynamic	fallback-English	0
e	e	fallback-English	0
eacces	eacces	fallback-English	0
eaddrinuse	eaddrinuse	fallback-English	0
eafnosupport	eafnosupport	fallback-English	0
eagain	eagain	fallback-English	0
eax	eax	fallback-English	0
ebadf	ebadf	fallback-English	0
ebp	ebp	fallback-English	0
ebusy	ebusy	fallback-English	0
ebx	ebx	fallback-English	0
echild	echild	fallback-English	0
echo	echo	fallback-English	0
ecx	ecx	fallback-English	0
edi	edi	fallback-English	0
edx	edx	fallback-English	0
eexist	eexist	fallback-English	0
ef	ef	fallback-English	0
efault	efault	fallback-English	0
efbig	efbig	fallback-English	0
eflags	eflags	fallback-English	0
ehsize	ehsize	fallback-English	0
eintr	eintr	fallback-English	0
einval	einval	fallback-English	0
eio	eio	fallback-English	0
eip	eip	fallback-English	0
eisdir	eisdir	fallback-English	0
elf	elf	fallback-English	0
emfile	emfile	fallback-English	0
empty	Bosh	gettext	5
emsgsize	emsgsize	fallback-English	0
enable	enable	fallback-English	0
enabled	Yoqilgan	gettext	2
end	Oxirga	gettext	1
enetunreach	enetunreach	fallback-English	0
enfile	enfile	fallback-English	0
enodev	enodev	fallback-English	0
enoent	enoent	fallback-English	0
enoexec	enoexec	fallback-English	0
enomem	enomem	fallback-English	0
enospc	enospc	fallback-English	0
enosys	enosys	fallback-English	0
enotconn	enotconn	fallback-English	0
enotdir	enotdir	fallback-English	0
enotty	enotty	fallback-English	0
ensure	ensure	fallback-English	0
entries	entries	fallback-English	0
entry	entry	fallback-English	0
entrypoint	entrypoint	fallback-English	0
